Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
33396,DataSet_499,human,CHD3,501mel,SNHG17,Melanoma,4,0,0,Melanoma,human,AS
33375,DataSet_499,human,CHD3,501mel,EIF4A2,Melanoma,4,2,0,Melanoma,human,AS
33371,DataSet_499,human,CHD3,501mel,CSNK1E,Melanoma,2,2,0,Melanoma,human,AS
33385,DataSet_499,human,CHD3,501mel,LINC01531,Melanoma,2,0,0,Melanoma,human,AS
33387,DataSet_499,human,CHD3,501mel,MICAL1,Melanoma,2,2,0,Melanoma,human,AS
33400,DataSet_499,human,CHD3,501mel,SNORD49B,Melanoma,1,0,0,Melanoma,human,AS
33401,DataSet_499,human,CHD3,501mel,SPG7,Melanoma,1,0,0,Melanoma,human,AS
33399,DataSet_499,human,CHD3,501mel,SNORD49A,Melanoma,1,0,0,Melanoma,human,AS
33398,DataSet_499,human,CHD3,501mel,SNORD1C,Melanoma,1,0,0,Melanoma,human,AS
33397,DataSet_499,human,CHD3,501mel,SNHG29,Melanoma,1,0,0,Melanoma,human,AS
33402,DataSet_499,human,CHD3,501mel,TBC1D20,Melanoma,1,1,0,Melanoma,human,AS
33386,DataSet_499,human,CHD3,501mel,MECP2,Melanoma,1,1,0,Melanoma,human,AS
33395,DataSet_499,human,CHD3,501mel,SNHG16,Melanoma,1,0,0,Melanoma,human,AS
33394,DataSet_499,human,CHD3,501mel,SHTN1,Melanoma,1,0,0,Melanoma,human,AS
33393,DataSet_499,human,CHD3,501mel,PHKA2-AS1,Melanoma,1,0,0,Melanoma,human,AS
33392,DataSet_499,human,CHD3,501mel,PHKA2,Melanoma,1,1,0,Melanoma,human,AS
33391,DataSet_499,human,CHD3,501mel,NEAT1,Melanoma,1,0,0,Melanoma,human,AS
33390,DataSet_499,human,CHD3,501mel,NCK1,Melanoma,1,1,0,Melanoma,human,AS
33389,DataSet_499,human,CHD3,501mel,NCBP3,Melanoma,1,1,0,Melanoma,human,AS
33388,DataSet_499,human,CHD3,501mel,MIR3064,Melanoma,1,0,0,Melanoma,human,AS
33366,DataSet_499,human,CHD3,501mel,AMACR,Melanoma,1,1,0,Melanoma,human,AS
33367,DataSet_499,human,CHD3,501mel,ATXN2L,Melanoma,1,1,0,Melanoma,human,AS
33376,DataSet_499,human,CHD3,501mel,ENO4,Melanoma,1,0,0,Melanoma,human,AS
33368,DataSet_499,human,CHD3,501mel,BRD9,Melanoma,1,0,0,Melanoma,human,AS
33369,DataSet_499,human,CHD3,501mel,C11orf24,Melanoma,1,1,0,Melanoma,human,AS
33370,DataSet_499,human,CHD3,501mel,C1QTNF3-AMACR,Melanoma,1,0,0,Melanoma,human,AS
33372,DataSet_499,human,CHD3,501mel,CUTA,Melanoma,1,1,0,Melanoma,human,AS
33373,DataSet_499,human,CHD3,501mel,DDX5,Melanoma,1,1,0,Melanoma,human,AS
33374,DataSet_499,human,CHD3,501mel,DUSP22,Melanoma,1,1,0,Melanoma,human,AS
33377,DataSet_499,human,CHD3,501mel,ENSG00000277599,Melanoma,1,0,0,Melanoma,human,AS
33384,DataSet_499,human,CHD3,501mel,HPS4,Melanoma,1,1,0,Melanoma,human,AS
33378,DataSet_499,human,CHD3,501mel,ENSG00000278050,Melanoma,1,0,0,Melanoma,human,AS
33379,DataSet_499,human,CHD3,501mel,ENSG00000278144,Melanoma,1,0,0,Melanoma,human,AS
33380,DataSet_499,human,CHD3,501mel,ENSG00000283479,Melanoma,1,0,0,Melanoma,human,AS
33381,DataSet_499,human,CHD3,501mel,FOXRED2,Melanoma,1,1,0,Melanoma,human,AS
33382,DataSet_499,human,CHD3,501mel,GSS,Melanoma,1,1,0,Melanoma,human,AS
33383,DataSet_499,human,CHD3,501mel,HP1BP3,Melanoma,1,1,0,Melanoma,human,AS
33403,DataSet_499,human,CHD3,501mel,TPTEP2-CSNK1E,Melanoma,1,1,0,Melanoma,human,AS
33362,DataSet_498,human,CHD4,501mel,CHMP2A,Melanoma,1,1,0,Melanoma,human,AS
33363,DataSet_498,human,CHD4,501mel,CIITA,Melanoma,1,0,0,Melanoma,human,AS
33364,DataSet_498,human,CHD4,501mel,DEXI,Melanoma,1,0,0,Melanoma,human,AS
33365,DataSet_498,human,CHD4,501mel,MTHFD2P1,Melanoma,1,0,0,Melanoma,human,AS
