Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
26222,DataSet_452,human,RBM47,H358,CD44,Minimally invasive lung adenocarcinoma,5,5,0,Minimally invasive lung adenocarcinoma,human,AS
26246,DataSet_452,human,RBM47,H358,SEC31A,Minimally invasive lung adenocarcinoma,3,3,0,Minimally invasive lung adenocarcinoma,human,AS
26229,DataSet_452,human,RBM47,H358,FLNB,Minimally invasive lung adenocarcinoma,3,2,0,Minimally invasive lung adenocarcinoma,human,AS
26249,DataSet_452,human,RBM47,H358,TMEM87A,Minimally invasive lung adenocarcinoma,2,2,0,Minimally invasive lung adenocarcinoma,human,AS
26239,DataSet_452,human,RBM47,H358,MYO1B,Minimally invasive lung adenocarcinoma,2,2,0,Minimally invasive lung adenocarcinoma,human,AS
26223,DataSet_452,human,RBM47,H358,CD46,Minimally invasive lung adenocarcinoma,2,2,0,Minimally invasive lung adenocarcinoma,human,AS
26242,DataSet_452,human,RBM47,H358,PPFIBP1,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26238,DataSet_452,human,RBM47,H358,MYO18A,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26240,DataSet_452,human,RBM47,H358,NEDD4L,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26241,DataSet_452,human,RBM47,H358,OSBPL9,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26244,DataSet_452,human,RBM47,H358,QSOX1,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26243,DataSet_452,human,RBM47,H358,PTK2,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26236,DataSet_452,human,RBM47,H358,MPRIP,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26245,DataSet_452,human,RBM47,H358,RTKN,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26247,DataSet_452,human,RBM47,H358,TBC1D23,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26248,DataSet_452,human,RBM47,H358,TMEM41B,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26237,DataSet_452,human,RBM47,H358,MYL6,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26218,DataSet_452,human,RBM47,H358,ACOT9,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26235,DataSet_452,human,RBM47,H358,MAP3K7,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26219,DataSet_452,human,RBM47,H358,ACSF2,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26233,DataSet_452,human,RBM47,H358,LUC7L3,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26232,DataSet_452,human,RBM47,H358,LMO7,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26231,DataSet_452,human,RBM47,H358,KIAA1109,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26230,DataSet_452,human,RBM47,H358,ITGA6,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26228,DataSet_452,human,RBM47,H358,FAM126A,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26227,DataSet_452,human,RBM47,H358,ESRP1,Minimally invasive lung adenocarcinoma,1,1,1,Minimally invasive lung adenocarcinoma,human,AS
26226,DataSet_452,human,RBM47,H358,ENSG00000288534,Minimally invasive lung adenocarcinoma,1,0,0,Minimally invasive lung adenocarcinoma,human,AS
26225,DataSet_452,human,RBM47,H358,ENSG00000235237,Minimally invasive lung adenocarcinoma,1,0,0,Minimally invasive lung adenocarcinoma,human,AS
26224,DataSet_452,human,RBM47,H358,CTNND1,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26221,DataSet_452,human,RBM47,H358,C1QTNF6,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26220,DataSet_452,human,RBM47,H358,ARFIP1,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
26234,DataSet_452,human,RBM47,H358,MACF1,Minimally invasive lung adenocarcinoma,1,1,0,Minimally invasive lung adenocarcinoma,human,AS
