Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
4467,DataSet_167,human,FAM120A,SH-SY5Y,MAP4K4,Neuroblastoma,9,7,0,Neuroblastoma,human,AS
4019,DataSet_167,human,FAM120A,SH-SY5Y,BIN1,Neuroblastoma,9,0,0,Neuroblastoma,human,AS
4324,DataSet_167,human,FAM120A,SH-SY5Y,GARS1-DT,Neuroblastoma,8,0,0,Neuroblastoma,human,AS
4385,DataSet_167,human,FAM120A,SH-SY5Y,IMMP1L,Neuroblastoma,8,0,0,Neuroblastoma,human,AS
4615,DataSet_167,human,FAM120A,SH-SY5Y,PHACTR4,Neuroblastoma,7,2,0,Neuroblastoma,human,AS
4471,DataSet_167,human,FAM120A,SH-SY5Y,MAPK8IP3,Neuroblastoma,7,4,0,Neuroblastoma,human,AS
4132,DataSet_167,human,FAM120A,SH-SY5Y,DAG1,Neuroblastoma,7,0,0,Neuroblastoma,human,AS
4133,DataSet_167,human,FAM120A,SH-SY5Y,DALRD3,Neuroblastoma,6,6,0,Neuroblastoma,human,AS
4123,DataSet_167,human,FAM120A,SH-SY5Y,CUL7,Neuroblastoma,6,4,0,Neuroblastoma,human,AS
4063,DataSet_167,human,FAM120A,SH-SY5Y,CD47,Neuroblastoma,6,0,0,Neuroblastoma,human,AS
4417,DataSet_167,human,FAM120A,SH-SY5Y,KIF21A,Neuroblastoma,6,1,0,Neuroblastoma,human,AS
4480,DataSet_167,human,FAM120A,SH-SY5Y,MEAF6,Neuroblastoma,6,6,0,Neuroblastoma,human,AS
4103,DataSet_167,human,FAM120A,SH-SY5Y,COA1,Neuroblastoma,6,0,0,Neuroblastoma,human,AS
4725,DataSet_167,human,FAM120A,SH-SY5Y,REC8,Neuroblastoma,6,6,0,Neuroblastoma,human,AS
4135,DataSet_167,human,FAM120A,SH-SY5Y,DCAF16,Neuroblastoma,5,0,0,Neuroblastoma,human,AS
4569,DataSet_167,human,FAM120A,SH-SY5Y,NSUN5P2,Neuroblastoma,5,0,0,Neuroblastoma,human,AS
