Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
25985,DataSet_449,human,ADAR,HUVEC,HHIP,Normal,1,0,0,Normal,human,AS
25986,DataSet_449,human,ADAR,HUVEC,HNRNPA2B1,Normal,1,1,0,Normal,human,AS
25987,DataSet_449,human,ADAR,HUVEC,SRSF7,Normal,1,1,0,Normal,human,AS
9429,DataSet_23,human,ADAR1,IMR90,RSRP1,Normal,5,3,0,Normal,human,AS
9460,DataSet_23,human,ADAR1,IMR90,SNORD22,Normal,4,0,0,Normal,human,AS
9495,DataSet_23,human,ADAR1,IMR90,TFPI,Normal,4,0,0,Normal,human,AS
9490,DataSet_23,human,ADAR1,IMR90,TAF1D,Normal,4,1,0,Normal,human,AS
9133,DataSet_23,human,ADAR1,IMR90,CCNL1,Normal,4,4,0,Normal,human,AS
9442,DataSet_23,human,ADAR1,IMR90,SNHG1,Normal,4,0,0,Normal,human,AS
9364,DataSet_23,human,ADAR1,IMR90,NFKBIZ,Normal,3,3,0,Normal,human,AS
9533,DataSet_23,human,ADAR1,IMR90,WSB1,Normal,3,1,0,Normal,human,AS
9520,DataSet_23,human,ADAR1,IMR90,UBE3A,Normal,3,2,0,Normal,human,AS
9440,DataSet_23,human,ADAR1,IMR90,SLTM,Normal,3,3,0,Normal,human,AS
9335,DataSet_23,human,ADAR1,IMR90,MFGE8,Normal,3,0,0,Normal,human,AS
9322,DataSet_23,human,ADAR1,IMR90,MAN2C1,Normal,3,3,0,Normal,human,AS
9357,DataSet_23,human,ADAR1,IMR90,NABP2,Normal,2,2,0,Normal,human,AS
9350,DataSet_23,human,ADAR1,IMR90,MRPL55,Normal,2,1,0,Normal,human,AS
9347,DataSet_23,human,ADAR1,IMR90,MPDU1,Normal,2,2,0,Normal,human,AS
9333,DataSet_23,human,ADAR1,IMR90,MEG8,Normal,2,0,0,Normal,human,AS
9308,DataSet_23,human,ADAR1,IMR90,LINC-PINT,Normal,2,0,0,Normal,human,AS
9318,DataSet_23,human,ADAR1,IMR90,LUC7L3,Normal,2,2,0,Normal,human,AS
9314,DataSet_23,human,ADAR1,IMR90,LPCAT3,Normal,2,2,0,Normal,human,AS
9393,DataSet_23,human,ADAR1,IMR90,POLG,Normal,2,2,0,Normal,human,AS
9290,DataSet_23,human,ADAR1,IMR90,HNRNPDL,Normal,2,1,0,Normal,human,AS
9288,DataSet_23,human,ADAR1,IMR90,HNRNPA1,Normal,2,2,1,Normal,human,AS
9246,DataSet_23,human,ADAR1,IMR90,EXOC7,Normal,2,2,0,Normal,human,AS
9235,DataSet_23,human,ADAR1,IMR90,ENSG00000285106,Normal,2,0,0,Normal,human,AS
9231,DataSet_23,human,ADAR1,IMR90,ENSG00000279382,Normal,2,0,0,Normal,human,AS
9224,DataSet_23,human,ADAR1,IMR90,ENSG00000272104,Normal,2,2,0,Normal,human,AS
9200,DataSet_23,human,ADAR1,IMR90,ENSG00000228606,Normal,2,0,0,Normal,human,AS
9365,DataSet_23,human,ADAR1,IMR90,NKTR,Normal,2,2,0,Normal,human,AS
9177,DataSet_23,human,ADAR1,IMR90,DNAAF4-CCPG1,Normal,2,0,0,Normal,human,AS
9396,DataSet_23,human,ADAR1,IMR90,PPIL2,Normal,2,2,0,Normal,human,AS
9465,DataSet_23,human,ADAR1,IMR90,SNORD30,Normal,2,0,0,Normal,human,AS
