Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
61688,DataSet_747,human,ALKBH5,143B,AKAP8L,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61713,DataSet_747,human,ALKBH5,143B,SNHG17,Osteosarcoma,1,0,0,Osteosarcoma,human,AS
61707,DataSet_747,human,ALKBH5,143B,OGT,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61708,DataSet_747,human,ALKBH5,143B,PALM2AKAP2,Osteosarcoma,1,0,0,Osteosarcoma,human,AS
61709,DataSet_747,human,ALKBH5,143B,PAM,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61710,DataSet_747,human,ALKBH5,143B,QSOX1,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61711,DataSet_747,human,ALKBH5,143B,RPAIN,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61712,DataSet_747,human,ALKBH5,143B,SNHG1,Osteosarcoma,1,0,0,Osteosarcoma,human,AS
61714,DataSet_747,human,ALKBH5,143B,SNORA71,Osteosarcoma,1,0,0,Osteosarcoma,human,AS
61689,DataSet_747,human,ALKBH5,143B,AP2A2,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61715,DataSet_747,human,ALKBH5,143B,SNORD22,Osteosarcoma,1,0,0,Osteosarcoma,human,AS
61716,DataSet_747,human,ALKBH5,143B,TCF3,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61717,DataSet_747,human,ALKBH5,143B,TNFRSF12A,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61718,DataSet_747,human,ALKBH5,143B,ULK3,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61719,DataSet_747,human,ALKBH5,143B,VDAC1,Osteosarcoma,1,0,0,Osteosarcoma,human,AS
61720,DataSet_747,human,ALKBH5,143B,WDR6,Osteosarcoma,1,0,0,Osteosarcoma,human,AS
61706,DataSet_747,human,ALKBH5,143B,NSMF,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61705,DataSet_747,human,ALKBH5,143B,KRT8,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61704,DataSet_747,human,ALKBH5,143B,KRT18,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61703,DataSet_747,human,ALKBH5,143B,KRR1,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61702,DataSet_747,human,ALKBH5,143B,JMJD8,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
61701,DataSet_747,human,ALKBH5,143B,IP6K2,Osteosarcoma,1,1,0,Osteosarcoma,human,AS
