Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
6178,DataSet_179,human,PUM1,SGC7901,RNF34,Papillomavirus-related endocervical adenocarcinoma,5,1,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6134,DataSet_179,human,PUM1,SGC7901,EIF4A2,Papillomavirus-related endocervical adenocarcinoma,3,3,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6105,DataSet_179,human,PUM1,SGC7901,ANO6,Papillomavirus-related endocervical adenocarcinoma,3,2,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6142,DataSet_179,human,PUM1,SGC7901,FAM156B,Papillomavirus-related endocervical adenocarcinoma,3,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6127,DataSet_179,human,PUM1,SGC7901,COL4A5,Papillomavirus-related endocervical adenocarcinoma,2,2,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6163,DataSet_179,human,PUM1,SGC7901,N4BP2L2,Papillomavirus-related endocervical adenocarcinoma,2,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6130,DataSet_179,human,PUM1,SGC7901,CRNDE,Papillomavirus-related endocervical adenocarcinoma,2,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6172,DataSet_179,human,PUM1,SGC7901,PRPF38B,Papillomavirus-related endocervical adenocarcinoma,2,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6171,DataSet_179,human,PUM1,SGC7901,PQBP1,Papillomavirus-related endocervical adenocarcinoma,2,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6179,DataSet_179,human,PUM1,SGC7901,SNHG8,Papillomavirus-related endocervical adenocarcinoma,2,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6119,DataSet_179,human,PUM1,SGC7901,CD46,Papillomavirus-related endocervical adenocarcinoma,2,2,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6187,DataSet_179,human,PUM1,SGC7901,TIMM17B,Papillomavirus-related endocervical adenocarcinoma,2,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6152,DataSet_179,human,PUM1,SGC7901,IFRD2,Papillomavirus-related endocervical adenocarcinoma,2,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6104,DataSet_179,human,PUM1,SGC7901,ALKBH2,Papillomavirus-related endocervical adenocarcinoma,2,2,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6110,DataSet_179,human,PUM1,SGC7901,ARGLU1,Papillomavirus-related endocervical adenocarcinoma,2,2,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6108,DataSet_179,human,PUM1,SGC7901,APLP2,Papillomavirus-related endocervical adenocarcinoma,2,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6162,DataSet_179,human,PUM1,SGC7901,MXD1,Papillomavirus-related endocervical adenocarcinoma,1,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6169,DataSet_179,human,PUM1,SGC7901,PMPCB,Papillomavirus-related endocervical adenocarcinoma,1,1,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6157,DataSet_179,human,PUM1,SGC7901,LMO7,Papillomavirus-related endocervical adenocarcinoma,1,1,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6158,DataSet_179,human,PUM1,SGC7901,LPCAT3,Papillomavirus-related endocervical adenocarcinoma,1,1,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6159,DataSet_179,human,PUM1,SGC7901,MCTS2P,Papillomavirus-related endocervical adenocarcinoma,1,1,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6170,DataSet_179,human,PUM1,SGC7901,PPIL3,Papillomavirus-related endocervical adenocarcinoma,1,1,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6168,DataSet_179,human,PUM1,SGC7901,PICALM,Papillomavirus-related endocervical adenocarcinoma,1,1,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6161,DataSet_179,human,PUM1,SGC7901,MIR636,Papillomavirus-related endocervical adenocarcinoma,1,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6167,DataSet_179,human,PUM1,SGC7901,PABPC4,Papillomavirus-related endocervical adenocarcinoma,1,1,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6166,DataSet_179,human,PUM1,SGC7901,OVCA2,Papillomavirus-related endocervical adenocarcinoma,1,1,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
6160,DataSet_179,human,PUM1,SGC7901,MFSD11,Papillomavirus-related endocervical adenocarcinoma,1,0,0,Papillomavirus-related endocervical adenocarcinoma,human,AS
