Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
49625,DataSet_67,human,BRCA1,RPMI8402,SIGIRR,Precursor T-cell acute lymphoblastic leukemia,3,2,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49647,DataSet_67,human,BRCA1,RPMI8402,ZFAND5,Precursor T-cell acute lymphoblastic leukemia,2,2,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49637,DataSet_67,human,BRCA1,RPMI8402,TINF2,Precursor T-cell acute lymphoblastic leukemia,2,2,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49577,DataSet_67,human,BRCA1,RPMI8402,FMNL1-DT,Precursor T-cell acute lymphoblastic leukemia,2,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49617,DataSet_67,human,BRCA1,RPMI8402,RBM5,Precursor T-cell acute lymphoblastic leukemia,2,2,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49559,DataSet_67,human,BRCA1,RPMI8402,CIT,Precursor T-cell acute lymphoblastic leukemia,2,2,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49634,DataSet_67,human,BRCA1,RPMI8402,TENT2,Precursor T-cell acute lymphoblastic leukemia,2,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49589,DataSet_67,human,BRCA1,RPMI8402,LETMD1,Precursor T-cell acute lymphoblastic leukemia,2,2,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49575,DataSet_67,human,BRCA1,RPMI8402,FGD5-AS1,Precursor T-cell acute lymphoblastic leukemia,2,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49592,DataSet_67,human,BRCA1,RPMI8402,LUC7L,Precursor T-cell acute lymphoblastic leukemia,2,2,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49602,DataSet_67,human,BRCA1,RPMI8402,MZB1,Precursor T-cell acute lymphoblastic leukemia,2,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49606,DataSet_67,human,BRCA1,RPMI8402,NUCB2,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49613,DataSet_67,human,BRCA1,RPMI8402,PRPF4B,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49618,DataSet_67,human,BRCA1,RPMI8402,RBM5-AS1,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49601,DataSet_67,human,BRCA1,RPMI8402,MXD3,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49616,DataSet_67,human,BRCA1,RPMI8402,RBL2,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49603,DataSet_67,human,BRCA1,RPMI8402,NELFCD,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49615,DataSet_67,human,BRCA1,RPMI8402,RAB24,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49614,DataSet_67,human,BRCA1,RPMI8402,PYROXD1,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49612,DataSet_67,human,BRCA1,RPMI8402,PQBP1,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49605,DataSet_67,human,BRCA1,RPMI8402,NPHP3-ACAD11,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49611,DataSet_67,human,BRCA1,RPMI8402,PPRC1,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49610,DataSet_67,human,BRCA1,RPMI8402,PPIL3,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49609,DataSet_67,human,BRCA1,RPMI8402,POU4F1,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49619,DataSet_67,human,BRCA1,RPMI8402,RBM6,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49604,DataSet_67,human,BRCA1,RPMI8402,NMRAL1,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49607,DataSet_67,human,BRCA1,RPMI8402,PDS5A,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49608,DataSet_67,human,BRCA1,RPMI8402,PFDN5,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49621,DataSet_67,human,BRCA1,RPMI8402,RCOR3,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49620,DataSet_67,human,BRCA1,RPMI8402,RBPJ,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49633,DataSet_67,human,BRCA1,RPMI8402,TAPBPL,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49644,DataSet_67,human,BRCA1,RPMI8402,VPS29,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49643,DataSet_67,human,BRCA1,RPMI8402,VAMP1,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49642,DataSet_67,human,BRCA1,RPMI8402,TTC16,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49641,DataSet_67,human,BRCA1,RPMI8402,TSPYL4,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49640,DataSet_67,human,BRCA1,RPMI8402,TREX2,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49639,DataSet_67,human,BRCA1,RPMI8402,TRA2A,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49638,DataSet_67,human,BRCA1,RPMI8402,TOR2A,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49636,DataSet_67,human,BRCA1,RPMI8402,TIA1,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49635,DataSet_67,human,BRCA1,RPMI8402,THOC2,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49632,DataSet_67,human,BRCA1,RPMI8402,SUGP2,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49599,DataSet_67,human,BRCA1,RPMI8402,MRPL35,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49631,DataSet_67,human,BRCA1,RPMI8402,STK32C,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49630,DataSet_67,human,BRCA1,RPMI8402,SRSF5,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49629,DataSet_67,human,BRCA1,RPMI8402,SRSF2,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49628,DataSet_67,human,BRCA1,RPMI8402,SRRM2,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49627,DataSet_67,human,BRCA1,RPMI8402,SNX5,Precursor T-cell acute lymphoblastic leukemia,1,1,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
49626,DataSet_67,human,BRCA1,RPMI8402,SLC25A36,Precursor T-cell acute lymphoblastic leukemia,1,0,0,Precursor T-cell acute lymphoblastic leukemia,human,AS
