Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
30208,DataSet_493,human,ARID4B,PC3,ARF6,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
30209,DataSet_493,human,ARID4B,PC3,ARG2,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30226,DataSet_493,human,ARID4B,PC3,VTI1B,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
30225,DataSet_493,human,ARID4B,PC3,RPUSD3,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30224,DataSet_493,human,ARID4B,PC3,RPS2,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30223,DataSet_493,human,ARID4B,PC3,PPFIBP1,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30222,DataSet_493,human,ARID4B,PC3,POLDIP3,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30221,DataSet_493,human,ARID4B,PC3,NCAPG2,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30220,DataSet_493,human,ARID4B,PC3,KHSRP,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30219,DataSet_493,human,ARID4B,PC3,ISG20L2,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30218,DataSet_493,human,ARID4B,PC3,ENSG00000289517,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
30217,DataSet_493,human,ARID4B,PC3,EIF6,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30216,DataSet_493,human,ARID4B,PC3,EIF4H,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30215,DataSet_493,human,ARID4B,PC3,EIF4A2,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30214,DataSet_493,human,ARID4B,PC3,DUSP22,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30213,DataSet_493,human,ARID4B,PC3,CEBPZOS,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30212,DataSet_493,human,ARID4B,PC3,CEBPZ,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30211,DataSet_493,human,ARID4B,PC3,CD47,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
30210,DataSet_493,human,ARID4B,PC3,C11orf24,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
30227,DataSet_493,human,ARID4B,PC3,WRAP73,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53954,DataSet_713,human,EED,LNCaP-abl,ATG3,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53955,DataSet_713,human,EED,LNCaP-abl,CCNL1,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53956,DataSet_713,human,EED,LNCaP-abl,ENSG00000269179,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
53957,DataSet_713,human,EED,LNCaP-abl,MRPS21,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53958,DataSet_713,human,EED,LNCaP-abl,MYL6,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53959,DataSet_713,human,EED,LNCaP-abl,MYL6B,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
53960,DataSet_713,human,EED,LNCaP-abl,NUP62,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53961,DataSet_713,human,EED,LNCaP-abl,PAXX,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53962,DataSet_713,human,EED,LNCaP-abl,PRAME,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53963,DataSet_713,human,EED,LNCaP-abl,PUF60,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53964,DataSet_713,human,EED,LNCaP-abl,RPL13,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53965,DataSet_713,human,EED,LNCaP-abl,SNHG12,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
53966,DataSet_713,human,EED,LNCaP-abl,SNORA61,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
53967,DataSet_713,human,EED,LNCaP-abl,SRSF5,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
53968,DataSet_713,human,EED,LNCaP-abl,WDR13,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67150,DataSet_824,human,EZH2,LNCaP-abl,EWSR1,Prostate carcinoma,2,2,0,prostate carcinoma,human,AS
67130,DataSet_824,human,EZH2,LNCaP-abl,ABCB9,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67159,DataSet_824,human,EZH2,LNCaP-abl,MAGED2,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67161,DataSet_824,human,EZH2,LNCaP-abl,METTL26,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67162,DataSet_824,human,EZH2,LNCaP-abl,MFSD11,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67163,DataSet_824,human,EZH2,LNCaP-abl,MID1IP1,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67164,DataSet_824,human,EZH2,LNCaP-abl,MID1IP1-AS1,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67165,DataSet_824,human,EZH2,LNCaP-abl,MRPS21,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67166,DataSet_824,human,EZH2,LNCaP-abl,MTERF2,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67167,DataSet_824,human,EZH2,LNCaP-abl,NAP1L1,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67168,DataSet_824,human,EZH2,LNCaP-abl,NBEAL2,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67169,DataSet_824,human,EZH2,LNCaP-abl,PHC1,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67170,DataSet_824,human,EZH2,LNCaP-abl,PPID,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67171,DataSet_824,human,EZH2,LNCaP-abl,PUF60,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67172,DataSet_824,human,EZH2,LNCaP-abl,RPL38,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67173,DataSet_824,human,EZH2,LNCaP-abl,RPS23,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67174,DataSet_824,human,EZH2,LNCaP-abl,SAT2,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67175,DataSet_824,human,EZH2,LNCaP-abl,SCAND2P,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67176,DataSet_824,human,EZH2,LNCaP-abl,SCYL1,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67177,DataSet_824,human,EZH2,LNCaP-abl,SFPQ,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67178,DataSet_824,human,EZH2,LNCaP-abl,SGSM2,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67179,DataSet_824,human,EZH2,LNCaP-abl,SNHG8,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67180,DataSet_824,human,EZH2,LNCaP-abl,SNORA24,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67181,DataSet_824,human,EZH2,LNCaP-abl,SRSF1,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67182,DataSet_824,human,EZH2,LNCaP-abl,SRSF2,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67183,DataSet_824,human,EZH2,LNCaP-abl,SYNE4,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67184,DataSet_824,human,EZH2,LNCaP-abl,WDR73,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67160,DataSet_824,human,EZH2,LNCaP-abl,MCRS1,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67158,DataSet_824,human,EZH2,LNCaP-abl,IRF3,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67131,DataSet_824,human,EZH2,LNCaP-abl,ABHD14A-ACY1,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67143,DataSet_824,human,EZH2,LNCaP-abl,DYNC1LI2,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67132,DataSet_824,human,EZH2,LNCaP-abl,ACY1,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67133,DataSet_824,human,EZH2,LNCaP-abl,ARHGDIA,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67134,DataSet_824,human,EZH2,LNCaP-abl,ARL6IP4,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67135,DataSet_824,human,EZH2,LNCaP-abl,ATG10,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67136,DataSet_824,human,EZH2,LNCaP-abl,ATP5F1D,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67137,DataSet_824,human,EZH2,LNCaP-abl,BCL2L12,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67138,DataSet_824,human,EZH2,LNCaP-abl,CEBPZ,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67139,DataSet_824,human,EZH2,LNCaP-abl,CEBPZOS,Prostate carcinoma,1,0,0,prostate carcinoma,human,AS
67140,DataSet_824,human,EZH2,LNCaP-abl,DALRD3,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
67141,DataSet_824,human,EZH2,LNCaP-abl,DDX17,Prostate carcinoma,1,1,0,prostate carcinoma,human,AS
