Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
6625,DataSet_191,human,FUS,786-O,NSD2,Renal cell carcinoma,3,0,0,Renal cell carcinoma,human,AS
6633,DataSet_191,human,FUS,786-O,PTK2,Renal cell carcinoma,2,0,0,Renal cell carcinoma,human,AS
6634,DataSet_191,human,FUS,786-O,PUM1,Renal cell carcinoma,2,0,0,Renal cell carcinoma,human,AS
6635,DataSet_191,human,FUS,786-O,RBM39,Renal cell carcinoma,2,2,0,Renal cell carcinoma,human,AS
6596,DataSet_191,human,FUS,786-O,ACAA1,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6627,DataSet_191,human,FUS,786-O,PCBP1-AS1,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6628,DataSet_191,human,FUS,786-O,PHYKPL,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6629,DataSet_191,human,FUS,786-O,POLR3C,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6630,DataSet_191,human,FUS,786-O,PPP3CB-AS1,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6631,DataSet_191,human,FUS,786-O,PRKCSH,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6632,DataSet_191,human,FUS,786-O,PRPF4B,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6636,DataSet_191,human,FUS,786-O,RPL21,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6637,DataSet_191,human,FUS,786-O,RUFY1,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6638,DataSet_191,human,FUS,786-O,SHTN1,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6639,DataSet_191,human,FUS,786-O,SRSF10,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6640,DataSet_191,human,FUS,786-O,STIL,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6641,DataSet_191,human,FUS,786-O,TMEM183A,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6642,DataSet_191,human,FUS,786-O,TMEM33,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6643,DataSet_191,human,FUS,786-O,TMEM65,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6644,DataSet_191,human,FUS,786-O,TP53TG1,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6645,DataSet_191,human,FUS,786-O,TTC14,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6646,DataSet_191,human,FUS,786-O,UQCC1,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6647,DataSet_191,human,FUS,786-O,USP54,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6648,DataSet_191,human,FUS,786-O,WBP1,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6649,DataSet_191,human,FUS,786-O,ZDHHC6,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6650,DataSet_191,human,FUS,786-O,ZNF131,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6651,DataSet_191,human,FUS,786-O,ZNF266,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6626,DataSet_191,human,FUS,786-O,NUMA1,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6624,DataSet_191,human,FUS,786-O,NISCH,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6597,DataSet_191,human,FUS,786-O,APEX1,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6623,DataSet_191,human,FUS,786-O,MTF2,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6598,DataSet_191,human,FUS,786-O,ARSA,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6599,DataSet_191,human,FUS,786-O,AZIN2,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6600,DataSet_191,human,FUS,786-O,CCDC39,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6601,DataSet_191,human,FUS,786-O,CLK1,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6602,DataSet_191,human,FUS,786-O,CREBZF,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6603,DataSet_191,human,FUS,786-O,DUSP23,Renal cell carcinoma,1,1,0,Renal cell carcinoma,human,AS
6604,DataSet_191,human,FUS,786-O,ENO4,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6605,DataSet_191,human,FUS,786-O,ENSG00000214719,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6606,DataSet_191,human,FUS,786-O,ENSG00000216775,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
6607,DataSet_191,human,FUS,786-O,ENSG00000273623,Renal cell carcinoma,1,0,0,Renal cell carcinoma,human,AS
