Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
67263,DataSet_83,human,CNOT3,CCRF-CEM,USP21,T-cell acute lymphoblastic leukemia,2,2,0,T-cell acute lymphoblastic leukemia,human,AS
67448,DataSet_84,human,CNOT3,CCRF-CEM,EZH2,T-cell acute lymphoblastic leukemia,2,2,0,T-cell acute lymphoblastic leukemia,human,AS
67251,DataSet_83,human,CNOT3,CCRF-CEM,ARFGAP1,T-cell acute lymphoblastic leukemia,2,2,0,T-cell acute lymphoblastic leukemia,human,AS
67467,DataSet_85,human,CNOT3,CCRF-CEM,ENSG00000274425,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
67472,DataSet_85,human,CNOT3,CCRF-CEM,LZTR1,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67471,DataSet_85,human,CNOT3,CCRF-CEM,LIME1,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67470,DataSet_85,human,CNOT3,CCRF-CEM,KHSRP,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67469,DataSet_85,human,CNOT3,CCRF-CEM,ICAM3,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
67468,DataSet_85,human,CNOT3,CCRF-CEM,ENSG00000285314,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
65786,DataSet_79,human,CNOT3,Jurkat,DDX17,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67473,DataSet_85,human,CNOT3,CCRF-CEM,MMP24,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
67465,DataSet_85,human,CNOT3,CCRF-CEM,CMTR1,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67464,DataSet_85,human,CNOT3,CCRF-CEM,CCS,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67463,DataSet_85,human,CNOT3,CCRF-CEM,ATP5F1D,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67462,DataSet_85,human,CNOT3,CCRF-CEM,ATG10,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
67461,DataSet_85,human,CNOT3,CCRF-CEM,ARFGAP1,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67466,DataSet_85,human,CNOT3,CCRF-CEM,ENSG00000273154,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67474,DataSet_85,human,CNOT3,CCRF-CEM,MMP24OS,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67459,DataSet_84,human,CNOT3,CCRF-CEM,SUGP2,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
67475,DataSet_85,human,CNOT3,CCRF-CEM,MRFAP1,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67476,DataSet_85,human,CNOT3,CCRF-CEM,PIEZO1,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67477,DataSet_85,human,CNOT3,CCRF-CEM,RHPN1,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67478,DataSet_85,human,CNOT3,CCRF-CEM,RNPEPL1,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67479,DataSet_85,human,CNOT3,CCRF-CEM,RPS23,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67480,DataSet_85,human,CNOT3,CCRF-CEM,SOD2,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67481,DataSet_85,human,CNOT3,CCRF-CEM,STAT6,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67482,DataSet_85,human,CNOT3,CCRF-CEM,SUN1,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67483,DataSet_85,human,CNOT3,CCRF-CEM,TAFAZZIN,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67484,DataSet_85,human,CNOT3,CCRF-CEM,TMEM94,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67485,DataSet_85,human,CNOT3,CCRF-CEM,ZNF692,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67486,DataSet_86,human,CNOT3,CCRF-CEM,COASY,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67487,DataSet_86,human,CNOT3,CCRF-CEM,ENSG00000274425,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
67488,DataSet_86,human,CNOT3,CCRF-CEM,ICAM3,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
67460,DataSet_84,human,CNOT3,CCRF-CEM,ZAP70,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
67457,DataSet_84,human,CNOT3,CCRF-CEM,SNRPG,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
67458,DataSet_84,human,CNOT3,CCRF-CEM,SRSF6,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
65824,DataSet_80,human,CNOT3,Jurkat,DDX17,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
65963,DataSet_81,human,CNOT3,CCRF-CEM,CDK5RAP3,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
65964,DataSet_81,human,CNOT3,CCRF-CEM,ENSG00000263798,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
66312,DataSet_82,human,CNOT3,CCRF-CEM,SCARB1,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
66313,DataSet_82,human,CNOT3,CCRF-CEM,SNHG1,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
66314,DataSet_82,human,CNOT3,CCRF-CEM,SNORD22,T-cell acute lymphoblastic leukemia,1,0,0,T-cell acute lymphoblastic leukemia,human,AS
67252,DataSet_83,human,CNOT3,CCRF-CEM,C8orf33,T-cell acute lymphoblastic leukemia,1,1,0,T-cell acute lymphoblastic leukemia,human,AS
