Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
17044,DataSet_337,human,QKI,CAL27,CD44,Tongue adenosquamous carcinoma,9,1,0,Tongue adenosquamous carcinoma,human,AS
17117,DataSet_337,human,QKI,CAL27,PTOV1,Tongue adenosquamous carcinoma,4,4,0,Tongue adenosquamous carcinoma,human,AS
17045,DataSet_337,human,QKI,CAL27,CD47,Tongue adenosquamous carcinoma,4,4,0,Tongue adenosquamous carcinoma,human,AS
17118,DataSet_337,human,QKI,CAL27,PTOV1-AS2,Tongue adenosquamous carcinoma,4,0,0,Tongue adenosquamous carcinoma,human,AS
17156,DataSet_337,human,QKI,CAL27,SPSB3,Tongue adenosquamous carcinoma,3,3,0,Tongue adenosquamous carcinoma,human,AS
17065,DataSet_337,human,QKI,CAL27,EME2,Tongue adenosquamous carcinoma,3,0,0,Tongue adenosquamous carcinoma,human,AS
17095,DataSet_337,human,QKI,CAL27,MARK3,Tongue adenosquamous carcinoma,3,3,0,Tongue adenosquamous carcinoma,human,AS
17100,DataSet_337,human,QKI,CAL27,MPV17,Tongue adenosquamous carcinoma,3,0,0,Tongue adenosquamous carcinoma,human,AS
17064,DataSet_337,human,QKI,CAL27,EIF4A2,Tongue adenosquamous carcinoma,2,0,0,Tongue adenosquamous carcinoma,human,AS
17051,DataSet_337,human,QKI,CAL27,COMMD4,Tongue adenosquamous carcinoma,2,2,0,Tongue adenosquamous carcinoma,human,AS
17111,DataSet_337,human,QKI,CAL27,PIEZO1,Tongue adenosquamous carcinoma,2,0,0,Tongue adenosquamous carcinoma,human,AS
17078,DataSet_337,human,QKI,CAL27,FASTK,Tongue adenosquamous carcinoma,2,1,0,Tongue adenosquamous carcinoma,human,AS
17146,DataSet_337,human,QKI,CAL27,SNORD27,Tongue adenosquamous carcinoma,2,0,0,Tongue adenosquamous carcinoma,human,AS
17138,DataSet_337,human,QKI,CAL27,SNHG1,Tongue adenosquamous carcinoma,2,0,0,Tongue adenosquamous carcinoma,human,AS
17127,DataSet_337,human,QKI,CAL27,SAT1,Tongue adenosquamous carcinoma,2,2,0,Tongue adenosquamous carcinoma,human,AS
17147,DataSet_337,human,QKI,CAL27,SNORD28,Tongue adenosquamous carcinoma,2,0,0,Tongue adenosquamous carcinoma,human,AS
17148,DataSet_337,human,QKI,CAL27,SNORD30,Tongue adenosquamous carcinoma,2,0,0,Tongue adenosquamous carcinoma,human,AS
17128,DataSet_337,human,QKI,CAL27,SBF1,Tongue adenosquamous carcinoma,2,2,0,Tongue adenosquamous carcinoma,human,AS
17130,DataSet_337,human,QKI,CAL27,SGSM2,Tongue adenosquamous carcinoma,2,2,0,Tongue adenosquamous carcinoma,human,AS
17143,DataSet_337,human,QKI,CAL27,SNORD22,Tongue adenosquamous carcinoma,2,0,0,Tongue adenosquamous carcinoma,human,AS
17092,DataSet_337,human,QKI,CAL27,MAN1B1,Tongue adenosquamous carcinoma,1,0,0,Tongue adenosquamous carcinoma,human,AS
17091,DataSet_337,human,QKI,CAL27,LINC01764,Tongue adenosquamous carcinoma,1,0,0,Tongue adenosquamous carcinoma,human,AS
17090,DataSet_337,human,QKI,CAL27,L3HYPDH,Tongue adenosquamous carcinoma,1,0,0,Tongue adenosquamous carcinoma,human,AS
17089,DataSet_337,human,QKI,CAL27,KRT8,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17088,DataSet_337,human,QKI,CAL27,KRT18,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17114,DataSet_337,human,QKI,CAL27,PQBP1,Tongue adenosquamous carcinoma,1,0,0,Tongue adenosquamous carcinoma,human,AS
17087,DataSet_337,human,QKI,CAL27,KREMEN2,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17093,DataSet_337,human,QKI,CAL27,MAP3K7,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17085,DataSet_337,human,QKI,CAL27,ISG20L2,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17084,DataSet_337,human,QKI,CAL27,IQANK1,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17083,DataSet_337,human,QKI,CAL27,HMGN1,Tongue adenosquamous carcinoma,1,0,0,Tongue adenosquamous carcinoma,human,AS
17082,DataSet_337,human,QKI,CAL27,GGCX,Tongue adenosquamous carcinoma,1,0,0,Tongue adenosquamous carcinoma,human,AS
17081,DataSet_337,human,QKI,CAL27,GALT,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17080,DataSet_337,human,QKI,CAL27,FYB1,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17086,DataSet_337,human,QKI,CAL27,KHNYN,Tongue adenosquamous carcinoma,1,0,0,Tongue adenosquamous carcinoma,human,AS
17097,DataSet_337,human,QKI,CAL27,MAVS,Tongue adenosquamous carcinoma,1,0,0,Tongue adenosquamous carcinoma,human,AS
17094,DataSet_337,human,QKI,CAL27,MARK2,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17105,DataSet_337,human,QKI,CAL27,NASP,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17112,DataSet_337,human,QKI,CAL27,PKMYT1,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17110,DataSet_337,human,QKI,CAL27,PICALM,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17109,DataSet_337,human,QKI,CAL27,PCBP2,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17108,DataSet_337,human,QKI,CAL27,OTUD5,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17107,DataSet_337,human,QKI,CAL27,NUBP2,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17106,DataSet_337,human,QKI,CAL27,NIN,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17104,DataSet_337,human,QKI,CAL27,MYOF,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17096,DataSet_337,human,QKI,CAL27,MATR3,Tongue adenosquamous carcinoma,1,0,0,Tongue adenosquamous carcinoma,human,AS
17079,DataSet_337,human,QKI,CAL27,FBXL15,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17102,DataSet_337,human,QKI,CAL27,MSTO1,Tongue adenosquamous carcinoma,1,1,0,Tongue adenosquamous carcinoma,human,AS
17101,DataSet_337,human,QKI,CAL27,MRPL55,Tongue adenosquamous carcinoma,1,0,0,Tongue adenosquamous carcinoma,human,AS
