Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
100493,DataSet_3,human,IGF2BP2,UMUC3,MAVS,Bladder carcinoma,6,-,-,Bladder carcinoma,human,Editing
100467,DataSet_3,human,IGF2BP2,UMUC3,DCAF16,Bladder carcinoma,5,-,-,Bladder carcinoma,human,Editing
100531,DataSet_3,human,IGF2BP2,UMUC3,SLC35F5,Bladder carcinoma,4,-,-,Bladder carcinoma,human,Editing
100478,DataSet_3,human,IGF2BP2,UMUC3,GGCX,Bladder carcinoma,4,-,-,Bladder carcinoma,human,Editing
100470,DataSet_3,human,IGF2BP2,UMUC3,DNAJC22,Bladder carcinoma,4,-,-,Bladder carcinoma,human,Editing
100506,DataSet_3,human,IGF2BP2,UMUC3,NUP43,Bladder carcinoma,3,-,-,Bladder carcinoma,human,Editing
100468,DataSet_3,human,IGF2BP2,UMUC3,DFFA,Bladder carcinoma,3,-,-,Bladder carcinoma,human,Editing
100498,DataSet_3,human,IGF2BP2,UMUC3,MRPL30,Bladder carcinoma,3,-,-,Bladder carcinoma,human,Editing
100551,DataSet_3,human,IGF2BP2,UMUC3,ZNF514,Bladder carcinoma,3,-,-,Bladder carcinoma,human,Editing
100513,DataSet_3,human,IGF2BP2,UMUC3,PGPEP1,Bladder carcinoma,3,-,-,Bladder carcinoma,human,Editing
100455,DataSet_3,human,IGF2BP2,UMUC3,ANAPC16,Bladder carcinoma,3,-,-,Bladder carcinoma,human,Editing
100457,DataSet_3,human,IGF2BP2,UMUC3,APOL6,Bladder carcinoma,3,-,-,Bladder carcinoma,human,Editing
100527,DataSet_3,human,IGF2BP2,UMUC3,RPL7L1,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100494,DataSet_3,human,IGF2BP2,UMUC3,MDM4,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100496,DataSet_3,human,IGF2BP2,UMUC3,MIR34AHG,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100497,DataSet_3,human,IGF2BP2,UMUC3,MPHOSPH8,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100501,DataSet_3,human,IGF2BP2,UMUC3,N4BP2L2,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100462,DataSet_3,human,IGF2BP2,UMUC3,CBFA2T2,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100489,DataSet_3,human,IGF2BP2,UMUC3,LONP2,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100488,DataSet_3,human,IGF2BP2,UMUC3,ITGB5,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100533,DataSet_3,human,IGF2BP2,UMUC3,SNRPD3,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100485,DataSet_3,human,IGF2BP2,UMUC3,HINT1,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100516,DataSet_3,human,IGF2BP2,UMUC3,POLR2D,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100524,DataSet_3,human,IGF2BP2,UMUC3,RBBP9,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100536,DataSet_3,human,IGF2BP2,UMUC3,STK4,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100512,DataSet_3,human,IGF2BP2,UMUC3,PFAS,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100538,DataSet_3,human,IGF2BP2,UMUC3,TGOLN2,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100479,DataSet_3,human,IGF2BP2,UMUC3,GINS1,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100472,DataSet_3,human,IGF2BP2,UMUC3,ENSG00000278133,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100511,DataSet_3,human,IGF2BP2,UMUC3,PEX26,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100546,DataSet_3,human,IGF2BP2,UMUC3,UGGT1,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100520,DataSet_3,human,IGF2BP2,UMUC3,PRR11,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100543,DataSet_3,human,IGF2BP2,UMUC3,TRIM56,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100458,DataSet_3,human,IGF2BP2,UMUC3,APOOL,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100521,DataSet_3,human,IGF2BP2,UMUC3,PRXL2A,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
100473,DataSet_3,human,IGF2BP2,UMUC3,FAM20B,Bladder carcinoma,2,-,-,Bladder carcinoma,human,Editing
