Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
102313,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,LONP2,Breast Adenocarcinoma,2,-,-,Breast adenocarcinoma,human,Editing
102321,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,OIP5-AS1,Breast Adenocarcinoma,2,-,-,Breast adenocarcinoma,human,Editing
102319,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,NUP155,Breast Adenocarcinoma,2,-,-,Breast adenocarcinoma,human,Editing
102310,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,ENSG00000270149,Breast Adenocarcinoma,2,-,-,Breast adenocarcinoma,human,Editing
102312,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,F11R,Breast Adenocarcinoma,2,-,-,Breast adenocarcinoma,human,Editing
102329,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,SLC35E2B,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102325,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,RBSN,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102326,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,RPL27A,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102327,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,RPL37A,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102328,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,RPL7L1,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102304,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,ANAPC16,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102330,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,SPN,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102323,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,POLR1E,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102331,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,TAF8,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102332,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,TMEM209,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102333,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,TPTEP1,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102334,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,ZNF121,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102335,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,ZNF431,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102324,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,PRIM1,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102320,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,NUTM2A-AS1,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102322,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,PAICS,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102305,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,CLSPN,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102318,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,NASP,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102317,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,MRPL30,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102316,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,METTL7A,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102315,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,METTL2B,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102314,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,MDM4,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102311,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,ERV3-1,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102309,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,EEF1AKMT2,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102308,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,DHFR,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102307,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,DCAF16,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102306,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,COX18,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
102336,DataSet_8,human,YTHDF2,MDA-MB-231-LM2,ZNF714,Breast Adenocarcinoma,1,-,-,Breast adenocarcinoma,human,Editing
