Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
69836,DataSet_15,human,MAGOHB,ChagoK1,GATD1,Bronchogenic carcinoma,9,-,-,Bronchogenic carcinoma,human,Editing
55542,DataSet_14,human,MAGOHB,ChagoK1,GABPB1-AS1,Bronchogenic carcinoma,6,-,-,Bronchogenic carcinoma,human,Editing
69950,DataSet_15,human,MAGOHB,ChagoK1,YIPF4,Bronchogenic carcinoma,6,-,-,Bronchogenic carcinoma,human,Editing
69862,DataSet_15,human,MAGOHB,ChagoK1,MAVS,Bronchogenic carcinoma,5,-,-,Bronchogenic carcinoma,human,Editing
69794,DataSet_15,human,MAGOHB,ChagoK1,AFMID,Bronchogenic carcinoma,4,-,-,Bronchogenic carcinoma,human,Editing
69892,DataSet_15,human,MAGOHB,ChagoK1,PRORP,Bronchogenic carcinoma,4,-,-,Bronchogenic carcinoma,human,Editing
69884,DataSet_15,human,MAGOHB,ChagoK1,PGPEP1,Bronchogenic carcinoma,4,-,-,Bronchogenic carcinoma,human,Editing
55547,DataSet_14,human,MAGOHB,ChagoK1,GTPBP10,Bronchogenic carcinoma,4,-,-,Bronchogenic carcinoma,human,Editing
69855,DataSet_15,human,MAGOHB,ChagoK1,LINC00342,Bronchogenic carcinoma,4,-,-,Bronchogenic carcinoma,human,Editing
69799,DataSet_15,human,MAGOHB,ChagoK1,APOOL,Bronchogenic carcinoma,4,-,-,Bronchogenic carcinoma,human,Editing
55598,DataSet_14,human,MAGOHB,ChagoK1,SPN,Bronchogenic carcinoma,4,-,-,Bronchogenic carcinoma,human,Editing
69811,DataSet_15,human,MAGOHB,ChagoK1,DCAF16,Bronchogenic carcinoma,4,-,-,Bronchogenic carcinoma,human,Editing
69820,DataSet_15,human,MAGOHB,ChagoK1,EIF2AK2,Bronchogenic carcinoma,3,-,-,Bronchogenic carcinoma,human,Editing
55570,DataSet_14,human,MAGOHB,ChagoK1,NUP43,Bronchogenic carcinoma,3,-,-,Bronchogenic carcinoma,human,Editing
69839,DataSet_15,human,MAGOHB,ChagoK1,GGCX,Bronchogenic carcinoma,3,-,-,Bronchogenic carcinoma,human,Editing
69808,DataSet_15,human,MAGOHB,ChagoK1,COQ4,Bronchogenic carcinoma,3,-,-,Bronchogenic carcinoma,human,Editing
69857,DataSet_15,human,MAGOHB,ChagoK1,LONP2,Bronchogenic carcinoma,3,-,-,Bronchogenic carcinoma,human,Editing
