Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
100182,DataSet_25,human,ADAR1,THP-1,GABPB1-AS1,Childhood acute monocytic leukemia,8,-,-,Childhood acute monocytic leukemia,human,Editing
100184,DataSet_25,human,ADAR1,THP-1,GATD1,Childhood acute monocytic leukemia,4,-,-,Childhood acute monocytic leukemia,human,Editing
100151,DataSet_25,human,ADAR1,THP-1,ATAD3B,Childhood acute monocytic leukemia,4,-,-,Childhood acute monocytic leukemia,human,Editing
100231,DataSet_25,human,ADAR1,THP-1,SPN,Childhood acute monocytic leukemia,4,-,-,Childhood acute monocytic leukemia,human,Editing
100196,DataSet_25,human,ADAR1,THP-1,MAVS,Childhood acute monocytic leukemia,4,-,-,Childhood acute monocytic leukemia,human,Editing
100211,DataSet_25,human,ADAR1,THP-1,NPLOC4,Childhood acute monocytic leukemia,4,-,-,Childhood acute monocytic leukemia,human,Editing
100147,DataSet_25,human,ADAR1,THP-1,ANAPC5,Childhood acute monocytic leukemia,3,-,-,Childhood acute monocytic leukemia,human,Editing
100186,DataSet_25,human,ADAR1,THP-1,GNL3L,Childhood acute monocytic leukemia,3,-,-,Childhood acute monocytic leukemia,human,Editing
100188,DataSet_25,human,ADAR1,THP-1,H2BC11,Childhood acute monocytic leukemia,3,-,-,Childhood acute monocytic leukemia,human,Editing
100230,DataSet_25,human,ADAR1,THP-1,SNRPD3,Childhood acute monocytic leukemia,3,-,-,Childhood acute monocytic leukemia,human,Editing
100225,DataSet_25,human,ADAR1,THP-1,RAD1,Childhood acute monocytic leukemia,3,-,-,Childhood acute monocytic leukemia,human,Editing
100195,DataSet_25,human,ADAR1,THP-1,LONP2,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100213,DataSet_25,human,ADAR1,THP-1,NUP43,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100190,DataSet_25,human,ADAR1,THP-1,HSPA4L,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100198,DataSet_25,human,ADAR1,THP-1,MED28,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100205,DataSet_25,human,ADAR1,THP-1,MYO1C,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100221,DataSet_25,human,ADAR1,THP-1,PGPEP1,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100215,DataSet_25,human,ADAR1,THP-1,PAICS,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100219,DataSet_25,human,ADAR1,THP-1,PGAM5,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100175,DataSet_25,human,ADAR1,THP-1,ENSG00000272468,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100222,DataSet_25,human,ADAR1,THP-1,PRKAR2A,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100223,DataSet_25,human,ADAR1,THP-1,PRR11,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100229,DataSet_25,human,ADAR1,THP-1,SNHG3,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100232,DataSet_25,human,ADAR1,THP-1,SRFBP1,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100239,DataSet_25,human,ADAR1,THP-1,TAF8,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100241,DataSet_25,human,ADAR1,THP-1,TIMM50,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100251,DataSet_25,human,ADAR1,THP-1,XRCC2,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100176,DataSet_25,human,ADAR1,THP-1,EXOSC2,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100260,DataSet_25,human,ADAR1,THP-1,ZYG11B,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100163,DataSet_25,human,ADAR1,THP-1,DFFA,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100171,DataSet_25,human,ADAR1,THP-1,ENSG00000226396,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100157,DataSet_25,human,ADAR1,THP-1,COQ4,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100152,DataSet_25,human,ADAR1,THP-1,BRI3BP,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100169,DataSet_25,human,ADAR1,THP-1,ENOSF1,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100164,DataSet_25,human,ADAR1,THP-1,DHFR,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100166,DataSet_25,human,ADAR1,THP-1,DNAJC24,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100150,DataSet_25,human,ADAR1,THP-1,ASH1L,Childhood acute monocytic leukemia,2,-,-,Childhood acute monocytic leukemia,human,Editing
100217,DataSet_25,human,ADAR1,THP-1,PDP2,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100216,DataSet_25,human,ADAR1,THP-1,PDCD6,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100226,DataSet_25,human,ADAR1,THP-1,RNF114,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100160,DataSet_25,human,ADAR1,THP-1,CROCCP2,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100161,DataSet_25,human,ADAR1,THP-1,CTSC,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100220,DataSet_25,human,ADAR1,THP-1,PGAP6,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100159,DataSet_25,human,ADAR1,THP-1,COX7B,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100214,DataSet_25,human,ADAR1,THP-1,OIP5-AS1,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100158,DataSet_25,human,ADAR1,THP-1,COX18,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100162,DataSet_25,human,ADAR1,THP-1,DCUN1D4,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100224,DataSet_25,human,ADAR1,THP-1,PSMB2,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100156,DataSet_25,human,ADAR1,THP-1,CFLAR,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100218,DataSet_25,human,ADAR1,THP-1,PEX26,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100174,DataSet_25,human,ADAR1,THP-1,ENSG00000270149,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100227,DataSet_25,human,ADAR1,THP-1,RPL37A,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100212,DataSet_25,human,ADAR1,THP-1,NUP155,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100155,DataSet_25,human,ADAR1,THP-1,CDK10,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100154,DataSet_25,human,ADAR1,THP-1,CCNYL1,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100153,DataSet_25,human,ADAR1,THP-1,C16orf72,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100233,DataSet_25,human,ADAR1,THP-1,SRP9,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100234,DataSet_25,human,ADAR1,THP-1,STEEP1,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
100235,DataSet_25,human,ADAR1,THP-1,STK4,Childhood acute monocytic leukemia,1,-,-,Childhood acute monocytic leukemia,human,Editing
