Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
26456,DataSet_12,human,SHQ1,KOPTK1,NPLOC4,Childhood T acute lymphoblastic leukemia,8,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26417,DataSet_12,human,SHQ1,KOPTK1,LARS1,Childhood T acute lymphoblastic leukemia,7,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26458,DataSet_12,human,SHQ1,KOPTK1,NUP43,Childhood T acute lymphoblastic leukemia,6,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26576,DataSet_12,human,SHQ1,KOPTK1,YIPF4,Childhood T acute lymphoblastic leukemia,6,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26344,DataSet_12,human,SHQ1,KOPTK1,DFFA,Childhood T acute lymphoblastic leukemia,6,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26430,DataSet_12,human,SHQ1,KOPTK1,MARK3,Childhood T acute lymphoblastic leukemia,6,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26592,DataSet_12,human,SHQ1,KOPTK1,ZNF714,Childhood T acute lymphoblastic leukemia,6,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26413,DataSet_12,human,SHQ1,KOPTK1,KNL1,Childhood T acute lymphoblastic leukemia,5,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26582,DataSet_12,human,SHQ1,KOPTK1,ZNF121,Childhood T acute lymphoblastic leukemia,5,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26498,DataSet_12,human,SHQ1,KOPTK1,RAD51-AS1,Childhood T acute lymphoblastic leukemia,5,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26480,DataSet_12,human,SHQ1,KOPTK1,PML,Childhood T acute lymphoblastic leukemia,5,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26392,DataSet_12,human,SHQ1,KOPTK1,GNL3L,Childhood T acute lymphoblastic leukemia,5,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26470,DataSet_12,human,SHQ1,KOPTK1,PDP2,Childhood T acute lymphoblastic leukemia,5,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26404,DataSet_12,human,SHQ1,KOPTK1,INIP,Childhood T acute lymphoblastic leukemia,5,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26383,DataSet_12,human,SHQ1,KOPTK1,GARS1-DT,Childhood T acute lymphoblastic leukemia,5,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26431,DataSet_12,human,SHQ1,KOPTK1,MAVS,Childhood T acute lymphoblastic leukemia,5,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26588,DataSet_12,human,SHQ1,KOPTK1,ZNF514,Childhood T acute lymphoblastic leukemia,4,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26448,DataSet_12,human,SHQ1,KOPTK1,NASP,Childhood T acute lymphoblastic leukemia,4,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
14383,DataSet_11,human,SHQ1,HPB-ALL,DCAF16,Childhood T acute lymphoblastic leukemia,4,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26508,DataSet_12,human,SHQ1,KOPTK1,RNF114,Childhood T acute lymphoblastic leukemia,4,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
14443,DataSet_11,human,SHQ1,HPB-ALL,SPN,Childhood T acute lymphoblastic leukemia,4,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
14420,DataSet_11,human,SHQ1,HPB-ALL,PGPEP1,Childhood T acute lymphoblastic leukemia,4,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26300,DataSet_12,human,SHQ1,KOPTK1,APOOL,Childhood T acute lymphoblastic leukemia,4,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26390,DataSet_12,human,SHQ1,KOPTK1,GINS1,Childhood T acute lymphoblastic leukemia,4,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26298,DataSet_12,human,SHQ1,KOPTK1,ANAPC5,Childhood T acute lymphoblastic leukemia,4,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26345,DataSet_12,human,SHQ1,KOPTK1,DHFR,Childhood T acute lymphoblastic leukemia,4,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26457,DataSet_12,human,SHQ1,KOPTK1,NUP155,Childhood T acute lymphoblastic leukemia,3,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26466,DataSet_12,human,SHQ1,KOPTK1,P4HB,Childhood T acute lymphoblastic leukemia,3,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
26491,DataSet_12,human,SHQ1,KOPTK1,PSMB2,Childhood T acute lymphoblastic leukemia,3,-,-,Childhood T acute lymphoblastic leukemia,human,Editing
