Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
100007,DataSet_24,human,NELFE,HCT116,NDUFV3,Colon adenocarcinoma,8,-,-,Colon adenocarcinoma,human,Editing
99981,DataSet_24,human,NELFE,HCT116,MAVS,Colon adenocarcinoma,7,-,-,Colon adenocarcinoma,human,Editing
99901,DataSet_24,human,NELFE,HCT116,DFFA,Colon adenocarcinoma,6,-,-,Colon adenocarcinoma,human,Editing
100131,DataSet_24,human,NELFE,HCT116,ZNF431,Colon adenocarcinoma,6,-,-,Colon adenocarcinoma,human,Editing
99941,DataSet_24,human,NELFE,HCT116,GATD1,Colon adenocarcinoma,5,-,-,Colon adenocarcinoma,human,Editing
99947,DataSet_24,human,NELFE,HCT116,GNL3L,Colon adenocarcinoma,5,-,-,Colon adenocarcinoma,human,Editing
99986,DataSet_24,human,NELFE,HCT116,METTL2B,Colon adenocarcinoma,4,-,-,Colon adenocarcinoma,human,Editing
99977,DataSet_24,human,NELFE,HCT116,MAGT1,Colon adenocarcinoma,4,-,-,Colon adenocarcinoma,human,Editing
100096,DataSet_24,human,NELFE,HCT116,TIMM50,Colon adenocarcinoma,4,-,-,Colon adenocarcinoma,human,Editing
99868,DataSet_24,human,NELFE,HCT116,ABHD18,Colon adenocarcinoma,4,-,-,Colon adenocarcinoma,human,Editing
99983,DataSet_24,human,NELFE,HCT116,MDM4,Colon adenocarcinoma,4,-,-,Colon adenocarcinoma,human,Editing
99892,DataSet_24,human,NELFE,HCT116,COQ4,Colon adenocarcinoma,4,-,-,Colon adenocarcinoma,human,Editing
100009,DataSet_24,human,NELFE,HCT116,NPLOC4,Colon adenocarcinoma,4,-,-,Colon adenocarcinoma,human,Editing
100136,DataSet_24,human,NELFE,HCT116,ZNF587B,Colon adenocarcinoma,4,-,-,Colon adenocarcinoma,human,Editing
100082,DataSet_24,human,NELFE,HCT116,SPN,Colon adenocarcinoma,4,-,-,Colon adenocarcinoma,human,Editing
99967,DataSet_24,human,NELFE,HCT116,LARS1,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99970,DataSet_24,human,NELFE,HCT116,LONP2,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99975,DataSet_24,human,NELFE,HCT116,LZIC,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99964,DataSet_24,human,NELFE,HCT116,KNL1,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100143,DataSet_24,human,NELFE,HCT116,ZNF841,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99996,DataSet_24,human,NELFE,HCT116,MRPL30,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99990,DataSet_24,human,NELFE,HCT116,MFSD14C,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99995,DataSet_24,human,NELFE,HCT116,MRE11,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100078,DataSet_24,human,NELFE,HCT116,SNRPD3,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100067,DataSet_24,human,NELFE,HCT116,SDHAF4,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100001,DataSet_24,human,NELFE,HCT116,N4BP2L2,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100008,DataSet_24,human,NELFE,HCT116,NOL9,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100010,DataSet_24,human,NELFE,HCT116,NUP155,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100042,DataSet_24,human,NELFE,HCT116,PSMB2,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100022,DataSet_24,human,NELFE,HCT116,PEX26,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100030,DataSet_24,human,NELFE,HCT116,PML,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100077,DataSet_24,human,NELFE,HCT116,SNHG3,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100079,DataSet_24,human,NELFE,HCT116,SPAG9,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99933,DataSet_24,human,NELFE,HCT116,FBXL20,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99870,DataSet_24,human,NELFE,HCT116,AFMID,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99885,DataSet_24,human,NELFE,HCT116,CD46,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100118,DataSet_24,human,NELFE,HCT116,XIAP,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99924,DataSet_24,human,NELFE,HCT116,ENSG00000285756,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
99926,DataSet_24,human,NELFE,HCT116,ENSG00000289554,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100024,DataSet_24,human,NELFE,HCT116,PFDN5,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100099,DataSet_24,human,NELFE,HCT116,TMEM116,Colon adenocarcinoma,3,-,-,Colon adenocarcinoma,human,Editing
100105,DataSet_24,human,NELFE,HCT116,TPTEP1,Colon adenocarcinoma,2,-,-,Colon adenocarcinoma,human,Editing
100135,DataSet_24,human,NELFE,HCT116,ZNF514,Colon adenocarcinoma,2,-,-,Colon adenocarcinoma,human,Editing
100034,DataSet_24,human,NELFE,HCT116,POLR1A,Colon adenocarcinoma,2,-,-,Colon adenocarcinoma,human,Editing
100075,DataSet_24,human,NELFE,HCT116,SLC35E1,Colon adenocarcinoma,2,-,-,Colon adenocarcinoma,human,Editing
100040,DataSet_24,human,NELFE,HCT116,PRKAR2A,Colon adenocarcinoma,2,-,-,Colon adenocarcinoma,human,Editing
100138,DataSet_24,human,NELFE,HCT116,ZNF695,Colon adenocarcinoma,2,-,-,Colon adenocarcinoma,human,Editing
100046,DataSet_24,human,NELFE,HCT116,PXMP4,Colon adenocarcinoma,2,-,-,Colon adenocarcinoma,human,Editing
100047,DataSet_24,human,NELFE,HCT116,RAB2B,Colon adenocarcinoma,2,-,-,Colon adenocarcinoma,human,Editing
100048,DataSet_24,human,NELFE,HCT116,RABEPK,Colon adenocarcinoma,2,-,-,Colon adenocarcinoma,human,Editing
100053,DataSet_24,human,NELFE,HCT116,RBM5,Colon adenocarcinoma,2,-,-,Colon adenocarcinoma,human,Editing
