Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
101337,DataSet_36,human,ADAR,MKN45,GNL3L,Gastric adenocarcinoma,8,-,-,Gastric adenocarcinoma,human,Editing
101546,DataSet_36,human,ADAR,MKN45,ZNF714,Gastric adenocarcinoma,7,-,-,Gastric adenocarcinoma,human,Editing
101333,DataSet_36,human,ADAR,MKN45,GATD1,Gastric adenocarcinoma,7,-,-,Gastric adenocarcinoma,human,Editing
101295,DataSet_36,human,ADAR,MKN45,DFFA,Gastric adenocarcinoma,6,-,-,Gastric adenocarcinoma,human,Editing
101414,DataSet_36,human,ADAR,MKN45,NUP155,Gastric adenocarcinoma,6,-,-,Gastric adenocarcinoma,human,Editing
101412,DataSet_36,human,ADAR,MKN45,NPLOC4,Gastric adenocarcinoma,6,-,-,Gastric adenocarcinoma,human,Editing
101377,DataSet_36,human,ADAR,MKN45,MARK3,Gastric adenocarcinoma,6,-,-,Gastric adenocarcinoma,human,Editing
101378,DataSet_36,human,ADAR,MKN45,MAVS,Gastric adenocarcinoma,6,-,-,Gastric adenocarcinoma,human,Editing
101296,DataSet_36,human,ADAR,MKN45,DHFR,Gastric adenocarcinoma,6,-,-,Gastric adenocarcinoma,human,Editing
101159,DataSet_34,human,ADAR,AGS,ZNF431,Gastric adenocarcinoma,6,-,-,Gastric adenocarcinoma,human,Editing
101070,DataSet_34,human,ADAR,AGS,LONP2,Gastric adenocarcinoma,5,-,-,Gastric adenocarcinoma,human,Editing
101489,DataSet_36,human,ADAR,MKN45,SPN,Gastric adenocarcinoma,5,-,-,Gastric adenocarcinoma,human,Editing
101025,DataSet_34,human,ADAR,AGS,DFFA,Gastric adenocarcinoma,5,-,-,Gastric adenocarcinoma,human,Editing
101343,DataSet_36,human,ADAR,MKN45,H2AZ2,Gastric adenocarcinoma,5,-,-,Gastric adenocarcinoma,human,Editing
101454,DataSet_36,human,ADAR,MKN45,RAD1,Gastric adenocarcinoma,5,-,-,Gastric adenocarcinoma,human,Editing
101429,DataSet_36,human,ADAR,MKN45,PGPEP1,Gastric adenocarcinoma,5,-,-,Gastric adenocarcinoma,human,Editing
101528,DataSet_36,human,ADAR,MKN45,XIAP,Gastric adenocarcinoma,5,-,-,Gastric adenocarcinoma,human,Editing
101077,DataSet_34,human,ADAR,AGS,MDM4,Gastric adenocarcinoma,5,-,-,Gastric adenocarcinoma,human,Editing
101352,DataSet_36,human,ADAR,MKN45,INTS11,Gastric adenocarcinoma,5,-,-,Gastric adenocarcinoma,human,Editing
101541,DataSet_36,human,ADAR,MKN45,ZNF514,Gastric adenocarcinoma,5,-,-,Gastric adenocarcinoma,human,Editing
101403,DataSet_36,human,ADAR,MKN45,NASP,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101049,DataSet_34,human,ADAR,AGS,GATD1,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101383,DataSet_36,human,ADAR,MKN45,MDM4,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101373,DataSet_36,human,ADAR,MKN45,LYRM2,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101364,DataSet_36,human,ADAR,MKN45,LARS1,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101002,DataSet_34,human,ADAR,AGS,AARS1,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101348,DataSet_36,human,ADAR,MKN45,HSPD1,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101284,DataSet_36,human,ADAR,MKN45,COQ4,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101060,DataSet_34,human,ADAR,AGS,INTS11,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101099,DataSet_34,human,ADAR,AGS,NUP43,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101007,DataSet_34,human,ADAR,AGS,ANAPC5,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101535,DataSet_36,human,ADAR,MKN45,ZNF121,Gastric adenocarcinoma,4,-,-,Gastric adenocarcinoma,human,Editing
101329,DataSet_36,human,ADAR,MKN45,FUT11,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101269,DataSet_36,human,ADAR,MKN45,CCDC144NL-AS1,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101253,DataSet_36,human,ADAR,MKN45,APOOL,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101249,DataSet_36,human,ADAR,MKN45,ANAPC5,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101158,DataSet_34,human,ADAR,AGS,ZNF397,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101153,DataSet_34,human,ADAR,AGS,XIAP,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101104,DataSet_34,human,ADAR,AGS,PEX26,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101103,DataSet_34,human,ADAR,AGS,PDP2,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101335,DataSet_36,human,ADAR,MKN45,GK5,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101079,DataSet_34,human,ADAR,AGS,MED28,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101270,DataSet_36,human,ADAR,MKN45,CD164,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
101384,DataSet_36,human,ADAR,MKN45,MED28,Gastric adenocarcinoma,3,-,-,Gastric adenocarcinoma,human,Editing
