Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
99608,DataSet_2,human,IGF2BP3,U87MG,GABPB1-AS1,Glioblastoma,9,-,-,Glioblastoma,human,Editing
42282,DataSet_13,human,IGF2BP3,U87MG,GABPB1-AS1,Glioblastoma,5,-,-,Glioblastoma,human,Editing
99633,DataSet_2,human,IGF2BP3,U87MG,PSMB2,Glioblastoma,4,-,-,Glioblastoma,human,Editing
99618,DataSet_2,human,IGF2BP3,U87MG,MAVS,Glioblastoma,4,-,-,Glioblastoma,human,Editing
99614,DataSet_2,human,IGF2BP3,U87MG,KNL1,Glioblastoma,3,-,-,Glioblastoma,human,Editing
42283,DataSet_13,human,IGF2BP3,U87MG,GATC,Glioblastoma,3,-,-,Glioblastoma,human,Editing
99611,DataSet_2,human,IGF2BP3,U87MG,H2AZ2,Glioblastoma,3,-,-,Glioblastoma,human,Editing
99648,DataSet_2,human,IGF2BP3,U87MG,TMPO,Glioblastoma,3,-,-,Glioblastoma,human,Editing
42314,DataSet_13,human,IGF2BP3,U87MG,UGGT1,Glioblastoma,3,-,-,Glioblastoma,human,Editing
42300,DataSet_13,human,IGF2BP3,U87MG,PSMB2,Glioblastoma,3,-,-,Glioblastoma,human,Editing
42317,DataSet_13,human,IGF2BP3,U87MG,ZKSCAN1,Glioblastoma,2,-,-,Glioblastoma,human,Editing
99632,DataSet_2,human,IGF2BP3,U87MG,PRR11,Glioblastoma,2,-,-,Glioblastoma,human,Editing
99639,DataSet_2,human,IGF2BP3,U87MG,SLC35F5,Glioblastoma,2,-,-,Glioblastoma,human,Editing
99631,DataSet_2,human,IGF2BP3,U87MG,PRORP,Glioblastoma,2,-,-,Glioblastoma,human,Editing
99623,DataSet_2,human,IGF2BP3,U87MG,MRPL30,Glioblastoma,2,-,-,Glioblastoma,human,Editing
99628,DataSet_2,human,IGF2BP3,U87MG,PGPEP1,Glioblastoma,2,-,-,Glioblastoma,human,Editing
42292,DataSet_13,human,IGF2BP3,U87MG,MYO1C,Glioblastoma,2,-,-,Glioblastoma,human,Editing
42288,DataSet_13,human,IGF2BP3,U87MG,LONP2,Glioblastoma,2,-,-,Glioblastoma,human,Editing
42310,DataSet_13,human,IGF2BP3,U87MG,TAB3,Glioblastoma,2,-,-,Glioblastoma,human,Editing
99600,DataSet_2,human,IGF2BP3,U87MG,DFFA,Glioblastoma,2,-,-,Glioblastoma,human,Editing
99653,DataSet_2,human,IGF2BP3,U87MG,ZNF621,Glioblastoma,2,-,-,Glioblastoma,human,Editing
42285,DataSet_13,human,IGF2BP3,U87MG,GGCX,Glioblastoma,2,-,-,Glioblastoma,human,Editing
99602,DataSet_2,human,IGF2BP3,U87MG,ENSG00000204876,Glioblastoma,2,-,-,Glioblastoma,human,Editing
99612,DataSet_2,human,IGF2BP3,U87MG,HINT1,Glioblastoma,2,-,-,Glioblastoma,human,Editing
42274,DataSet_13,human,IGF2BP3,U87MG,CTSA,Glioblastoma,2,-,-,Glioblastoma,human,Editing
99609,DataSet_2,human,IGF2BP3,U87MG,GATC,Glioblastoma,2,-,-,Glioblastoma,human,Editing
42276,DataSet_13,human,IGF2BP3,U87MG,DNAJC22,Glioblastoma,2,-,-,Glioblastoma,human,Editing
42290,DataSet_13,human,IGF2BP3,U87MG,MAVS,Glioblastoma,10,-,-,Glioblastoma,human,Editing
99624,DataSet_2,human,IGF2BP3,U87MG,NASP,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99622,DataSet_2,human,IGF2BP3,U87MG,MIR4775,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99615,DataSet_2,human,IGF2BP3,U87MG,LONP2,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99621,DataSet_2,human,IGF2BP3,U87MG,METTL7A,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99625,DataSet_2,human,IGF2BP3,U87MG,NUP155,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99610,DataSet_2,human,IGF2BP3,U87MG,GNL3L,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99619,DataSet_2,human,IGF2BP3,U87MG,MDM4,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99613,DataSet_2,human,IGF2BP3,U87MG,KIF1B,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99617,DataSet_2,human,IGF2BP3,U87MG,MAPK13,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99616,DataSet_2,human,IGF2BP3,U87MG,MAGT1,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99620,DataSet_2,human,IGF2BP3,U87MG,METTL2B,Glioblastoma,1,-,-,Glioblastoma,human,Editing
42269,DataSet_13,human,IGF2BP3,U87MG,APOOL,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99626,DataSet_2,human,IGF2BP3,U87MG,PFAS,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99627,DataSet_2,human,IGF2BP3,U87MG,PGAM5,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99654,DataSet_2,human,IGF2BP3,U87MG,ZNF773,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99652,DataSet_2,human,IGF2BP3,U87MG,ZNF517,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99651,DataSet_2,human,IGF2BP3,U87MG,VPS41,Glioblastoma,1,-,-,Glioblastoma,human,Editing
99650,DataSet_2,human,IGF2BP3,U87MG,UVSSA,Glioblastoma,1,-,-,Glioblastoma,human,Editing
