Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
57709,DataSet_1416,human,AARS,HepG2,GABPB1-AS1,Hepatocellular carcinoma,4,-,-,Hepatocellular carcinoma,human,Editing
57717,DataSet_1416,human,AARS,HepG2,SLC35E2B,Hepatocellular carcinoma,2,-,-,Hepatocellular carcinoma,human,Editing
57703,DataSet_1416,human,AARS,HepG2,CD46,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57714,DataSet_1416,human,AARS,HepG2,PEX13,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57721,DataSet_1416,human,AARS,HepG2,TACC1,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57720,DataSet_1416,human,AARS,HepG2,SSR3,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57719,DataSet_1416,human,AARS,HepG2,SNRPD3,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57718,DataSet_1416,human,AARS,HepG2,SNHG3,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57716,DataSet_1416,human,AARS,HepG2,PSPH,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57715,DataSet_1416,human,AARS,HepG2,PLEKHB2,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57713,DataSet_1416,human,AARS,HepG2,MYO1C,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57704,DataSet_1416,human,AARS,HepG2,COPA,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57712,DataSet_1416,human,AARS,HepG2,MRPL30,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57711,DataSet_1416,human,AARS,HepG2,H2AZ2,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57710,DataSet_1416,human,AARS,HepG2,GSR,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57708,DataSet_1416,human,AARS,HepG2,FOXRED2,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57707,DataSet_1416,human,AARS,HepG2,DHFR,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
57706,DataSet_1416,human,AARS,HepG2,DFFA,Hepatocellular carcinoma,1,-,-,Hepatocellular carcinoma,human,Editing
