Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
102194,DataSet_6,human,CNOT1,HeLa,TMEM170A,Human papillomavirus-related cervical carcinoma,9,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101844,DataSet_6,human,CNOT1,HeLa,APOOL,Human papillomavirus-related cervical carcinoma,9,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102018,DataSet_6,human,CNOT1,HeLa,MAVS,Human papillomavirus-related cervical carcinoma,9,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102223,DataSet_6,human,CNOT1,HeLa,XIAP,Human papillomavirus-related cervical carcinoma,9,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102017,DataSet_6,human,CNOT1,HeLa,MARK3,Human papillomavirus-related cervical carcinoma,9,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102243,DataSet_6,human,CNOT1,HeLa,ZNF714,Human papillomavirus-related cervical carcinoma,8,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101982,DataSet_6,human,CNOT1,HeLa,HINT1,Human papillomavirus-related cervical carcinoma,7,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102162,DataSet_6,human,CNOT1,HeLa,SPAG9,Human papillomavirus-related cervical carcinoma,7,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101847,DataSet_6,human,CNOT1,HeLa,ARPC2,Human papillomavirus-related cervical carcinoma,7,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102118,DataSet_6,human,CNOT1,HeLa,RNF114,Human papillomavirus-related cervical carcinoma,7,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102189,DataSet_6,human,CNOT1,HeLa,TMEM116,Human papillomavirus-related cervical carcinoma,7,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102069,DataSet_6,human,CNOT1,HeLa,PDP2,Human papillomavirus-related cervical carcinoma,6,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102044,DataSet_6,human,CNOT1,HeLa,NASP,Human papillomavirus-related cervical carcinoma,6,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102171,DataSet_6,human,CNOT1,HeLa,STK4,Human papillomavirus-related cervical carcinoma,6,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101995,DataSet_6,human,CNOT1,HeLa,INTS11,Human papillomavirus-related cervical carcinoma,6,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101966,DataSet_6,human,CNOT1,HeLa,GNL3L,Human papillomavirus-related cervical carcinoma,6,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101892,DataSet_6,human,CNOT1,HeLa,CYCS,Human papillomavirus-related cervical carcinoma,6,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102055,DataSet_6,human,CNOT1,HeLa,NUP43,Human papillomavirus-related cervical carcinoma,6,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101660,DataSet_4,human,CNOT1,HeLa,SPN,Human papillomavirus-related cervical carcinoma,6,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102075,DataSet_6,human,CNOT1,HeLa,PGPEP1,Human papillomavirus-related cervical carcinoma,5,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101890,DataSet_6,human,CNOT1,HeLa,CTSC,Human papillomavirus-related cervical carcinoma,5,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102102,DataSet_6,human,CNOT1,HeLa,RAD51-AS1,Human papillomavirus-related cervical carcinoma,5,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102111,DataSet_6,human,CNOT1,HeLa,RBSN,Human papillomavirus-related cervical carcinoma,5,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101636,DataSet_4,human,CNOT1,HeLa,MRPL30,Human papillomavirus-related cervical carcinoma,5,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102173,DataSet_6,human,CNOT1,HeLa,SUPV3L1,Human papillomavirus-related cervical carcinoma,5,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101951,DataSet_6,human,CNOT1,HeLa,G3BP1,Human papillomavirus-related cervical carcinoma,5,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
102230,DataSet_6,human,CNOT1,HeLa,ZNF121,Human papillomavirus-related cervical carcinoma,5,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101959,DataSet_6,human,CNOT1,HeLa,GFOD2,Human papillomavirus-related cervical carcinoma,5,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101800,DataSet_5,human,CNOT1,HeLa,PGPEP1,Human papillomavirus-related cervical carcinoma,5,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
101963,DataSet_6,human,CNOT1,HeLa,GINS1,Human papillomavirus-related cervical carcinoma,4,-,-,Human papillomavirus-related cervical carcinoma,human,Editing
