Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
100744,DataSet_31,human,ADAR,ZR-75-1,MAVS,Invasive breast carcinoma of no special type,8,-,-,Invasive breast carcinoma of no special type,human,Editing
100718,DataSet_31,human,ADAR,ZR-75-1,GATD1,Invasive breast carcinoma of no special type,7,-,-,Invasive breast carcinoma of no special type,human,Editing
100760,DataSet_31,human,ADAR,ZR-75-1,NPLOC4,Invasive breast carcinoma of no special type,7,-,-,Invasive breast carcinoma of no special type,human,Editing
100745,DataSet_31,human,ADAR,ZR-75-1,MDM4,Invasive breast carcinoma of no special type,6,-,-,Invasive breast carcinoma of no special type,human,Editing
100773,DataSet_31,human,ADAR,ZR-75-1,PEX26,Invasive breast carcinoma of no special type,6,-,-,Invasive breast carcinoma of no special type,human,Editing
100963,DataSet_32,human,ADAR,ZR-75-1,ZNF621,Invasive breast carcinoma of no special type,5,-,-,Invasive breast carcinoma of no special type,human,Editing
100916,DataSet_32,human,ADAR,ZR-75-1,PGPEP1,Invasive breast carcinoma of no special type,5,-,-,Invasive breast carcinoma of no special type,human,Editing
100880,DataSet_32,human,ADAR,ZR-75-1,GPR157,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100691,DataSet_31,human,ADAR,ZR-75-1,EIF2AK2,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100780,DataSet_31,human,ADAR,ZR-75-1,PRIM1,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100781,DataSet_31,human,ADAR,ZR-75-1,PRKAR2A,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100683,DataSet_31,human,ADAR,ZR-75-1,DFFA,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100845,DataSet_31,human,ADAR,ZR-75-1,ZNF514,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100849,DataSet_31,human,ADAR,ZR-75-1,ZNF83,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100875,DataSet_32,human,ADAR,ZR-75-1,GATD1,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100867,DataSet_32,human,ADAR,ZR-75-1,DFFA,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100978,DataSet_33,human,ADAR,ZR-75-1,GABPB1-AS1,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100949,DataSet_32,human,ADAR,ZR-75-1,TMPO,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100903,DataSet_32,human,ADAR,ZR-75-1,NEAT1,Invasive breast carcinoma of no special type,4,-,-,Invasive breast carcinoma of no special type,human,Editing
100883,DataSet_32,human,ADAR,ZR-75-1,INTS11,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100931,DataSet_32,human,ADAR,ZR-75-1,RBSN,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100734,DataSet_31,human,ADAR,ZR-75-1,KNL1,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100742,DataSet_31,human,ADAR,ZR-75-1,LZIC,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100992,DataSet_33,human,ADAR,ZR-75-1,PRR11,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100746,DataSet_31,human,ADAR,ZR-75-1,METTL2B,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100946,DataSet_32,human,ADAR,ZR-75-1,TGOLN2,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100940,DataSet_32,human,ADAR,ZR-75-1,SLC35F5,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100939,DataSet_32,human,ADAR,ZR-75-1,SLC35E3,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100790,DataSet_31,human,ADAR,ZR-75-1,RPS19,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100885,DataSet_32,human,ADAR,ZR-75-1,KNL1,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100803,DataSet_31,human,ADAR,ZR-75-1,SNRPD3,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100924,DataSet_32,human,ADAR,ZR-75-1,PSMB2,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100833,DataSet_31,human,ADAR,ZR-75-1,XIAP,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100892,DataSet_32,human,ADAR,ZR-75-1,MAVS,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100856,DataSet_32,human,ADAR,ZR-75-1,APOL1,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100857,DataSet_32,human,ADAR,ZR-75-1,APOOL,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100703,DataSet_31,human,ADAR,ZR-75-1,ENSG00000285756,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100870,DataSet_32,human,ADAR,ZR-75-1,DNAJC22,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100866,DataSet_32,human,ADAR,ZR-75-1,DCAF16,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
101001,DataSet_33,human,ADAR,ZR-75-1,ZNF83,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100665,DataSet_31,human,ADAR,ZR-75-1,ANAPC5,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100667,DataSet_31,human,ADAR,ZR-75-1,APOOL,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100661,DataSet_31,human,ADAR,ZR-75-1,AJUBA,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100680,DataSet_31,human,ADAR,ZR-75-1,COQ4,Invasive breast carcinoma of no special type,3,-,-,Invasive breast carcinoma of no special type,human,Editing
100943,DataSet_32,human,ADAR,ZR-75-1,SYNJ2BP,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100893,DataSet_32,human,ADAR,ZR-75-1,METTL7A,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100778,DataSet_31,human,ADAR,ZR-75-1,PPIL2,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100923,DataSet_32,human,ADAR,ZR-75-1,PRR11,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100782,DataSet_31,human,ADAR,ZR-75-1,PSMB2,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100938,DataSet_32,human,ADAR,ZR-75-1,SH3BP2,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100983,DataSet_33,human,ADAR,ZR-75-1,MAVS,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100792,DataSet_31,human,ADAR,ZR-75-1,SDHAF4,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100801,DataSet_31,human,ADAR,ZR-75-1,SMAD5,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100802,DataSet_31,human,ADAR,ZR-75-1,SNHG3,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100807,DataSet_31,human,ADAR,ZR-75-1,SPN,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100810,DataSet_31,human,ADAR,ZR-75-1,ST3GAL2,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100819,DataSet_31,human,ADAR,ZR-75-1,TMEM170A,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100823,DataSet_31,human,ADAR,ZR-75-1,TRMT2B,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100824,DataSet_31,human,ADAR,ZR-75-1,TTLL3,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100827,DataSet_31,human,ADAR,ZR-75-1,UPK3BL1,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100847,DataSet_31,human,ADAR,ZR-75-1,ZNF621,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100944,DataSet_32,human,ADAR,ZR-75-1,TAF1D,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100848,DataSet_31,human,ADAR,ZR-75-1,ZNF639,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100774,DataSet_31,human,ADAR,ZR-75-1,PHACTR4,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100942,DataSet_32,human,ADAR,ZR-75-1,SNRPD3,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100928,DataSet_32,human,ADAR,ZR-75-1,RAB2B,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100873,DataSet_32,human,ADAR,ZR-75-1,FTX,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100971,DataSet_33,human,ADAR,ZR-75-1,DCAF16,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100934,DataSet_32,human,ADAR,ZR-75-1,RPL27A,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100662,DataSet_31,human,ADAR,ZR-75-1,AKR1C2,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100961,DataSet_32,human,ADAR,ZR-75-1,ZNF514,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100957,DataSet_32,human,ADAR,ZR-75-1,YIPF4,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100951,DataSet_32,human,ADAR,ZR-75-1,TRIM56,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
100659,DataSet_31,human,ADAR,ZR-75-1,ABHD18,Invasive breast carcinoma of no special type,2,-,-,Invasive breast carcinoma of no special type,human,Editing
