Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
99766,DataSet_23,human,ADAR1,IMR90,GATD1,Normal,5,-,-,Normal,human,Editing
99798,DataSet_23,human,ADAR1,IMR90,NUP43,Normal,4,-,-,Normal,human,Editing
99802,DataSet_23,human,ADAR1,IMR90,PDP2,Normal,3,-,-,Normal,human,Editing
99857,DataSet_23,human,ADAR1,IMR90,YIPF4,Normal,3,-,-,Normal,human,Editing
99854,DataSet_23,human,ADAR1,IMR90,VPS41,Normal,3,-,-,Normal,human,Editing
99841,DataSet_23,human,ADAR1,IMR90,SYNJ2BP,Normal,3,-,-,Normal,human,Editing
99740,DataSet_23,human,ADAR1,IMR90,CBFA2T2,Normal,3,-,-,Normal,human,Editing
99752,DataSet_23,human,ADAR1,IMR90,DNAJC22,Normal,3,-,-,Normal,human,Editing
99797,DataSet_23,human,ADAR1,IMR90,NPLOC4,Normal,3,-,-,Normal,human,Editing
99730,DataSet_23,human,ADAR1,IMR90,AFMID,Normal,2,-,-,Normal,human,Editing
99769,DataSet_23,human,ADAR1,IMR90,GNL3L,Normal,2,-,-,Normal,human,Editing
99775,DataSet_23,human,ADAR1,IMR90,HINT1,Normal,2,-,-,Normal,human,Editing
99779,DataSet_23,human,ADAR1,IMR90,KNL1,Normal,2,-,-,Normal,human,Editing
99731,DataSet_23,human,ADAR1,IMR90,AHR,Normal,2,-,-,Normal,human,Editing
99785,DataSet_23,human,ADAR1,IMR90,MAVS,Normal,2,-,-,Normal,human,Editing
99790,DataSet_23,human,ADAR1,IMR90,N4BP2L2,Normal,2,-,-,Normal,human,Editing
99813,DataSet_23,human,ADAR1,IMR90,POLR2D,Normal,2,-,-,Normal,human,Editing
99805,DataSet_23,human,ADAR1,IMR90,PGPEP1,Normal,2,-,-,Normal,human,Editing
99811,DataSet_23,human,ADAR1,IMR90,POLR1A,Normal,2,-,-,Normal,human,Editing
99763,DataSet_23,human,ADAR1,IMR90,FOXRED2,Normal,2,-,-,Normal,human,Editing
99817,DataSet_23,human,ADAR1,IMR90,PRORP,Normal,2,-,-,Normal,human,Editing
99819,DataSet_23,human,ADAR1,IMR90,PRXL2A,Normal,2,-,-,Normal,human,Editing
99830,DataSet_23,human,ADAR1,IMR90,SLC35E3,Normal,2,-,-,Normal,human,Editing
99831,DataSet_23,human,ADAR1,IMR90,SLC35F5,Normal,2,-,-,Normal,human,Editing
99837,DataSet_23,human,ADAR1,IMR90,SPC24,Normal,2,-,-,Normal,human,Editing
99843,DataSet_23,human,ADAR1,IMR90,TEP1,Normal,2,-,-,Normal,human,Editing
99859,DataSet_23,human,ADAR1,IMR90,ZNF397,Normal,2,-,-,Normal,human,Editing
99861,DataSet_23,human,ADAR1,IMR90,ZNF514,Normal,2,-,-,Normal,human,Editing
99764,DataSet_23,human,ADAR1,IMR90,FTX,Normal,2,-,-,Normal,human,Editing
99865,DataSet_23,human,ADAR1,IMR90,ZNF714,Normal,2,-,-,Normal,human,Editing
99759,DataSet_23,human,ADAR1,IMR90,FAM118A,Normal,2,-,-,Normal,human,Editing
