Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
130,DataSet_10,human,YBX1,BGC-823,LONP2,Papillomavirus-related endocervical adenocarcinoma,2,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
138,DataSet_10,human,YBX1,BGC-823,OIP5-AS1,Papillomavirus-related endocervical adenocarcinoma,2,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
136,DataSet_10,human,YBX1,BGC-823,NUP155,Papillomavirus-related endocervical adenocarcinoma,2,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
127,DataSet_10,human,YBX1,BGC-823,ENSG00000270149,Papillomavirus-related endocervical adenocarcinoma,2,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
129,DataSet_10,human,YBX1,BGC-823,F11R,Papillomavirus-related endocervical adenocarcinoma,2,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
146,DataSet_10,human,YBX1,BGC-823,SLC35E2B,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
142,DataSet_10,human,YBX1,BGC-823,RBSN,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
143,DataSet_10,human,YBX1,BGC-823,RPL27A,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
144,DataSet_10,human,YBX1,BGC-823,RPL37A,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
145,DataSet_10,human,YBX1,BGC-823,RPL7L1,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
121,DataSet_10,human,YBX1,BGC-823,ANAPC16,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
147,DataSet_10,human,YBX1,BGC-823,SPN,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
140,DataSet_10,human,YBX1,BGC-823,POLR1E,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
148,DataSet_10,human,YBX1,BGC-823,TAF8,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
149,DataSet_10,human,YBX1,BGC-823,TMEM209,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
150,DataSet_10,human,YBX1,BGC-823,TPTEP1,Papillomavirus-related endocervical adenocarcinoma,1,-,-,Papillomavirus-related endocervical adenocarcinoma,human,Editing
