Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
19099,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,RMRP,Acute myeloid leukemia,ENSG00000269900.3,28.8512,-22.7102,0.0,down,Acute myeloid leukemia,human,Gene
19100,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,7SK,Acute myeloid leukemia,ENSG00000202198.1,26.4799,-22.5926,0.0,down,Acute myeloid leukemia,human,Gene
19101,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,ZIC1,Acute myeloid leukemia,ENSG00000152977.10,144.0718,-10.9508,0.0,down,Acute myeloid leukemia,human,Gene
19102,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,CCDC120,Acute myeloid leukemia,ENSG00000147144.13,125.8119,-10.7486,0.0,down,Acute myeloid leukemia,human,Gene
19103,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,MATK,Acute myeloid leukemia,ENSG00000007264.15,119.9189,-10.6926,0.0,down,Acute myeloid leukemia,human,Gene
19104,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,HAAO,Acute myeloid leukemia,ENSG00000162882.15,115.2671,-10.6211,0.0,down,Acute myeloid leukemia,human,Gene
19105,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,ZNF503-AS1,Acute myeloid leukemia,ENSG00000226051.9,284.4057,10.324,0.0,up,Acute myeloid leukemia,human,Gene
19106,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,S100A16,Acute myeloid leukemia,ENSG00000188643.11,84.57,-10.1807,0.0,down,Acute myeloid leukemia,human,Gene
19107,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,MFAP2,Acute myeloid leukemia,ENSG00000117122.14,83.0919,-10.1556,0.0,down,Acute myeloid leukemia,human,Gene
19108,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,MPV17L,Acute myeloid leukemia,ENSG00000156968.9,82.8622,-10.1555,0.0,down,Acute myeloid leukemia,human,Gene
19109,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,MAGED1,Acute myeloid leukemia,ENSG00000179222.18,864.5071,-10.1381,0.0,down,Acute myeloid leukemia,human,Gene
19110,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,NEFH,Acute myeloid leukemia,ENSG00000100285.10,1353.3493,-10.0435,0.0,down,Acute myeloid leukemia,human,Gene
19111,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,EEF1A2,Acute myeloid leukemia,ENSG00000101210.13,254.1962,-9.9547,0.0,down,Acute myeloid leukemia,human,Gene
19112,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,RAB13,Acute myeloid leukemia,ENSG00000143545.10,233.1966,-9.8263,0.0,down,Acute myeloid leukemia,human,Gene
19113,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,CERS4,Acute myeloid leukemia,ENSG00000090661.12,62.8353,-9.7465,0.0,down,Acute myeloid leukemia,human,Gene
19114,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,POU4F1,Acute myeloid leukemia,ENSG00000152192.8,62.2583,-9.7331,0.0,down,Acute myeloid leukemia,human,Gene
19115,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,ANKRD2,Acute myeloid leukemia,ENSG00000165887.12,60.8235,-9.6759,0.0,down,Acute myeloid leukemia,human,Gene
19116,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,LINC00900,Acute myeloid leukemia,ENSG00000246100.5,57.881,-9.6611,0.0,down,Acute myeloid leukemia,human,Gene
19117,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,RFPL1S,Acute myeloid leukemia,ENSG00000225465.10,55.8985,-9.5794,0.0,down,Acute myeloid leukemia,human,Gene
19118,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,GSPT2,Acute myeloid leukemia,ENSG00000189369.9,55.2643,-9.5588,0.0,down,Acute myeloid leukemia,human,Gene
19119,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,NUDT16L2P,Acute myeloid leukemia,ENSG00000246082.3,285.0545,-9.5329,0.0,down,Acute myeloid leukemia,human,Gene
19120,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,RTL8B,Acute myeloid leukemia,ENSG00000212747.5,182.0482,-9.471,0.0,down,Acute myeloid leukemia,human,Gene
19121,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,HOXB-AS3,Acute myeloid leukemia,ENSG00000233101.10,543.7189,-9.462,0.0,down,Acute myeloid leukemia,human,Gene
19122,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,C8orf88,Acute myeloid leukemia,ENSG00000253250.3,45.1328,-9.28,0.0,down,Acute myeloid leukemia,human,Gene
19123,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,SVIP,Acute myeloid leukemia,ENSG00000198168.9,45.8064,-9.2782,0.0,down,Acute myeloid leukemia,human,Gene
19124,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,LHX2,Acute myeloid leukemia,ENSG00000106689.11,1023.5325,-9.2694,0.0,down,Acute myeloid leukemia,human,Gene
19125,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,DTX3,Acute myeloid leukemia,ENSG00000178498.16,87.3611,-9.2688,0.0,down,Acute myeloid leukemia,human,Gene
19126,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,SARDH,Acute myeloid leukemia,ENSG00000123453.19,44.5443,-9.2465,0.0,down,Acute myeloid leukemia,human,Gene
19127,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,FOXP2,Acute myeloid leukemia,ENSG00000128573.27,83.4855,-9.2141,0.0,down,Acute myeloid leukemia,human,Gene
19128,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,SUGT1P4-STRA6LP-CCDC180,Acute myeloid leukemia,ENSG00000255036.6,41.2432,-9.1548,0.0,down,Acute myeloid leukemia,human,Gene
19129,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,DIPK1C,Acute myeloid leukemia,ENSG00000187773.9,76.9468,-9.0776,0.0,down,Acute myeloid leukemia,human,Gene
19130,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,NEURL1,Acute myeloid leukemia,ENSG00000107954.11,272.0488,-9.0499,0.0,down,Acute myeloid leukemia,human,Gene
19131,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,ITIH5,Acute myeloid leukemia,ENSG00000123243.15,4421.0246,8.9429,0.0,up,Acute myeloid leukemia,human,Gene
19132,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,JAK3,Acute myeloid leukemia,ENSG00000105639.20,68.9834,-8.9169,0.0,down,Acute myeloid leukemia,human,Gene
19133,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,B4GALNT4,Acute myeloid leukemia,ENSG00000182272.12,34.1124,-8.891,0.0,down,Acute myeloid leukemia,human,Gene
19134,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,KRT23,Acute myeloid leukemia,ENSG00000108244.17,33.3088,-8.842,0.0,down,Acute myeloid leukemia,human,Gene
19135,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,BMPR1B,Acute myeloid leukemia,ENSG00000138696.11,62.4345,-8.7911,0.0,down,Acute myeloid leukemia,human,Gene
19136,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,CPNE4,Acute myeloid leukemia,ENSG00000196353.13,32.4722,-8.7879,0.0,down,Acute myeloid leukemia,human,Gene
19137,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,CALB2,Acute myeloid leukemia,ENSG00000172137.19,28.5068,-8.6143,0.0,down,Acute myeloid leukemia,human,Gene
19138,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,HOXB2,Acute myeloid leukemia,ENSG00000173917.11,283.959,-8.5227,0.0,down,Acute myeloid leukemia,human,Gene
19139,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,FAM163A,Acute myeloid leukemia,ENSG00000143340.7,93.1468,-8.4817,0.0,down,Acute myeloid leukemia,human,Gene
19140,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,HOXB6,Acute myeloid leukemia,ENSG00000108511.10,228.1695,-8.4757,0.0,down,Acute myeloid leukemia,human,Gene
19141,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,ENSG00000264058,Acute myeloid leukemia,ENSG00000264058.2,26.2173,-8.4563,0.0,down,Acute myeloid leukemia,human,Gene
19142,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,HOXA6,Acute myeloid leukemia,ENSG00000106006.6,24.0093,-8.3872,0.0,down,Acute myeloid leukemia,human,Gene
19143,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,OCIAD2,Acute myeloid leukemia,ENSG00000145247.12,47.4301,-8.3808,0.0,down,Acute myeloid leukemia,human,Gene
19144,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,KIRREL1,Acute myeloid leukemia,ENSG00000183853.18,24.1341,-8.3458,0.0,down,Acute myeloid leukemia,human,Gene
19145,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,FOXD1,Acute myeloid leukemia,ENSG00000251493.5,46.3844,-8.3289,0.0,down,Acute myeloid leukemia,human,Gene
19146,DataSet_289,human,ENSG00000105383,CD33,OCI-AML3,FIGN,Acute myeloid leukemia,ENSG00000182263.14,45.8439,-8.3093,0.0,down,Acute myeloid leukemia,human,Gene
