Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
37599,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,CACNG7,Adenoma of the mouse pulmonary system,ENSG00000105605.8,24.6146,7.9807,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37600,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,PEDS1-UBE2V1,Adenoma of the mouse pulmonary system,ENSG00000124208.16,18.3453,7.554,0.0001,up,Adenoma of the mouse pulmonary system,human,Gene
37601,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,ENSG00000287086,Adenoma of the mouse pulmonary system,ENSG00000287086.1,16.0332,7.3656,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37602,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,HRK,Adenoma of the mouse pulmonary system,ENSG00000135116.9,15.9114,7.35,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37603,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,GAL,Adenoma of the mouse pulmonary system,ENSG00000069482.7,14.9885,7.2511,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37604,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,LINC02642,Adenoma of the mouse pulmonary system,ENSG00000232591.3,14.4611,7.1936,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37605,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,B4GALNT4,Adenoma of the mouse pulmonary system,ENSG00000182272.12,49.3692,6.1088,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37606,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,ENSG00000285625,Adenoma of the mouse pulmonary system,ENSG00000285625.1,5.1703,-5.9158,0.0003,down,Adenoma of the mouse pulmonary system,human,Gene
37607,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,ENSG00000253642,Adenoma of the mouse pulmonary system,ENSG00000253642.6,5.8041,5.8897,0.0002,up,Adenoma of the mouse pulmonary system,human,Gene
37608,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,GABBR2,Adenoma of the mouse pulmonary system,ENSG00000136928.7,9.7034,5.6419,0.0001,up,Adenoma of the mouse pulmonary system,human,Gene
37609,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,PCDH15,Adenoma of the mouse pulmonary system,ENSG00000150275.20,26.9765,5.6287,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37610,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,PTCHD1,Adenoma of the mouse pulmonary system,ENSG00000165186.12,8.9551,5.5309,0.0003,up,Adenoma of the mouse pulmonary system,human,Gene
37611,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,SEPTIN3,Adenoma of the mouse pulmonary system,ENSG00000100167.21,15.805,5.4381,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37612,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,LGI2,Adenoma of the mouse pulmonary system,ENSG00000153012.12,8.3893,5.4279,0.0003,up,Adenoma of the mouse pulmonary system,human,Gene
37613,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,LARGE1,Adenoma of the mouse pulmonary system,ENSG00000133424.22,13.1521,5.1771,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37614,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,EVC2,Adenoma of the mouse pulmonary system,ENSG00000173040.13,4.935,-4.8527,0.0038,down,Adenoma of the mouse pulmonary system,human,Gene
37615,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,ENSG00000262533,Adenoma of the mouse pulmonary system,ENSG00000262533.1,4.9776,-4.8477,0.0053,down,Adenoma of the mouse pulmonary system,human,Gene
37616,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,TMPRSS15,Adenoma of the mouse pulmonary system,ENSG00000154646.9,5.517,4.8145,0.0034,up,Adenoma of the mouse pulmonary system,human,Gene
37617,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,SHANK1,Adenoma of the mouse pulmonary system,ENSG00000161681.17,9.0536,4.6707,0.0007,up,Adenoma of the mouse pulmonary system,human,Gene
37618,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,PALM,Adenoma of the mouse pulmonary system,ENSG00000099864.18,20.7908,4.497,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37619,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,GUCY1A1,Adenoma of the mouse pulmonary system,ENSG00000164116.17,8.0155,4.4493,0.0013,up,Adenoma of the mouse pulmonary system,human,Gene
37620,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,SOCS2-AS1,Adenoma of the mouse pulmonary system,ENSG00000246985.8,12.2181,4.449,0.0001,up,Adenoma of the mouse pulmonary system,human,Gene
37621,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,GRB14,Adenoma of the mouse pulmonary system,ENSG00000115290.10,11.5994,4.3885,0.0001,up,Adenoma of the mouse pulmonary system,human,Gene
37622,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,LIPG,Adenoma of the mouse pulmonary system,ENSG00000101670.12,69.0292,4.3037,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37623,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,MAGEC1,Adenoma of the mouse pulmonary system,ENSG00000155495.9,42.5357,-4.2797,0.0,down,Adenoma of the mouse pulmonary system,human,Gene
37624,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,NCAM2,Adenoma of the mouse pulmonary system,ENSG00000154654.15,18.0621,4.2759,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37625,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,KRTAP2-3,Adenoma of the mouse pulmonary system,ENSG00000212724.3,122.1276,4.2202,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37626,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,PGM5P3-AS1,Adenoma of the mouse pulmonary system,ENSG00000277631.6,40.2896,4.1685,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37627,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,TC2N,Adenoma of the mouse pulmonary system,ENSG00000165929.13,15.6572,4.0836,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37628,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,GLB1L2,Adenoma of the mouse pulmonary system,ENSG00000149328.15,25.4252,4.0581,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37629,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,ADAP2,Adenoma of the mouse pulmonary system,ENSG00000184060.11,12.2868,4.0359,0.0001,up,Adenoma of the mouse pulmonary system,human,Gene
37630,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,ENSG00000256001,Adenoma of the mouse pulmonary system,ENSG00000256001.3,20.2322,-3.9608,0.0,down,Adenoma of the mouse pulmonary system,human,Gene
37631,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,PIK3AP1,Adenoma of the mouse pulmonary system,ENSG00000155629.15,19.1033,3.8493,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37632,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,RAB42,Adenoma of the mouse pulmonary system,ENSG00000188060.8,6.4634,-3.8084,0.0035,down,Adenoma of the mouse pulmonary system,human,Gene
37633,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,MAPT,Adenoma of the mouse pulmonary system,ENSG00000186868.17,44.3724,3.7784,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37634,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,ALOX12B,Adenoma of the mouse pulmonary system,ENSG00000179477.11,6.6705,-3.7594,0.0029,down,Adenoma of the mouse pulmonary system,human,Gene
37635,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,DSCAM,Adenoma of the mouse pulmonary system,ENSG00000171587.15,10.0844,3.7098,0.0005,up,Adenoma of the mouse pulmonary system,human,Gene
37636,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,ITGBL1,Adenoma of the mouse pulmonary system,ENSG00000198542.15,22.4682,3.708,0.0,up,Adenoma of the mouse pulmonary system,human,Gene
37637,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,LBH,Adenoma of the mouse pulmonary system,ENSG00000213626.13,9.393,3.6083,0.001,up,Adenoma of the mouse pulmonary system,human,Gene
37638,DataSet_543,human,ENSG00000019995,ZRANB1,LM2,NPNT,Adenoma of the mouse pulmonary system,ENSG00000168743.13,6.8398,3.6059,0.0052,up,Adenoma of the mouse pulmonary system,human,Gene
