Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
9871,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,HBB,Adult hepatocellular carcinoma,ENSG00000244734.4,524.67,-10.5886,0.0,down,Adult hepatocellular carcinoma,human,Gene
92247,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,HBB,Adult hepatocellular carcinoma,ENSG00000244734.4,524.67,-10.5886,0.0,down,Adult hepatocellular carcinoma,human,Gene
92248,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,ENSG00000236297,Adult hepatocellular carcinoma,ENSG00000236297.1,46.2442,8.0874,0.0068,up,Adult hepatocellular carcinoma,human,Gene
9872,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,ENSG00000236297,Adult hepatocellular carcinoma,ENSG00000236297.1,46.2442,8.0874,0.0068,up,Adult hepatocellular carcinoma,human,Gene
9873,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,ENSG00000284762,Adult hepatocellular carcinoma,ENSG00000284762.1,24.313,-8.0151,0.0,down,Adult hepatocellular carcinoma,human,Gene
92249,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,ENSG00000284762,Adult hepatocellular carcinoma,ENSG00000284762.1,24.313,-8.0151,0.0,down,Adult hepatocellular carcinoma,human,Gene
92250,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,SPATA31A7,Adult hepatocellular carcinoma,ENSG00000276040.4,8.3593,6.5859,0.0012,up,Adult hepatocellular carcinoma,human,Gene
9874,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,SPATA31A7,Adult hepatocellular carcinoma,ENSG00000276040.4,8.3593,6.5859,0.0012,up,Adult hepatocellular carcinoma,human,Gene
9875,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,HBA1,Adult hepatocellular carcinoma,ENSG00000206172.8,128.4383,-6.5353,0.0,down,Adult hepatocellular carcinoma,human,Gene
92251,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,HBA1,Adult hepatocellular carcinoma,ENSG00000206172.8,128.4383,-6.5353,0.0,down,Adult hepatocellular carcinoma,human,Gene
92252,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,HBA2,Adult hepatocellular carcinoma,ENSG00000188536.13,301.3173,-6.5228,0.0,down,Adult hepatocellular carcinoma,human,Gene
9876,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,HBA2,Adult hepatocellular carcinoma,ENSG00000188536.13,301.3173,-6.5228,0.0,down,Adult hepatocellular carcinoma,human,Gene
9877,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,ADAM18,Adult hepatocellular carcinoma,ENSG00000168619.16,15.4235,-6.3812,0.0008,down,Adult hepatocellular carcinoma,human,Gene
92253,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,ADAM18,Adult hepatocellular carcinoma,ENSG00000168619.16,15.4235,-6.3812,0.0008,down,Adult hepatocellular carcinoma,human,Gene
92254,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,ENSG00000280379,Adult hepatocellular carcinoma,ENSG00000280379.1,7.0459,6.3419,0.006,up,Adult hepatocellular carcinoma,human,Gene
9878,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,ENSG00000280379,Adult hepatocellular carcinoma,ENSG00000280379.1,7.0459,6.3419,0.006,up,Adult hepatocellular carcinoma,human,Gene
9879,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,ENSG00000275185,Adult hepatocellular carcinoma,ENSG00000275185.1,6.8824,6.3076,0.0095,up,Adult hepatocellular carcinoma,human,Gene
92255,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,ENSG00000275185,Adult hepatocellular carcinoma,ENSG00000275185.1,6.8824,6.3076,0.0095,up,Adult hepatocellular carcinoma,human,Gene
92256,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,CYYR1,Adult hepatocellular carcinoma,ENSG00000166265.13,26.8873,-6.2783,0.0,down,Adult hepatocellular carcinoma,human,Gene
9880,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,CYYR1,Adult hepatocellular carcinoma,ENSG00000166265.13,26.8873,-6.2783,0.0,down,Adult hepatocellular carcinoma,human,Gene
9881,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,SERPINA1,Adult hepatocellular carcinoma,ENSG00000197249.14,14.2089,-6.261,0.001,down,Adult hepatocellular carcinoma,human,Gene
92257,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,SERPINA1,Adult hepatocellular carcinoma,ENSG00000197249.14,14.2089,-6.261,0.001,down,Adult hepatocellular carcinoma,human,Gene
92258,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,ENSG00000287694,Adult hepatocellular carcinoma,ENSG00000287694.1,6.5002,6.2259,0.0141,up,Adult hepatocellular carcinoma,human,Gene
9882,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,ENSG00000287694,Adult hepatocellular carcinoma,ENSG00000287694.1,6.5002,6.2259,0.0141,up,Adult hepatocellular carcinoma,human,Gene
9883,DataSet_113,human,ENSG00000100201,DDX17,MHCC97H,ALB,Adult hepatocellular carcinoma,ENSG00000163631.17,21.9716,-5.9952,0.0001,down,Adult hepatocellular carcinoma,human,Gene
92259,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,ALB,Adult hepatocellular carcinoma,ENSG00000163631.17,21.9716,-5.9952,0.0001,down,Adult hepatocellular carcinoma,human,Gene
92260,DataSet_109,human,ENSG00000100201,DDX17,MHCC97H,CERS6-AS1,Adult hepatocellular carcinoma,ENSG00000227617.9,5.4215,5.9625,0.013,up,Adult hepatocellular carcinoma,human,Gene
