Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
24806,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,IGHM,Angiomyolipoma,ENSG00000211899.10,78.5197,23.0744,0.0,up,Angiomyolipoma,human,Gene
24807,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,IGKC,Angiomyolipoma,ENSG00000211592.8,43.4592,21.9238,0.0,up,Angiomyolipoma,human,Gene
24808,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,TCL1B,Angiomyolipoma,ENSG00000213231.13,16.946,21.8822,0.0,up,Angiomyolipoma,human,Gene
24809,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,TCL1A,Angiomyolipoma,ENSG00000100721.11,13.7109,21.5897,0.0,up,Angiomyolipoma,human,Gene
24810,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,IGKV4-1,Angiomyolipoma,ENSG00000211598.2,27.6414,20.6563,0.0,up,Angiomyolipoma,human,Gene
24811,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,BIVM-ERCC5,Angiomyolipoma,ENSG00000270181.3,20.3128,-7.7226,0.0023,down,Angiomyolipoma,human,Gene
24812,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,NUP210,Angiomyolipoma,ENSG00000132182.12,11.0442,6.9935,0.0183,up,Angiomyolipoma,human,Gene
24822,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,IRF4,Angiomyolipoma,ENSG00000137265.15,9.2919,5.7579,0.0025,up,Angiomyolipoma,human,Gene
24823,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,SPIB,Angiomyolipoma,ENSG00000269404.7,3.8375,5.4697,0.0462,up,Angiomyolipoma,human,Gene
24824,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,INTS4P2,Angiomyolipoma,ENSG00000273024.6,3.3804,5.2839,0.0226,up,Angiomyolipoma,human,Gene
24826,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,MGP,Angiomyolipoma,ENSG00000111341.10,397.4387,-5.1053,0.0,down,Angiomyolipoma,human,Gene
24827,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,UCA1,Angiomyolipoma,ENSG00000214049.8,2.6215,4.9151,0.0,up,Angiomyolipoma,human,Gene
24829,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000286966,Angiomyolipoma,ENSG00000286966.1,4.1781,4.5813,0.0,up,Angiomyolipoma,human,Gene
24830,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,PTPRC,Angiomyolipoma,ENSG00000081237.20,5.4564,4.4535,0.0451,up,Angiomyolipoma,human,Gene
24831,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,RPL6P4,Angiomyolipoma,ENSG00000226080.1,2.9318,-4.3989,0.0,down,Angiomyolipoma,human,Gene
24832,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000286393,Angiomyolipoma,ENSG00000286393.1,8.5695,4.3831,0.0,up,Angiomyolipoma,human,Gene
24834,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,PHYHD1,Angiomyolipoma,ENSG00000175287.19,2.5606,4.3708,0.0015,up,Angiomyolipoma,human,Gene
24835,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,CH507-42P11.6,Angiomyolipoma,ENSG00000280179.1,2.5961,4.3698,0.0005,up,Angiomyolipoma,human,Gene
24836,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000253983,Angiomyolipoma,ENSG00000253983.3,3.5852,4.3366,0.0,up,Angiomyolipoma,human,Gene
24837,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,PIK3CG,Angiomyolipoma,ENSG00000105851.11,1.7274,4.3274,0.0093,up,Angiomyolipoma,human,Gene
24838,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000233728,Angiomyolipoma,ENSG00000233728.1,2.7285,-4.2927,0.0031,down,Angiomyolipoma,human,Gene
24839,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,SAPCD1-AS1,Angiomyolipoma,ENSG00000235663.1,1.8677,-4.2824,0.0009,down,Angiomyolipoma,human,Gene
24840,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENAM,Angiomyolipoma,ENSG00000132464.13,3.4345,4.2822,0.0001,up,Angiomyolipoma,human,Gene
24841,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,CD79A,Angiomyolipoma,ENSG00000105369.10,6.0943,4.2647,0.0219,up,Angiomyolipoma,human,Gene
24843,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,INPP5D,Angiomyolipoma,ENSG00000168918.14,1.5711,4.1903,0.0125,up,Angiomyolipoma,human,Gene
24844,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000256824,Angiomyolipoma,ENSG00000256824.1,1.5671,4.175,0.0007,up,Angiomyolipoma,human,Gene
24845,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,CD300A,Angiomyolipoma,ENSG00000167851.15,1.5273,4.1513,0.0008,up,Angiomyolipoma,human,Gene
24846,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,CORT,Angiomyolipoma,ENSG00000241563.4,1.4777,4.0916,0.0086,up,Angiomyolipoma,human,Gene
24847,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000184115,Angiomyolipoma,ENSG00000184115.17,1.4678,4.0685,0.0139,up,Angiomyolipoma,human,Gene
24848,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,FAM90A25P,Angiomyolipoma,ENSG00000251402.3,2.9594,4.0501,0.0001,up,Angiomyolipoma,human,Gene
24849,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,LINC02742,Angiomyolipoma,ENSG00000249867.6,2.9589,4.0479,0.0002,up,Angiomyolipoma,human,Gene
24850,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000249364,Angiomyolipoma,ENSG00000249364.7,3.1831,-3.9988,0.0001,down,Angiomyolipoma,human,Gene
24851,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000259436,Angiomyolipoma,ENSG00000259436.1,1.9697,3.9753,0.0006,up,Angiomyolipoma,human,Gene
24852,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,SPN,Angiomyolipoma,ENSG00000197471.12,3.9494,3.9704,0.0458,up,Angiomyolipoma,human,Gene
24853,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000263212,Angiomyolipoma,ENSG00000263212.2,2.7842,3.9538,0.0079,up,Angiomyolipoma,human,Gene
24854,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,MROH7-TTC4,Angiomyolipoma,ENSG00000271723.5,1.3565,3.9534,0.0063,up,Angiomyolipoma,human,Gene
24855,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,SLC14A1,Angiomyolipoma,ENSG00000141469.18,22.4727,-3.9225,0.0,down,Angiomyolipoma,human,Gene
24856,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,LINC00304,Angiomyolipoma,ENSG00000180422.3,1.909,3.9211,0.0012,up,Angiomyolipoma,human,Gene
24857,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000279504,Angiomyolipoma,ENSG00000279504.1,1.4339,-3.9063,0.0238,down,Angiomyolipoma,human,Gene
24859,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000263612,Angiomyolipoma,ENSG00000263612.1,1.2219,3.8153,0.0043,up,Angiomyolipoma,human,Gene
24860,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,CHIA,Angiomyolipoma,ENSG00000134216.19,1.9846,-3.8138,0.0012,down,Angiomyolipoma,human,Gene
24861,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,CDRT15P6,Angiomyolipoma,ENSG00000276832.2,1.2171,3.8117,0.0083,up,Angiomyolipoma,human,Gene
24862,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,CAPN11,Angiomyolipoma,ENSG00000137225.13,1.2074,3.8046,0.0029,up,Angiomyolipoma,human,Gene
24863,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,SERPINB10,Angiomyolipoma,ENSG00000242550.6,2.5193,3.8028,0.0017,up,Angiomyolipoma,human,Gene
24864,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,PSG7,Angiomyolipoma,ENSG00000221878.13,1.7677,3.7886,0.0027,up,Angiomyolipoma,human,Gene
24865,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,MYCT1,Angiomyolipoma,ENSG00000120279.7,4.5285,3.7689,0.0,up,Angiomyolipoma,human,Gene
24866,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000272822,Angiomyolipoma,ENSG00000272822.2,10.1537,3.7618,0.0,up,Angiomyolipoma,human,Gene
24867,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,BTK,Angiomyolipoma,ENSG00000010671.17,5.6987,3.7531,0.0006,up,Angiomyolipoma,human,Gene
24868,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,LINC01844,Angiomyolipoma,ENSG00000236714.3,2.3996,3.7335,0.0008,up,Angiomyolipoma,human,Gene
24869,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,SSUH2,Angiomyolipoma,ENSG00000125046.16,1.6873,3.7194,0.0023,up,Angiomyolipoma,human,Gene
24870,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,BLK,Angiomyolipoma,ENSG00000136573.14,1.6524,3.7179,0.0109,up,Angiomyolipoma,human,Gene
24871,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,CYP2B7P,Angiomyolipoma,ENSG00000256612.8,1.1356,3.7093,0.0092,up,Angiomyolipoma,human,Gene
24872,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ASTL,Angiomyolipoma,ENSG00000188886.4,1.6785,3.7081,0.002,up,Angiomyolipoma,human,Gene
24873,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,CCDC13-AS1,Angiomyolipoma,ENSG00000173811.11,1.1338,3.7073,0.0046,up,Angiomyolipoma,human,Gene
24874,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,LEFTY1,Angiomyolipoma,ENSG00000243709.1,3.3395,3.7054,0.0005,up,Angiomyolipoma,human,Gene
24875,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000283635,Angiomyolipoma,ENSG00000283635.1,1.6525,3.7029,0.0051,up,Angiomyolipoma,human,Gene
24876,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ST8SIA1,Angiomyolipoma,ENSG00000111728.11,1.2457,-3.6978,0.0071,down,Angiomyolipoma,human,Gene
24877,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000214265,Angiomyolipoma,ENSG00000214265.11,1.2403,-3.6917,0.0309,down,Angiomyolipoma,human,Gene
24878,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,LINC00163,Angiomyolipoma,ENSG00000234880.1,1.5842,3.6531,0.015,up,Angiomyolipoma,human,Gene
24879,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,LINC02773,Angiomyolipoma,ENSG00000237980.2,2.5383,-3.6368,0.0015,down,Angiomyolipoma,human,Gene
24880,DataSet_396,human,ENSG00000048828,FAM120A,LAM 621-101,ENSG00000267277,Angiomyolipoma,ENSG00000267277.2,1.5796,3.6299,0.0166,up,Angiomyolipoma,human,Gene
