Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
52558,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,ENSG00000285444,Bladder carcinoma,ENSG00000285444.1,13.8964,7.1859,0.0,up,Bladder carcinoma,human,Gene
52559,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,RN7SK,Bladder carcinoma,ENSG00000283293.1,4.3329,-5.6546,0.0,down,Bladder carcinoma,human,Gene
52560,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,ENSG00000235288,Bladder carcinoma,ENSG00000235288.3,5.2542,-5.4262,0.009,down,Bladder carcinoma,human,Gene
52561,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,CD68,Bladder carcinoma,ENSG00000129226.14,7.0042,-4.6668,0.0001,down,Bladder carcinoma,human,Gene
52562,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,B3GNT9,Bladder carcinoma,ENSG00000237172.4,1.9221,-4.4748,0.0296,down,Bladder carcinoma,human,Gene
52563,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,RPS10-NUDT3,Bladder carcinoma,ENSG00000270800.3,7.6599,-4.0475,0.0092,down,Bladder carcinoma,human,Gene
52564,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,SCARNA1,Bladder carcinoma,ENSG00000252947.1,1.4543,3.9197,0.0,up,Bladder carcinoma,human,Gene
52565,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,SCARNA11,Bladder carcinoma,ENSG00000251898.1,1.9794,3.8318,0.0,up,Bladder carcinoma,human,Gene
52566,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,SNORA57,Bladder carcinoma,ENSG00000206597.1,1.3046,3.7733,0.0,up,Bladder carcinoma,human,Gene
52567,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,ENSG00000286070,Bladder carcinoma,ENSG00000286070.2,10.0555,-3.6871,0.0001,down,Bladder carcinoma,human,Gene
52568,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,SCARNA16,Bladder carcinoma,ENSG00000275143.1,4.5369,3.638,0.0,up,Bladder carcinoma,human,Gene
52459,DataSet_833,human,ENSG00000105447,GRWD1,J82,ENSG00000279232,Bladder carcinoma,ENSG00000279232.2,16.7238,3.5254,0.0,up,Bladder carcinoma,human,Gene
52569,DataSet_834,human,ENSG00000105447,GRWD1,UMUC3,SNORA28,Bladder carcinoma,ENSG00000272533.1,2.0863,3.3535,0.0,up,Bladder carcinoma,human,Gene
