Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
32312,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,NFIB,Blast phase chronic myelogenous leukemia,ENSG00000147862.18,22.1608,2.5884,0.0003,up,Blast phase chronic myelogenous leukemia,human,Gene
56031,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,NFIB,Blast phase chronic myelogenous leukemia,ENSG00000147862.18,22.1608,2.5884,0.0003,up,Blast phase chronic myelogenous leukemia,human,Gene
56032,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,KIF26A,Blast phase chronic myelogenous leukemia,ENSG00000066735.15,70.0388,-2.3138,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32313,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,KIF26A,Blast phase chronic myelogenous leukemia,ENSG00000066735.15,70.0388,-2.3138,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32314,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,DLGAP3,Blast phase chronic myelogenous leukemia,ENSG00000116544.12,42.7243,2.3055,0.0,up,Blast phase chronic myelogenous leukemia,human,Gene
56033,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,DLGAP3,Blast phase chronic myelogenous leukemia,ENSG00000116544.12,42.7243,2.3055,0.0,up,Blast phase chronic myelogenous leukemia,human,Gene
56034,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,SELP,Blast phase chronic myelogenous leukemia,ENSG00000174175.17,16.6581,2.1257,0.0036,up,Blast phase chronic myelogenous leukemia,human,Gene
32315,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,SELP,Blast phase chronic myelogenous leukemia,ENSG00000174175.17,16.6581,2.1257,0.0036,up,Blast phase chronic myelogenous leukemia,human,Gene
32316,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,TNFSF10,Blast phase chronic myelogenous leukemia,ENSG00000121858.11,27.504,1.9893,0.0199,up,Blast phase chronic myelogenous leukemia,human,Gene
56035,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,TNFSF10,Blast phase chronic myelogenous leukemia,ENSG00000121858.11,27.504,1.9893,0.0199,up,Blast phase chronic myelogenous leukemia,human,Gene
56036,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,SLC4A1,Blast phase chronic myelogenous leukemia,ENSG00000004939.16,528.7424,-1.9627,0.0082,down,Blast phase chronic myelogenous leukemia,human,Gene
32317,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,SLC4A1,Blast phase chronic myelogenous leukemia,ENSG00000004939.16,528.7424,-1.9627,0.0082,down,Blast phase chronic myelogenous leukemia,human,Gene
32212,DataSet_482,human,ENSG00000204842,ATXN2,MEG-01,TPSB2,Blast phase chronic myelogenous leukemia,ENSG00000197253.13,39.6146,-1.8723,0.0002,down,Blast phase chronic myelogenous leukemia,human,Gene
56037,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,ATXN2,Blast phase chronic myelogenous leukemia,ENSG00000204842.18,317.8945,-1.8584,0.0002,down,Blast phase chronic myelogenous leukemia,human,Gene
32318,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,ATXN2,Blast phase chronic myelogenous leukemia,ENSG00000204842.18,317.8945,-1.8584,0.0002,down,Blast phase chronic myelogenous leukemia,human,Gene
32319,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,FCGR1A,Blast phase chronic myelogenous leukemia,ENSG00000150337.14,20.8982,1.7766,0.0019,up,Blast phase chronic myelogenous leukemia,human,Gene
56038,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,FCGR1A,Blast phase chronic myelogenous leukemia,ENSG00000150337.14,20.8982,1.7766,0.0019,up,Blast phase chronic myelogenous leukemia,human,Gene
32320,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,FAM83A,Blast phase chronic myelogenous leukemia,ENSG00000147689.17,490.0597,-1.7726,0.034,down,Blast phase chronic myelogenous leukemia,human,Gene
56039,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,FAM83A,Blast phase chronic myelogenous leukemia,ENSG00000147689.17,490.0597,-1.7726,0.034,down,Blast phase chronic myelogenous leukemia,human,Gene
32321,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,SLCO2B1,Blast phase chronic myelogenous leukemia,ENSG00000137491.15,24.0695,-1.7335,0.0002,down,Blast phase chronic myelogenous leukemia,human,Gene
56040,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,SLCO2B1,Blast phase chronic myelogenous leukemia,ENSG00000137491.15,24.0695,-1.7335,0.0002,down,Blast phase chronic myelogenous leukemia,human,Gene
56041,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,ZBTB16,Blast phase chronic myelogenous leukemia,ENSG00000109906.15,95.3245,1.7286,0.0001,up,Blast phase chronic myelogenous leukemia,human,Gene
32322,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,ZBTB16,Blast phase chronic myelogenous leukemia,ENSG00000109906.15,95.3245,1.7286,0.0001,up,Blast phase chronic myelogenous leukemia,human,Gene
56042,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,EFHC2,Blast phase chronic myelogenous leukemia,ENSG00000183690.13,23.89,1.6902,0.0002,up,Blast phase chronic myelogenous leukemia,human,Gene
32323,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,EFHC2,Blast phase chronic myelogenous leukemia,ENSG00000183690.13,23.89,1.6902,0.0002,up,Blast phase chronic myelogenous leukemia,human,Gene
32213,DataSet_482,human,ENSG00000204842,ATXN2,MEG-01,TULP3,Blast phase chronic myelogenous leukemia,ENSG00000078246.17,139.2649,-1.68,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32324,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,PRR5L,Blast phase chronic myelogenous leukemia,ENSG00000135362.14,23.388,1.662,0.0016,up,Blast phase chronic myelogenous leukemia,human,Gene
56043,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,PRR5L,Blast phase chronic myelogenous leukemia,ENSG00000135362.14,23.388,1.662,0.0016,up,Blast phase chronic myelogenous leukemia,human,Gene
56044,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,HEMGN,Blast phase chronic myelogenous leukemia,ENSG00000136929.13,121.2556,-1.6512,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32325,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,HEMGN,Blast phase chronic myelogenous leukemia,ENSG00000136929.13,121.2556,-1.6512,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32326,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,TLCD4,Blast phase chronic myelogenous leukemia,ENSG00000152078.10,18.1809,-1.6438,0.0002,down,Blast phase chronic myelogenous leukemia,human,Gene
56045,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,TLCD4,Blast phase chronic myelogenous leukemia,ENSG00000152078.10,18.1809,-1.6438,0.0002,down,Blast phase chronic myelogenous leukemia,human,Gene
56046,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,CD34,Blast phase chronic myelogenous leukemia,ENSG00000174059.17,107.0411,1.5995,0.0,up,Blast phase chronic myelogenous leukemia,human,Gene
32327,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,CD34,Blast phase chronic myelogenous leukemia,ENSG00000174059.17,107.0411,1.5995,0.0,up,Blast phase chronic myelogenous leukemia,human,Gene
32328,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,SAMD14,Blast phase chronic myelogenous leukemia,ENSG00000167100.15,23.0219,1.5774,0.0086,up,Blast phase chronic myelogenous leukemia,human,Gene
56047,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,SAMD14,Blast phase chronic myelogenous leukemia,ENSG00000167100.15,23.0219,1.5774,0.0086,up,Blast phase chronic myelogenous leukemia,human,Gene
32214,DataSet_482,human,ENSG00000204842,ATXN2,MEG-01,TPSAB1,Blast phase chronic myelogenous leukemia,ENSG00000172236.18,555.0063,-1.5654,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32329,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,PDK4,Blast phase chronic myelogenous leukemia,ENSG00000004799.8,21.5337,-1.5533,0.0024,down,Blast phase chronic myelogenous leukemia,human,Gene
56048,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,PDK4,Blast phase chronic myelogenous leukemia,ENSG00000004799.8,21.5337,-1.5533,0.0024,down,Blast phase chronic myelogenous leukemia,human,Gene
32330,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,WNT7A,Blast phase chronic myelogenous leukemia,ENSG00000154764.6,165.7839,-1.5432,0.0223,down,Blast phase chronic myelogenous leukemia,human,Gene
56049,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,WNT7A,Blast phase chronic myelogenous leukemia,ENSG00000154764.6,165.7839,-1.5432,0.0223,down,Blast phase chronic myelogenous leukemia,human,Gene
56050,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,FEV,Blast phase chronic myelogenous leukemia,ENSG00000163497.3,118.1602,1.5413,0.0,up,Blast phase chronic myelogenous leukemia,human,Gene
32331,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,FEV,Blast phase chronic myelogenous leukemia,ENSG00000163497.3,118.1602,1.5413,0.0,up,Blast phase chronic myelogenous leukemia,human,Gene
56051,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,SRGAP2D,Blast phase chronic myelogenous leukemia,ENSG00000270872.2,16.2598,1.4916,0.0192,up,Blast phase chronic myelogenous leukemia,human,Gene
32332,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,SRGAP2D,Blast phase chronic myelogenous leukemia,ENSG00000270872.2,16.2598,1.4916,0.0192,up,Blast phase chronic myelogenous leukemia,human,Gene
32333,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,PLXNA4,Blast phase chronic myelogenous leukemia,ENSG00000221866.10,52.9453,1.4768,0.0004,up,Blast phase chronic myelogenous leukemia,human,Gene
56052,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,PLXNA4,Blast phase chronic myelogenous leukemia,ENSG00000221866.10,52.9453,1.4768,0.0004,up,Blast phase chronic myelogenous leukemia,human,Gene
56053,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,ENSG00000260369,Blast phase chronic myelogenous leukemia,ENSG00000260369.2,18.2108,-1.4702,0.0076,down,Blast phase chronic myelogenous leukemia,human,Gene
32334,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,ENSG00000260369,Blast phase chronic myelogenous leukemia,ENSG00000260369.2,18.2108,-1.4702,0.0076,down,Blast phase chronic myelogenous leukemia,human,Gene
32215,DataSet_482,human,ENSG00000204842,ATXN2,MEG-01,CD34,Blast phase chronic myelogenous leukemia,ENSG00000174059.17,89.0818,1.453,0.0,up,Blast phase chronic myelogenous leukemia,human,Gene
56054,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,GDF15,Blast phase chronic myelogenous leukemia,ENSG00000130513.7,108.2787,-1.4482,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32335,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,GDF15,Blast phase chronic myelogenous leukemia,ENSG00000130513.7,108.2787,-1.4482,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32336,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,NCAM1,Blast phase chronic myelogenous leukemia,ENSG00000149294.17,146.7337,1.4415,0.0,up,Blast phase chronic myelogenous leukemia,human,Gene
56055,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,NCAM1,Blast phase chronic myelogenous leukemia,ENSG00000149294.17,146.7337,1.4415,0.0,up,Blast phase chronic myelogenous leukemia,human,Gene
56056,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,KHK,Blast phase chronic myelogenous leukemia,ENSG00000138030.13,32.2083,1.4398,0.0015,up,Blast phase chronic myelogenous leukemia,human,Gene
32337,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,KHK,Blast phase chronic myelogenous leukemia,ENSG00000138030.13,32.2083,1.4398,0.0015,up,Blast phase chronic myelogenous leukemia,human,Gene
32338,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,RXFP2,Blast phase chronic myelogenous leukemia,ENSG00000133105.8,27.9669,-1.4355,0.0009,down,Blast phase chronic myelogenous leukemia,human,Gene
56057,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,RXFP2,Blast phase chronic myelogenous leukemia,ENSG00000133105.8,27.9669,-1.4355,0.0009,down,Blast phase chronic myelogenous leukemia,human,Gene
56058,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,SVOPL,Blast phase chronic myelogenous leukemia,ENSG00000157703.16,17.726,1.4316,0.0072,up,Blast phase chronic myelogenous leukemia,human,Gene
32339,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,SVOPL,Blast phase chronic myelogenous leukemia,ENSG00000157703.16,17.726,1.4316,0.0072,up,Blast phase chronic myelogenous leukemia,human,Gene
32216,DataSet_482,human,ENSG00000204842,ATXN2,MEG-01,ALDOC,Blast phase chronic myelogenous leukemia,ENSG00000109107.14,214.9775,-1.43,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32340,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,ACRBP,Blast phase chronic myelogenous leukemia,ENSG00000111644.8,12.9323,1.4274,0.0356,up,Blast phase chronic myelogenous leukemia,human,Gene
56059,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,ACRBP,Blast phase chronic myelogenous leukemia,ENSG00000111644.8,12.9323,1.4274,0.0356,up,Blast phase chronic myelogenous leukemia,human,Gene
32341,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,CTTN,Blast phase chronic myelogenous leukemia,ENSG00000085733.16,357.9892,-1.4215,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
56060,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,CTTN,Blast phase chronic myelogenous leukemia,ENSG00000085733.16,357.9892,-1.4215,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32342,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,HBB,Blast phase chronic myelogenous leukemia,ENSG00000244734.4,56.5081,-1.4207,0.0001,down,Blast phase chronic myelogenous leukemia,human,Gene
56061,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,HBB,Blast phase chronic myelogenous leukemia,ENSG00000244734.4,56.5081,-1.4207,0.0001,down,Blast phase chronic myelogenous leukemia,human,Gene
32217,DataSet_482,human,ENSG00000204842,ATXN2,MEG-01,GDF15,Blast phase chronic myelogenous leukemia,ENSG00000130513.7,134.9725,-1.416,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32344,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,PCSK9,Blast phase chronic myelogenous leukemia,ENSG00000169174.11,21.3944,-1.4093,0.0169,down,Blast phase chronic myelogenous leukemia,human,Gene
56063,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,PCSK9,Blast phase chronic myelogenous leukemia,ENSG00000169174.11,21.3944,-1.4093,0.0169,down,Blast phase chronic myelogenous leukemia,human,Gene
56064,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,CXCR2P1,Blast phase chronic myelogenous leukemia,ENSG00000229754.1,16.0071,-1.4046,0.0302,down,Blast phase chronic myelogenous leukemia,human,Gene
32345,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,CXCR2P1,Blast phase chronic myelogenous leukemia,ENSG00000229754.1,16.0071,-1.4046,0.0302,down,Blast phase chronic myelogenous leukemia,human,Gene
32218,DataSet_482,human,ENSG00000204842,ATXN2,MEG-01,ENSG00000273066,Blast phase chronic myelogenous leukemia,ENSG00000273066.5,45.7221,-1.3997,0.0061,down,Blast phase chronic myelogenous leukemia,human,Gene
56065,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,IRF6,Blast phase chronic myelogenous leukemia,ENSG00000117595.12,66.3154,-1.3892,0.008,down,Blast phase chronic myelogenous leukemia,human,Gene
32346,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,IRF6,Blast phase chronic myelogenous leukemia,ENSG00000117595.12,66.3154,-1.3892,0.008,down,Blast phase chronic myelogenous leukemia,human,Gene
56067,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,TC2N,Blast phase chronic myelogenous leukemia,ENSG00000165929.13,25.9291,1.3489,0.0045,up,Blast phase chronic myelogenous leukemia,human,Gene
32348,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,TC2N,Blast phase chronic myelogenous leukemia,ENSG00000165929.13,25.9291,1.3489,0.0045,up,Blast phase chronic myelogenous leukemia,human,Gene
32349,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,LBH,Blast phase chronic myelogenous leukemia,ENSG00000213626.13,189.9297,-1.3481,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
56068,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,LBH,Blast phase chronic myelogenous leukemia,ENSG00000213626.13,189.9297,-1.3481,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
32219,DataSet_482,human,ENSG00000204842,ATXN2,MEG-01,VGF,Blast phase chronic myelogenous leukemia,ENSG00000128564.8,74.115,-1.338,0.0002,down,Blast phase chronic myelogenous leukemia,human,Gene
32220,DataSet_482,human,ENSG00000204842,ATXN2,MEG-01,RABL6,Blast phase chronic myelogenous leukemia,ENSG00000196642.19,3678.1478,-1.3329,0.0,down,Blast phase chronic myelogenous leukemia,human,Gene
56069,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,DENND1C,Blast phase chronic myelogenous leukemia,ENSG00000205744.10,27.6575,1.3261,0.0031,up,Blast phase chronic myelogenous leukemia,human,Gene
32350,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,DENND1C,Blast phase chronic myelogenous leukemia,ENSG00000205744.10,27.6575,1.3261,0.0031,up,Blast phase chronic myelogenous leukemia,human,Gene
32351,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,EGLN3,Blast phase chronic myelogenous leukemia,ENSG00000129521.15,20.6108,-1.3217,0.0453,down,Blast phase chronic myelogenous leukemia,human,Gene
56070,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,EGLN3,Blast phase chronic myelogenous leukemia,ENSG00000129521.15,20.6108,-1.3217,0.0453,down,Blast phase chronic myelogenous leukemia,human,Gene
56071,DataSet_442,human,ENSG00000204842,ATXN2,MEG-01,CHST3,Blast phase chronic myelogenous leukemia,ENSG00000122863.6,31.0086,-1.3174,0.0005,down,Blast phase chronic myelogenous leukemia,human,Gene
32352,DataSet_483,human,ENSG00000204842,ATXN2,MEG-01,CHST3,Blast phase chronic myelogenous leukemia,ENSG00000122863.6,31.0086,-1.3174,0.0005,down,Blast phase chronic myelogenous leukemia,human,Gene
