Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
46419,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,ENSG00000283321,Breast adenocarcinoma,ENSG00000283321.1,17.7303,-7.6057,0.036,down,Breast adenocarcinoma,human,Gene
46420,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,CES4A,Breast adenocarcinoma,ENSG00000172824.16,26.5034,-7.4608,0.0,down,Breast adenocarcinoma,human,Gene
46421,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,CDH11,Breast adenocarcinoma,ENSG00000140937.14,477.9884,-6.8036,0.0,down,Breast adenocarcinoma,human,Gene
46422,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,ENSG00000264668,Breast adenocarcinoma,ENSG00000264668.2,10.0867,6.7839,0.0415,up,Breast adenocarcinoma,human,Gene
46423,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,NAP1L3,Breast adenocarcinoma,ENSG00000186310.10,53.7789,6.739,0.0,up,Breast adenocarcinoma,human,Gene
46424,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,CXCR4,Breast adenocarcinoma,ENSG00000121966.7,143.4377,-6.7068,0.0,down,Breast adenocarcinoma,human,Gene
46425,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,RNF144A,Breast adenocarcinoma,ENSG00000151692.15,116.8407,6.5351,0.0,up,Breast adenocarcinoma,human,Gene
46426,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,EPPIN,Breast adenocarcinoma,ENSG00000101448.14,7.3069,-6.3181,0.0004,down,Breast adenocarcinoma,human,Gene
46427,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,KCNQ3,Breast adenocarcinoma,ENSG00000184156.17,7.2891,-6.3181,0.0004,down,Breast adenocarcinoma,human,Gene
46429,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,NR4A1AS,Breast adenocarcinoma,ENSG00000259884.1,48.6234,-6.2638,0.0012,down,Breast adenocarcinoma,human,Gene
46430,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,ENSG00000279249,Breast adenocarcinoma,ENSG00000279249.3,6.7099,-6.1952,0.0014,down,Breast adenocarcinoma,human,Gene
46431,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,ENSG00000286518,Breast adenocarcinoma,ENSG00000286518.1,6.4604,-6.1541,0.0,down,Breast adenocarcinoma,human,Gene
46432,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,TREM1,Breast adenocarcinoma,ENSG00000124731.13,6.246,-6.0881,0.0002,down,Breast adenocarcinoma,human,Gene
46433,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,ENSG00000278890,Breast adenocarcinoma,ENSG00000278890.1,6.1167,-6.0642,0.0032,down,Breast adenocarcinoma,human,Gene
46434,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,ENSG00000289346,Breast adenocarcinoma,ENSG00000289346.1,5.973,-6.0361,0.0024,down,Breast adenocarcinoma,human,Gene
46435,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,LINC02487,Breast adenocarcinoma,ENSG00000203688.6,9.7579,-6.0059,0.0,down,Breast adenocarcinoma,human,Gene
46436,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,ENSG00000227717,Breast adenocarcinoma,ENSG00000227717.5,5.5803,-5.9332,0.0009,down,Breast adenocarcinoma,human,Gene
46437,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,MIR3976HG,Breast adenocarcinoma,ENSG00000261738.8,5.5967,-5.9325,0.0005,down,Breast adenocarcinoma,human,Gene
46438,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,LINC01615,Breast adenocarcinoma,ENSG00000223485.5,83.5194,-5.9139,0.0,down,Breast adenocarcinoma,human,Gene
46439,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,GFRA1,Breast adenocarcinoma,ENSG00000151892.16,5.2947,-5.8501,0.0002,down,Breast adenocarcinoma,human,Gene
46440,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,UCA1,Breast adenocarcinoma,ENSG00000214049.8,64.5429,-5.8312,0.0,down,Breast adenocarcinoma,human,Gene
46441,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,CASR,Breast adenocarcinoma,ENSG00000036828.17,5.1429,-5.8118,0.0028,down,Breast adenocarcinoma,human,Gene
46442,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,LETR1,Breast adenocarcinoma,ENSG00000248441.8,5.1048,-5.7976,0.0046,down,Breast adenocarcinoma,human,Gene
46443,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,FMOD,Breast adenocarcinoma,ENSG00000122176.12,5.0134,-5.7805,0.0001,down,Breast adenocarcinoma,human,Gene
46444,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,LINC01902,Breast adenocarcinoma,ENSG00000283503.3,8.2943,-5.7567,0.001,down,Breast adenocarcinoma,human,Gene
46445,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,ZBTB7C,Breast adenocarcinoma,ENSG00000184828.10,27.2236,-5.7556,0.0,down,Breast adenocarcinoma,human,Gene
46446,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,SAG,Breast adenocarcinoma,ENSG00000130561.17,4.8897,-5.7338,0.0026,down,Breast adenocarcinoma,human,Gene
46447,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,OR52A1,Breast adenocarcinoma,ENSG00000182070.7,4.8467,-5.7252,0.0137,down,Breast adenocarcinoma,human,Gene
46448,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,CDHR1,Breast adenocarcinoma,ENSG00000148600.15,4.8445,-5.7236,0.0018,down,Breast adenocarcinoma,human,Gene
46449,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,TFF2,Breast adenocarcinoma,ENSG00000160181.9,4.7524,-5.7151,0.0005,down,Breast adenocarcinoma,human,Gene
46450,DataSet_714,human,ENSG00000186666,BCDIN3D,MDA-MB-231,OR8A1,Breast adenocarcinoma,ENSG00000196119.8,4.764,-5.6989,0.0066,down,Breast adenocarcinoma,human,Gene
