Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
89479,DataSet_14,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000280064,Bronchogenic carcinoma,ENSG00000280064.1,117.1879,-10.3391,0.0,down,Bronchogenic carcinoma,human,Gene
2167,DataSet_15,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000280064,Bronchogenic carcinoma,ENSG00000280064.1,117.1879,-10.3391,0.0,down,Bronchogenic carcinoma,human,Gene
2168,DataSet_15,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000250111,Bronchogenic carcinoma,ENSG00000250111.3,72.4452,9.6158,0.0,up,Bronchogenic carcinoma,human,Gene
89480,DataSet_14,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000250111,Bronchogenic carcinoma,ENSG00000250111.3,72.4452,9.6158,0.0,up,Bronchogenic carcinoma,human,Gene
89481,DataSet_14,human,ENSG00000111196,MAGOHB,ChagoK1,RPL21P75,Bronchogenic carcinoma,ENSG00000213860.4,37.347,-8.6877,0.0,down,Bronchogenic carcinoma,human,Gene
2169,DataSet_15,human,ENSG00000111196,MAGOHB,ChagoK1,RPL21P75,Bronchogenic carcinoma,ENSG00000213860.4,37.347,-8.6877,0.0,down,Bronchogenic carcinoma,human,Gene
2171,DataSet_15,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000261116,Bronchogenic carcinoma,ENSG00000261116.1,24.9979,-8.1098,0.0,down,Bronchogenic carcinoma,human,Gene
89483,DataSet_14,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000261116,Bronchogenic carcinoma,ENSG00000261116.1,24.9979,-8.1098,0.0,down,Bronchogenic carcinoma,human,Gene
2172,DataSet_15,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000239945,Bronchogenic carcinoma,ENSG00000239945.1,10.5108,6.837,0.0,up,Bronchogenic carcinoma,human,Gene
89484,DataSet_14,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000239945,Bronchogenic carcinoma,ENSG00000239945.1,10.5108,6.837,0.0,up,Bronchogenic carcinoma,human,Gene
89485,DataSet_14,human,ENSG00000111196,MAGOHB,ChagoK1,KRT6B,Bronchogenic carcinoma,ENSG00000185479.6,81.695,6.6007,0.0,up,Bronchogenic carcinoma,human,Gene
2173,DataSet_15,human,ENSG00000111196,MAGOHB,ChagoK1,KRT6B,Bronchogenic carcinoma,ENSG00000185479.6,81.695,6.6007,0.0,up,Bronchogenic carcinoma,human,Gene
2174,DataSet_15,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000265188,Bronchogenic carcinoma,ENSG00000265188.1,7.979,-6.4639,0.0,down,Bronchogenic carcinoma,human,Gene
89486,DataSet_14,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000265188,Bronchogenic carcinoma,ENSG00000265188.1,7.979,-6.4639,0.0,down,Bronchogenic carcinoma,human,Gene
89487,DataSet_14,human,ENSG00000111196,MAGOHB,ChagoK1,MALRD1,Bronchogenic carcinoma,ENSG00000204740.11,7.8251,-6.4355,0.0,down,Bronchogenic carcinoma,human,Gene
2175,DataSet_15,human,ENSG00000111196,MAGOHB,ChagoK1,MALRD1,Bronchogenic carcinoma,ENSG00000204740.11,7.8251,-6.4355,0.0,down,Bronchogenic carcinoma,human,Gene
2176,DataSet_15,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000256029,Bronchogenic carcinoma,ENSG00000256029.6,7.5119,-6.376,0.0,down,Bronchogenic carcinoma,human,Gene
89488,DataSet_14,human,ENSG00000111196,MAGOHB,ChagoK1,ENSG00000256029,Bronchogenic carcinoma,ENSG00000256029.6,7.5119,-6.376,0.0,down,Bronchogenic carcinoma,human,Gene
