Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
2719,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,CHI3L1,Childhood acute monocytic leukemia,ENSG00000133048.13,4266.7924,-29.436,0.0,down,Childhood acute monocytic leukemia,human,Gene
2720,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,CTSG,Childhood acute monocytic leukemia,ENSG00000100448.4,3245.0443,-29.1001,0.0,down,Childhood acute monocytic leukemia,human,Gene
2721,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,ELANE,Childhood acute monocytic leukemia,ENSG00000197561.7,3144.3265,-29.0508,0.0,down,Childhood acute monocytic leukemia,human,Gene
2722,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,EMB,Childhood acute monocytic leukemia,ENSG00000170571.12,2644.8103,-28.2426,0.0,down,Childhood acute monocytic leukemia,human,Gene
2723,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,P2RY2,Childhood acute monocytic leukemia,ENSG00000175591.12,1599.5335,-28.1241,0.0,down,Childhood acute monocytic leukemia,human,Gene
2724,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,RNASE2,Childhood acute monocytic leukemia,ENSG00000169385.3,1327.346,-27.8707,0.0,down,Childhood acute monocytic leukemia,human,Gene
2725,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,RPS4Y1,Childhood acute monocytic leukemia,ENSG00000129824.16,1081.9576,-27.5891,0.0,down,Childhood acute monocytic leukemia,human,Gene
2726,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,SERPINB8,Childhood acute monocytic leukemia,ENSG00000166401.15,751.8032,-27.0963,0.0,down,Childhood acute monocytic leukemia,human,Gene
2727,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,BHLHE22,Childhood acute monocytic leukemia,ENSG00000180828.3,739.4495,-27.0705,0.0,down,Childhood acute monocytic leukemia,human,Gene
2728,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,IRX3,Childhood acute monocytic leukemia,ENSG00000177508.12,697.2172,-26.9902,0.0,down,Childhood acute monocytic leukemia,human,Gene
2729,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,TASL,Childhood acute monocytic leukemia,ENSG00000120280.6,676.1042,-26.8365,0.0,down,Childhood acute monocytic leukemia,human,Gene
2730,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,ADGRL2,Childhood acute monocytic leukemia,ENSG00000117114.21,607.5648,-26.7928,0.0,down,Childhood acute monocytic leukemia,human,Gene
2731,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,CES1,Childhood acute monocytic leukemia,ENSG00000198848.13,624.9797,-26.7622,0.0,down,Childhood acute monocytic leukemia,human,Gene
2732,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,DDX3Y,Childhood acute monocytic leukemia,ENSG00000067048.17,808.428,-26.6935,0.0,down,Childhood acute monocytic leukemia,human,Gene
2733,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,SORL1,Childhood acute monocytic leukemia,ENSG00000137642.13,588.1182,-26.6487,0.0,down,Childhood acute monocytic leukemia,human,Gene
2734,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,NLRP3,Childhood acute monocytic leukemia,ENSG00000162711.18,524.9765,-26.5952,0.0,down,Childhood acute monocytic leukemia,human,Gene
2735,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,FLI1,Childhood acute monocytic leukemia,ENSG00000151702.17,499.7059,-26.5267,0.0,down,Childhood acute monocytic leukemia,human,Gene
2736,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,LILRB4,Childhood acute monocytic leukemia,ENSG00000186818.12,511.7035,-26.5091,0.0,down,Childhood acute monocytic leukemia,human,Gene
2737,DataSet_25,human,ENSG00000160710,ADAR1,THP-1,TGFBI,Childhood acute monocytic leukemia,ENSG00000120708.17,416.5547,-26.2811,0.0,down,Childhood acute monocytic leukemia,human,Gene
