Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
33446,DataSet_497,human,ENSG00000048740,CELF2,JSL1,ENSG00000263244,Childhood T acute lymphoblastic leukemia,ENSG00000263244.2,145.6152,23.1716,0.0,up,Childhood T acute lymphoblastic leukemia,human,Gene
33447,DataSet_497,human,ENSG00000048740,CELF2,JSL1,ZNF683,Childhood T acute lymphoblastic leukemia,ENSG00000176083.18,323.0248,-11.9565,0.0,down,Childhood T acute lymphoblastic leukemia,human,Gene
33448,DataSet_497,human,ENSG00000048740,CELF2,JSL1,FBP2,Childhood T acute lymphoblastic leukemia,ENSG00000130957.5,355.9445,11.755,0.0,up,Childhood T acute lymphoblastic leukemia,human,Gene
33449,DataSet_497,human,ENSG00000048740,CELF2,JSL1,PGLYRP3,Childhood T acute lymphoblastic leukemia,ENSG00000159527.4,233.049,-11.4859,0.0,down,Childhood T acute lymphoblastic leukemia,human,Gene
33346,DataSet_496,human,ENSG00000048740,CELF2,JSL1,ENSG00000235023,Childhood T acute lymphoblastic leukemia,ENSG00000235023.1,273.0381,11.4466,0.0,up,Childhood T acute lymphoblastic leukemia,human,Gene
33347,DataSet_496,human,ENSG00000048740,CELF2,JSL1,ENSG00000236656,Childhood T acute lymphoblastic leukemia,ENSG00000236656.1,227.3673,-11.3728,0.0,down,Childhood T acute lymphoblastic leukemia,human,Gene
33348,DataSet_496,human,ENSG00000048740,CELF2,JSL1,RLN2,Childhood T acute lymphoblastic leukemia,ENSG00000107014.9,254.3807,11.3445,0.0011,up,Childhood T acute lymphoblastic leukemia,human,Gene
33349,DataSet_496,human,ENSG00000048740,CELF2,JSL1,PYY,Childhood T acute lymphoblastic leukemia,ENSG00000131096.11,682.8288,11.3332,0.0,up,Childhood T acute lymphoblastic leukemia,human,Gene
33350,DataSet_496,human,ENSG00000048740,CELF2,JSL1,SYTL5,Childhood T acute lymphoblastic leukemia,ENSG00000147041.12,644.5445,11.1762,0.0,up,Childhood T acute lymphoblastic leukemia,human,Gene
33450,DataSet_497,human,ENSG00000048740,CELF2,JSL1,ENSG00000235023,Childhood T acute lymphoblastic leukemia,ENSG00000235023.1,165.6246,10.651,0.0,up,Childhood T acute lymphoblastic leukemia,human,Gene
33451,DataSet_497,human,ENSG00000048740,CELF2,JSL1,TNFRSF9,Childhood T acute lymphoblastic leukemia,ENSG00000049249.9,160.7611,10.6083,0.0001,up,Childhood T acute lymphoblastic leukemia,human,Gene
33452,DataSet_497,human,ENSG00000048740,CELF2,JSL1,FAM238B,Childhood T acute lymphoblastic leukemia,ENSG00000231976.8,383.1665,10.4186,0.0,up,Childhood T acute lymphoblastic leukemia,human,Gene
33351,DataSet_496,human,ENSG00000048740,CELF2,JSL1,COL4A1,Childhood T acute lymphoblastic leukemia,ENSG00000187498.16,1441.3992,10.4139,0.0,up,Childhood T acute lymphoblastic leukemia,human,Gene
33352,DataSet_496,human,ENSG00000048740,CELF2,JSL1,VWA3A,Childhood T acute lymphoblastic leukemia,ENSG00000175267.15,2493.5582,10.3506,0.0,up,Childhood T acute lymphoblastic leukemia,human,Gene
33453,DataSet_497,human,ENSG00000048740,CELF2,JSL1,A2M,Childhood T acute lymphoblastic leukemia,ENSG00000175899.15,713.3953,10.3195,0.0,up,Childhood T acute lymphoblastic leukemia,human,Gene
