Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
92882,DataSet_1396,human,ENSG00000090861,AARS1,K562,BIVM-ERCC5,Chronic myelogenous leukemia,ENSG00000270181.3,73.3374,9.7342,0.0,up,Chronic myelogenous leukemia,human,Gene
92883,DataSet_1396,human,ENSG00000090861,AARS1,K562,ENSG00000272921,Chronic myelogenous leukemia,ENSG00000272921.1,47.407,9.1042,0.0,up,Chronic myelogenous leukemia,human,Gene
92884,DataSet_1396,human,ENSG00000090861,AARS1,K562,ENSG00000262660,Chronic myelogenous leukemia,ENSG00000262660.1,33.6996,8.6156,0.0,up,Chronic myelogenous leukemia,human,Gene
92885,DataSet_1396,human,ENSG00000090861,AARS1,K562,ENSG00000285565,Chronic myelogenous leukemia,ENSG00000285565.1,27.8424,-8.1575,0.0232,down,Chronic myelogenous leukemia,human,Gene
92886,DataSet_1396,human,ENSG00000090861,AARS1,K562,ENSG00000262413,Chronic myelogenous leukemia,ENSG00000262413.1,79.471,5.6684,0.0095,up,Chronic myelogenous leukemia,human,Gene
92887,DataSet_1396,human,ENSG00000090861,AARS1,K562,ENSG00000249319,Chronic myelogenous leukemia,ENSG00000249319.2,31.3578,4.5966,0.0367,up,Chronic myelogenous leukemia,human,Gene
92888,DataSet_1396,human,ENSG00000090861,AARS1,K562,ENSG00000235288,Chronic myelogenous leukemia,ENSG00000235288.3,95.2746,-3.6606,0.0,down,Chronic myelogenous leukemia,human,Gene
92889,DataSet_1396,human,ENSG00000090861,AARS1,K562,ENSG00000267740,Chronic myelogenous leukemia,ENSG00000267740.5,31.9471,3.6179,0.0001,up,Chronic myelogenous leukemia,human,Gene
92890,DataSet_1396,human,ENSG00000090861,AARS1,K562,CDRT4,Chronic myelogenous leukemia,ENSG00000239704.11,49.4951,-3.0199,0.0,down,Chronic myelogenous leukemia,human,Gene
92891,DataSet_1396,human,ENSG00000090861,AARS1,K562,SLC4A1,Chronic myelogenous leukemia,ENSG00000004939.16,147.4128,-2.8858,0.0,down,Chronic myelogenous leukemia,human,Gene
