Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
33246,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,RTL8A,Chronic myeloid leukemia,ENSG00000203950.7,116.4909,-8.9327,0.0,down,Chronic myeloid leukemia,human,Gene
33247,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,TRPC4,Chronic myeloid leukemia,ENSG00000133107.15,32.0384,-8.5181,0.0,down,Chronic myeloid leukemia,human,Gene
33248,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,PXDN,Chronic myeloid leukemia,ENSG00000130508.11,31.9484,-8.5084,0.0,down,Chronic myeloid leukemia,human,Gene
33249,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,STAC,Chronic myeloid leukemia,ENSG00000144681.11,31.4298,-8.4854,0.0,down,Chronic myeloid leukemia,human,Gene
33250,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,LBX1-AS1,Chronic myeloid leukemia,ENSG00000227128.5,49.671,-7.6994,0.0001,down,Chronic myeloid leukemia,human,Gene
33251,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,HOXC11,Chronic myeloid leukemia,ENSG00000123388.4,14.6016,-7.3817,0.0017,down,Chronic myeloid leukemia,human,Gene
33252,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,NFATC4,Chronic myeloid leukemia,ENSG00000100968.14,144.0876,-7.2378,0.0,down,Chronic myeloid leukemia,human,Gene
33253,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,NLGN4X,Chronic myeloid leukemia,ENSG00000146938.16,12.8874,-7.2029,0.0036,down,Chronic myeloid leukemia,human,Gene
33254,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,HSFX2,Chronic myeloid leukemia,ENSG00000268738.3,13.8973,7.1762,0.0033,up,Chronic myeloid leukemia,human,Gene
33255,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,ENSG00000288894,Chronic myeloid leukemia,ENSG00000288894.1,12.4558,-7.1529,0.0042,down,Chronic myeloid leukemia,human,Gene
33256,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,NCAM2,Chronic myeloid leukemia,ENSG00000154654.15,11.639,-7.0529,0.0064,down,Chronic myeloid leukemia,human,Gene
33257,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,EGFR,Chronic myeloid leukemia,ENSG00000146648.20,11.1142,-6.9862,0.0078,down,Chronic myeloid leukemia,human,Gene
33258,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,PLAAT5,Chronic myeloid leukemia,ENSG00000168004.10,55.6035,-6.8541,0.0,down,Chronic myeloid leukemia,human,Gene
33259,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,PTPN3,Chronic myeloid leukemia,ENSG00000070159.14,82.3535,-6.8376,0.0,down,Chronic myeloid leukemia,human,Gene
33260,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,HSFX1,Chronic myeloid leukemia,ENSG00000171116.7,9.2603,-6.7263,0.0189,down,Chronic myeloid leukemia,human,Gene
33261,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,FASTKD2,Chronic myeloid leukemia,ENSG00000118246.14,175.4111,-6.7108,0.0034,down,Chronic myeloid leukemia,human,Gene
33262,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,GABRA5,Chronic myeloid leukemia,ENSG00000186297.12,116.0081,-6.5916,0.0,down,Chronic myeloid leukemia,human,Gene
33263,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,ZNF385D,Chronic myeloid leukemia,ENSG00000151789.12,8.338,-6.5675,0.0497,down,Chronic myeloid leukemia,human,Gene
33264,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,ENSG00000226252,Chronic myeloid leukemia,ENSG00000226252.1,8.1175,-6.5378,0.0373,down,Chronic myeloid leukemia,human,Gene
33265,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,CRPPA,Chronic myeloid leukemia,ENSG00000214960.11,20.9493,-6.4368,0.006,down,Chronic myeloid leukemia,human,Gene
33266,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,TCEAL9,Chronic myeloid leukemia,ENSG00000185222.10,542.9195,-6.423,0.0,down,Chronic myeloid leukemia,human,Gene
33272,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,FLI1,Chronic myeloid leukemia,ENSG00000151702.17,13.7013,-5.8139,0.0364,down,Chronic myeloid leukemia,human,Gene
33273,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,PTPRN2,Chronic myeloid leukemia,ENSG00000155093.19,99.3111,-5.6691,0.0,down,Chronic myeloid leukemia,human,Gene
33274,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,CADM1,Chronic myeloid leukemia,ENSG00000182985.18,205.3162,-5.5933,0.0011,down,Chronic myeloid leukemia,human,Gene
33276,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,ENSG00000287856,Chronic myeloid leukemia,ENSG00000287856.1,122.5289,-5.3772,0.0,down,Chronic myeloid leukemia,human,Gene
33277,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,SLC19A3,Chronic myeloid leukemia,ENSG00000135917.16,19.6616,-5.3344,0.0029,down,Chronic myeloid leukemia,human,Gene
33278,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,CHL1,Chronic myeloid leukemia,ENSG00000134121.10,66.7906,-5.2965,0.0,down,Chronic myeloid leukemia,human,Gene
33279,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,NAP1L2,Chronic myeloid leukemia,ENSG00000186462.9,172.14,-5.211,0.0,down,Chronic myeloid leukemia,human,Gene
33280,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,TAL1,Chronic myeloid leukemia,ENSG00000162367.12,296.7776,-5.1236,0.0,down,Chronic myeloid leukemia,human,Gene
33281,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,MYOM1,Chronic myeloid leukemia,ENSG00000101605.14,329.5733,-5.0687,0.0,down,Chronic myeloid leukemia,human,Gene
33282,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,ENSG00000274333,Chronic myeloid leukemia,ENSG00000274333.4,228.5909,4.6705,0.0,up,Chronic myeloid leukemia,human,Gene
33283,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,CNTN6,Chronic myeloid leukemia,ENSG00000134115.13,19.511,4.5934,0.0055,up,Chronic myeloid leukemia,human,Gene
33284,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,SOX1,Chronic myeloid leukemia,ENSG00000182968.5,23.8273,-4.5819,0.0033,down,Chronic myeloid leukemia,human,Gene
33285,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,ASCL1,Chronic myeloid leukemia,ENSG00000139352.4,12.8487,4.562,0.0495,up,Chronic myeloid leukemia,human,Gene
33286,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,KCNK1,Chronic myeloid leukemia,ENSG00000135750.15,27.4274,-4.4681,0.0002,down,Chronic myeloid leukemia,human,Gene
33287,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,S1PR3,Chronic myeloid leukemia,ENSG00000213694.6,16.1348,-4.4473,0.0228,down,Chronic myeloid leukemia,human,Gene
33288,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,ALDH1A2,Chronic myeloid leukemia,ENSG00000128918.15,21.287,-4.4189,0.002,down,Chronic myeloid leukemia,human,Gene
33289,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,LPL,Chronic myeloid leukemia,ENSG00000175445.17,26.0246,-4.3997,0.0005,down,Chronic myeloid leukemia,human,Gene
33290,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,CHST15,Chronic myeloid leukemia,ENSG00000182022.18,15.3072,-4.3283,0.0322,down,Chronic myeloid leukemia,human,Gene
33291,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,RTL8B,Chronic myeloid leukemia,ENSG00000212747.5,44.0438,-4.295,0.0,down,Chronic myeloid leukemia,human,Gene
33292,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,GASK1A,Chronic myeloid leukemia,ENSG00000144649.10,19.3213,-4.2696,0.0046,down,Chronic myeloid leukemia,human,Gene
33293,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,BMP2,Chronic myeloid leukemia,ENSG00000125845.7,13.5388,-4.1754,0.0412,down,Chronic myeloid leukemia,human,Gene
33295,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,KCNH5,Chronic myeloid leukemia,ENSG00000140015.20,16.7438,-4.051,0.0147,down,Chronic myeloid leukemia,human,Gene
33296,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,PTPRE,Chronic myeloid leukemia,ENSG00000132334.17,20.5653,-4.0405,0.0084,down,Chronic myeloid leukemia,human,Gene
33297,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,PAK6,Chronic myeloid leukemia,ENSG00000137843.12,67.2203,-4.0372,0.0,down,Chronic myeloid leukemia,human,Gene
33298,DataSet_495,human,ENSG00000171456,ASXL1,HAP1,CNTNAP2,Chronic myeloid leukemia,ENSG00000174469.23,87.5027,-3.9876,0.0,down,Chronic myeloid leukemia,human,Gene
