Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
14230,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,TENM3,Clear cell renal cell carcinoma,ENSG00000218336.9,27.2181,-8.2433,0.0,down,Clear cell renal cell carcinoma,human,Gene
14231,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ENSG00000254732,Clear cell renal cell carcinoma,ENSG00000254732.2,22.2142,-7.9501,0.0379,down,Clear cell renal cell carcinoma,human,Gene
14232,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,FRG1CP,Clear cell renal cell carcinoma,ENSG00000282826.3,20.7955,-7.8559,0.0,down,Clear cell renal cell carcinoma,human,Gene
14233,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ADGRL2,Clear cell renal cell carcinoma,ENSG00000117114.21,16.5253,-7.5244,0.0001,down,Clear cell renal cell carcinoma,human,Gene
14234,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ENSG00000285238,Clear cell renal cell carcinoma,ENSG00000285238.2,15.1935,-7.4015,0.0001,down,Clear cell renal cell carcinoma,human,Gene
14235,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,KLF17,Clear cell renal cell carcinoma,ENSG00000171872.5,15.3642,7.3734,0.0001,up,Clear cell renal cell carcinoma,human,Gene
14236,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,PCDH7,Clear cell renal cell carcinoma,ENSG00000169851.15,14.3392,-7.319,0.0002,down,Clear cell renal cell carcinoma,human,Gene
14237,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,LINC01948,Clear cell renal cell carcinoma,ENSG00000248727.6,12.5542,-7.1275,0.0004,down,Clear cell renal cell carcinoma,human,Gene
14238,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,CACNA2D1,Clear cell renal cell carcinoma,ENSG00000153956.16,12.3237,-7.1005,0.0004,down,Clear cell renal cell carcinoma,human,Gene
14239,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,MEIS3,Clear cell renal cell carcinoma,ENSG00000105419.18,12.4249,7.0672,0.0005,up,Clear cell renal cell carcinoma,human,Gene
14240,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,CH507-42P11.6,Clear cell renal cell carcinoma,ENSG00000280179.1,12.2695,7.0481,0.0007,up,Clear cell renal cell carcinoma,human,Gene
14241,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,NXPH2,Clear cell renal cell carcinoma,ENSG00000144227.5,12.2168,7.0424,0.0005,up,Clear cell renal cell carcinoma,human,Gene
14242,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,COL4A3,Clear cell renal cell carcinoma,ENSG00000169031.21,30.5821,-6.9562,0.0001,down,Clear cell renal cell carcinoma,human,Gene
14243,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ENSG00000283977,Clear cell renal cell carcinoma,ENSG00000283977.1,10.9409,6.8839,0.0011,up,Clear cell renal cell carcinoma,human,Gene
14244,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ESM1,Clear cell renal cell carcinoma,ENSG00000164283.13,15.9294,5.9573,0.0029,up,Clear cell renal cell carcinoma,human,Gene
14245,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,NHS,Clear cell renal cell carcinoma,ENSG00000188158.17,53.5768,5.3738,0.0,up,Clear cell renal cell carcinoma,human,Gene
14246,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,KCNJ16,Clear cell renal cell carcinoma,ENSG00000153822.15,17.2068,-5.0936,0.0008,down,Clear cell renal cell carcinoma,human,Gene
14247,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,CSF2,Clear cell renal cell carcinoma,ENSG00000164400.6,25.1744,5.0124,0.0,up,Clear cell renal cell carcinoma,human,Gene
14248,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,MAN1A1,Clear cell renal cell carcinoma,ENSG00000111885.7,24.4135,-5.0119,0.0,down,Clear cell renal cell carcinoma,human,Gene
14249,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,CCSER1,Clear cell renal cell carcinoma,ENSG00000184305.16,13.9866,-4.786,0.0038,down,Clear cell renal cell carcinoma,human,Gene
14250,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,NFIB,Clear cell renal cell carcinoma,ENSG00000147862.18,42.501,4.7653,0.0,up,Clear cell renal cell carcinoma,human,Gene
14251,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,PLCB4,Clear cell renal cell carcinoma,ENSG00000101333.19,86.4135,-4.7141,0.0,down,Clear cell renal cell carcinoma,human,Gene
14252,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,EVA1A,Clear cell renal cell carcinoma,ENSG00000115363.14,47.3942,4.6895,0.0,up,Clear cell renal cell carcinoma,human,Gene
14253,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,WNT5A,Clear cell renal cell carcinoma,ENSG00000114251.15,32.4886,4.6482,0.0061,up,Clear cell renal cell carcinoma,human,Gene
14254,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,IL7R,Clear cell renal cell carcinoma,ENSG00000168685.15,12.5066,4.5666,0.0069,up,Clear cell renal cell carcinoma,human,Gene
14255,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,NNMT,Clear cell renal cell carcinoma,ENSG00000166741.8,36.1533,4.5232,0.0,up,Clear cell renal cell carcinoma,human,Gene
14256,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ENSG00000286239,Clear cell renal cell carcinoma,ENSG00000286239.1,29.0832,-4.5014,0.0401,down,Clear cell renal cell carcinoma,human,Gene
14257,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,CLGN,Clear cell renal cell carcinoma,ENSG00000153132.13,10.9927,-4.4283,0.0124,down,Clear cell renal cell carcinoma,human,Gene
14258,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,PLXNA2,Clear cell renal cell carcinoma,ENSG00000076356.7,36.1955,4.2884,0.0,up,Clear cell renal cell carcinoma,human,Gene
14259,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ENSG00000264545,Clear cell renal cell carcinoma,ENSG00000264545.2,13.3956,-4.1128,0.0051,down,Clear cell renal cell carcinoma,human,Gene
14260,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,KLF12,Clear cell renal cell carcinoma,ENSG00000118922.18,20.8327,-4.0006,0.0003,down,Clear cell renal cell carcinoma,human,Gene
14261,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,SHROOM3,Clear cell renal cell carcinoma,ENSG00000138771.16,16.4599,-3.9882,0.0022,down,Clear cell renal cell carcinoma,human,Gene
14262,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,MARCKS,Clear cell renal cell carcinoma,ENSG00000277443.3,194.7884,-3.8712,0.0,down,Clear cell renal cell carcinoma,human,Gene
14263,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,IGFBP4,Clear cell renal cell carcinoma,ENSG00000141753.7,15.4509,3.8305,0.0039,up,Clear cell renal cell carcinoma,human,Gene
14264,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ZCWPW1,Clear cell renal cell carcinoma,ENSG00000078487.18,11.2703,3.7948,0.0153,up,Clear cell renal cell carcinoma,human,Gene
14265,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ENSG00000279821,Clear cell renal cell carcinoma,ENSG00000279821.1,11.2836,3.789,0.0196,up,Clear cell renal cell carcinoma,human,Gene
14266,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,SLIT2,Clear cell renal cell carcinoma,ENSG00000145147.20,17.9454,-3.774,0.0012,down,Clear cell renal cell carcinoma,human,Gene
14267,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ADAM12,Clear cell renal cell carcinoma,ENSG00000148848.15,21.7961,3.743,0.0002,up,Clear cell renal cell carcinoma,human,Gene
14268,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ENSG00000276850,Clear cell renal cell carcinoma,ENSG00000276850.5,39.1137,3.5953,0.0205,up,Clear cell renal cell carcinoma,human,Gene
14269,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,C1QTNF1,Clear cell renal cell carcinoma,ENSG00000173918.15,61.6992,3.4914,0.0,up,Clear cell renal cell carcinoma,human,Gene
14270,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ROBO4,Clear cell renal cell carcinoma,ENSG00000154133.15,48.5979,3.4831,0.0096,up,Clear cell renal cell carcinoma,human,Gene
14271,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,CSF2RA,Clear cell renal cell carcinoma,ENSG00000198223.17,23.5601,-3.4682,0.0001,down,Clear cell renal cell carcinoma,human,Gene
14272,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,ITGB8,Clear cell renal cell carcinoma,ENSG00000105855.10,17.3366,-3.4399,0.002,down,Clear cell renal cell carcinoma,human,Gene
14273,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,MFF-DT,Clear cell renal cell carcinoma,ENSG00000236432.8,23.0504,-3.4391,0.0004,down,Clear cell renal cell carcinoma,human,Gene
14274,DataSet_201,human,ENSG00000138668,HNRNPD,SW839,MMP10,Clear cell renal cell carcinoma,ENSG00000166670.10,14.3932,3.396,0.0126,up,Clear cell renal cell carcinoma,human,Gene
