Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
9471,DataSet_108,human,ENSG00000172493,AFF1,HCT116,RPS4Y1,Colon adenocarcinoma,ENSG00000129824.16,344.7186,-11.8614,0.0,down,Colon adenocarcinoma,human,Gene
107471,DataSet_104,human,ENSG00000172493,AFF1,HCT116,RPS4Y1,Colon adenocarcinoma,ENSG00000129824.16,344.7186,-11.8614,0.0,down,Colon adenocarcinoma,human,Gene
107472,DataSet_104,human,ENSG00000172493,AFF1,HCT116,DDX3Y,Colon adenocarcinoma,ENSG00000067048.17,209.2086,-11.141,0.0,down,Colon adenocarcinoma,human,Gene
9472,DataSet_108,human,ENSG00000172493,AFF1,HCT116,DDX3Y,Colon adenocarcinoma,ENSG00000067048.17,209.2086,-11.141,0.0,down,Colon adenocarcinoma,human,Gene
9473,DataSet_108,human,ENSG00000172493,AFF1,HCT116,TXLNGY,Colon adenocarcinoma,ENSG00000131002.13,75.9134,-9.6789,0.0,down,Colon adenocarcinoma,human,Gene
107473,DataSet_104,human,ENSG00000172493,AFF1,HCT116,TXLNGY,Colon adenocarcinoma,ENSG00000131002.13,75.9134,-9.6789,0.0,down,Colon adenocarcinoma,human,Gene
107474,DataSet_104,human,ENSG00000172493,AFF1,HCT116,USP9Y,Colon adenocarcinoma,ENSG00000114374.13,61.1976,-9.3674,0.0,down,Colon adenocarcinoma,human,Gene
9474,DataSet_108,human,ENSG00000172493,AFF1,HCT116,USP9Y,Colon adenocarcinoma,ENSG00000114374.13,61.1976,-9.3674,0.0,down,Colon adenocarcinoma,human,Gene
9475,DataSet_108,human,ENSG00000172493,AFF1,HCT116,PBX1,Colon adenocarcinoma,ENSG00000185630.19,253.289,-8.3861,0.0,down,Colon adenocarcinoma,human,Gene
107475,DataSet_104,human,ENSG00000172493,AFF1,HCT116,PBX1,Colon adenocarcinoma,ENSG00000185630.19,253.289,-8.3861,0.0,down,Colon adenocarcinoma,human,Gene
107476,DataSet_104,human,ENSG00000172493,AFF1,HCT116,ENSG00000283782,Colon adenocarcinoma,ENSG00000283782.2,29.4047,-8.3087,0.0,down,Colon adenocarcinoma,human,Gene
9476,DataSet_108,human,ENSG00000172493,AFF1,HCT116,ENSG00000283782,Colon adenocarcinoma,ENSG00000283782.2,29.4047,-8.3087,0.0,down,Colon adenocarcinoma,human,Gene
9477,DataSet_108,human,ENSG00000172493,AFF1,HCT116,ENSG00000235070,Colon adenocarcinoma,ENSG00000235070.3,29.298,-8.3051,0.0,down,Colon adenocarcinoma,human,Gene
107477,DataSet_104,human,ENSG00000172493,AFF1,HCT116,ENSG00000235070,Colon adenocarcinoma,ENSG00000235070.3,29.298,-8.3051,0.0,down,Colon adenocarcinoma,human,Gene
107478,DataSet_104,human,ENSG00000172493,AFF1,HCT116,TTC22,Colon adenocarcinoma,ENSG00000006555.11,27.8705,-8.2327,0.0,down,Colon adenocarcinoma,human,Gene
9478,DataSet_108,human,ENSG00000172493,AFF1,HCT116,TTC22,Colon adenocarcinoma,ENSG00000006555.11,27.8705,-8.2327,0.0,down,Colon adenocarcinoma,human,Gene
9479,DataSet_108,human,ENSG00000172493,AFF1,HCT116,KDM5D,Colon adenocarcinoma,ENSG00000012817.16,69.9437,-8.1115,0.0,down,Colon adenocarcinoma,human,Gene
107479,DataSet_104,human,ENSG00000172493,AFF1,HCT116,KDM5D,Colon adenocarcinoma,ENSG00000012817.16,69.9437,-8.1115,0.0,down,Colon adenocarcinoma,human,Gene
107480,DataSet_104,human,ENSG00000172493,AFF1,HCT116,EIF1AY,Colon adenocarcinoma,ENSG00000198692.10,24.9353,-8.0721,0.0,down,Colon adenocarcinoma,human,Gene
9480,DataSet_108,human,ENSG00000172493,AFF1,HCT116,EIF1AY,Colon adenocarcinoma,ENSG00000198692.10,24.9353,-8.0721,0.0,down,Colon adenocarcinoma,human,Gene
9481,DataSet_108,human,ENSG00000172493,AFF1,HCT116,PRKY,Colon adenocarcinoma,ENSG00000099725.14,24.5218,-8.0489,0.0,down,Colon adenocarcinoma,human,Gene
107481,DataSet_104,human,ENSG00000172493,AFF1,HCT116,PRKY,Colon adenocarcinoma,ENSG00000099725.14,24.5218,-8.0489,0.0,down,Colon adenocarcinoma,human,Gene
107482,DataSet_104,human,ENSG00000172493,AFF1,HCT116,GNG2,Colon adenocarcinoma,ENSG00000186469.9,17.9044,-7.5951,0.0,down,Colon adenocarcinoma,human,Gene
9482,DataSet_108,human,ENSG00000172493,AFF1,HCT116,GNG2,Colon adenocarcinoma,ENSG00000186469.9,17.9044,-7.5951,0.0,down,Colon adenocarcinoma,human,Gene
9483,DataSet_108,human,ENSG00000172493,AFF1,HCT116,UTY,Colon adenocarcinoma,ENSG00000183878.16,17.2773,-7.5428,0.0,down,Colon adenocarcinoma,human,Gene
107483,DataSet_104,human,ENSG00000172493,AFF1,HCT116,UTY,Colon adenocarcinoma,ENSG00000183878.16,17.2773,-7.5428,0.0,down,Colon adenocarcinoma,human,Gene
107484,DataSet_104,human,ENSG00000172493,AFF1,HCT116,EVA1A,Colon adenocarcinoma,ENSG00000115363.14,16.6636,-7.4895,0.0,down,Colon adenocarcinoma,human,Gene
9484,DataSet_108,human,ENSG00000172493,AFF1,HCT116,EVA1A,Colon adenocarcinoma,ENSG00000115363.14,16.6636,-7.4895,0.0,down,Colon adenocarcinoma,human,Gene
9485,DataSet_108,human,ENSG00000172493,AFF1,HCT116,GABRG2,Colon adenocarcinoma,ENSG00000113327.17,42.6202,-7.3934,0.0,down,Colon adenocarcinoma,human,Gene
107485,DataSet_104,human,ENSG00000172493,AFF1,HCT116,GABRG2,Colon adenocarcinoma,ENSG00000113327.17,42.6202,-7.3934,0.0,down,Colon adenocarcinoma,human,Gene
