Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
1223,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,RGPD6,Embryonal carcinoma,ENSG00000183054.12,266.6819,2.857,0.0369,up,Embryonal carcinoma,human,Gene
95460,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,RGPD6,Embryonal carcinoma,ENSG00000183054.12,266.6819,2.857,0.0369,up,Embryonal carcinoma,human,Gene
95461,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,LINC00659,Embryonal carcinoma,ENSG00000228705.3,21.3144,-2.6933,0.0,down,Embryonal carcinoma,human,Gene
1224,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,LINC00659,Embryonal carcinoma,ENSG00000228705.3,21.3144,-2.6933,0.0,down,Embryonal carcinoma,human,Gene
1225,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,PRSS35,Embryonal carcinoma,ENSG00000146250.7,27.0976,2.6867,0.0,up,Embryonal carcinoma,human,Gene
95462,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,PRSS35,Embryonal carcinoma,ENSG00000146250.7,27.0976,2.6867,0.0,up,Embryonal carcinoma,human,Gene
95463,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,CTRB2,Embryonal carcinoma,ENSG00000168928.13,12.6774,-2.6375,0.002,down,Embryonal carcinoma,human,Gene
1226,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,CTRB2,Embryonal carcinoma,ENSG00000168928.13,12.6774,-2.6375,0.002,down,Embryonal carcinoma,human,Gene
1227,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,SCUBE1,Embryonal carcinoma,ENSG00000159307.20,307.3697,2.6279,0.0,up,Embryonal carcinoma,human,Gene
95464,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,SCUBE1,Embryonal carcinoma,ENSG00000159307.20,307.3697,2.6279,0.0,up,Embryonal carcinoma,human,Gene
95465,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,CYP1A1,Embryonal carcinoma,ENSG00000140465.15,179.8435,2.485,0.0,up,Embryonal carcinoma,human,Gene
1228,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,CYP1A1,Embryonal carcinoma,ENSG00000140465.15,179.8435,2.485,0.0,up,Embryonal carcinoma,human,Gene
1229,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,SIGLEC16,Embryonal carcinoma,ENSG00000161643.13,12.614,2.3889,0.0029,up,Embryonal carcinoma,human,Gene
95466,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,SIGLEC16,Embryonal carcinoma,ENSG00000161643.13,12.614,2.3889,0.0029,up,Embryonal carcinoma,human,Gene
95467,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,FAM230C,Embryonal carcinoma,ENSG00000279516.2,44.038,-2.374,0.0,down,Embryonal carcinoma,human,Gene
1230,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,FAM230C,Embryonal carcinoma,ENSG00000279516.2,44.038,-2.374,0.0,down,Embryonal carcinoma,human,Gene
1231,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,CCM2L,Embryonal carcinoma,ENSG00000101331.17,51.7569,2.2855,0.0,up,Embryonal carcinoma,human,Gene
95468,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,CCM2L,Embryonal carcinoma,ENSG00000101331.17,51.7569,2.2855,0.0,up,Embryonal carcinoma,human,Gene
95469,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,KCNK3,Embryonal carcinoma,ENSG00000171303.8,33.6965,2.2725,0.0,up,Embryonal carcinoma,human,Gene
1232,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,KCNK3,Embryonal carcinoma,ENSG00000171303.8,33.6965,2.2725,0.0,up,Embryonal carcinoma,human,Gene
1233,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,IAPP,Embryonal carcinoma,ENSG00000121351.8,23.6483,-2.2632,0.0001,down,Embryonal carcinoma,human,Gene
95470,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,IAPP,Embryonal carcinoma,ENSG00000121351.8,23.6483,-2.2632,0.0001,down,Embryonal carcinoma,human,Gene
95471,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,CHST1,Embryonal carcinoma,ENSG00000175264.8,12.3781,2.1427,0.0083,up,Embryonal carcinoma,human,Gene
1234,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,CHST1,Embryonal carcinoma,ENSG00000175264.8,12.3781,2.1427,0.0083,up,Embryonal carcinoma,human,Gene
1235,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,GJD3,Embryonal carcinoma,ENSG00000183153.7,17.8586,2.1412,0.0006,up,Embryonal carcinoma,human,Gene
95472,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,GJD3,Embryonal carcinoma,ENSG00000183153.7,17.8586,2.1412,0.0006,up,Embryonal carcinoma,human,Gene
95473,DataSet_155,human,ENSG00000174953,DHX36,NTERA-2,DMBT1,Embryonal carcinoma,ENSG00000187908.20,21.4948,2.1187,0.0006,up,Embryonal carcinoma,human,Gene
1236,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,DMBT1,Embryonal carcinoma,ENSG00000187908.20,21.4948,2.1187,0.0006,up,Embryonal carcinoma,human,Gene
1237,DataSet_169,human,ENSG00000174953,DHX36,NTERA-2,RAB40B,Embryonal carcinoma,ENSG00000141542.11,20.2441,2.0485,0.0007,up,Embryonal carcinoma,human,Gene
