Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
22527,DataSet_370,human,ENSG00000168883,USP39,A2780,DLX5,Endometrioid carcinoma of ovary,ENSG00000105880.7,47.8651,9.047,0.0,up,Endometrioid carcinoma of ovary,human,Gene
61328,DataSet_336,human,ENSG00000168883,USP39,A2780,DLX5,Endometrioid carcinoma of ovary,ENSG00000105880.7,47.8651,9.047,0.0,up,Endometrioid carcinoma of ovary,human,Gene
61330,DataSet_336,human,ENSG00000168883,USP39,A2780,RSAD2,Endometrioid carcinoma of ovary,ENSG00000134321.13,114.4257,8.4466,0.0,up,Endometrioid carcinoma of ovary,human,Gene
22529,DataSet_370,human,ENSG00000168883,USP39,A2780,RSAD2,Endometrioid carcinoma of ovary,ENSG00000134321.13,114.4257,8.4466,0.0,up,Endometrioid carcinoma of ovary,human,Gene
22530,DataSet_370,human,ENSG00000168883,USP39,A2780,CCL5,Endometrioid carcinoma of ovary,ENSG00000271503.6,477.5301,8.3369,0.0,up,Endometrioid carcinoma of ovary,human,Gene
61331,DataSet_336,human,ENSG00000168883,USP39,A2780,CCL5,Endometrioid carcinoma of ovary,ENSG00000271503.6,477.5301,8.3369,0.0,up,Endometrioid carcinoma of ovary,human,Gene
61332,DataSet_336,human,ENSG00000168883,USP39,A2780,GNG11,Endometrioid carcinoma of ovary,ENSG00000127920.6,90.866,-8.0707,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22531,DataSet_370,human,ENSG00000168883,USP39,A2780,GNG11,Endometrioid carcinoma of ovary,ENSG00000127920.6,90.866,-8.0707,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22532,DataSet_370,human,ENSG00000168883,USP39,A2780,IFNL1,Endometrioid carcinoma of ovary,ENSG00000182393.3,22.5482,7.9627,0.0,up,Endometrioid carcinoma of ovary,human,Gene
61333,DataSet_336,human,ENSG00000168883,USP39,A2780,IFNL1,Endometrioid carcinoma of ovary,ENSG00000182393.3,22.5482,7.9627,0.0,up,Endometrioid carcinoma of ovary,human,Gene
61334,DataSet_336,human,ENSG00000168883,USP39,A2780,CORO7-PAM16,Endometrioid carcinoma of ovary,ENSG00000103426.12,18.6574,-7.6491,0.0001,down,Endometrioid carcinoma of ovary,human,Gene
22533,DataSet_370,human,ENSG00000168883,USP39,A2780,CORO7-PAM16,Endometrioid carcinoma of ovary,ENSG00000103426.12,18.6574,-7.6491,0.0001,down,Endometrioid carcinoma of ovary,human,Gene
22534,DataSet_370,human,ENSG00000168883,USP39,A2780,ADGRL2,Endometrioid carcinoma of ovary,ENSG00000117114.21,297.3961,-7.4582,0.0,down,Endometrioid carcinoma of ovary,human,Gene
61335,DataSet_336,human,ENSG00000168883,USP39,A2780,ADGRL2,Endometrioid carcinoma of ovary,ENSG00000117114.21,297.3961,-7.4582,0.0,down,Endometrioid carcinoma of ovary,human,Gene
61336,DataSet_336,human,ENSG00000168883,USP39,A2780,SOHLH2,Endometrioid carcinoma of ovary,ENSG00000120669.16,152.4612,-7.2317,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22535,DataSet_370,human,ENSG00000168883,USP39,A2780,SOHLH2,Endometrioid carcinoma of ovary,ENSG00000120669.16,152.4612,-7.2317,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22536,DataSet_370,human,ENSG00000168883,USP39,A2780,MUC19,Endometrioid carcinoma of ovary,ENSG00000205592.16,24.4115,7.1034,0.0397,up,Endometrioid carcinoma of ovary,human,Gene
61337,DataSet_336,human,ENSG00000168883,USP39,A2780,MUC19,Endometrioid carcinoma of ovary,ENSG00000205592.16,24.4115,7.1034,0.0397,up,Endometrioid carcinoma of ovary,human,Gene
61338,DataSet_336,human,ENSG00000168883,USP39,A2780,SLC30A8,Endometrioid carcinoma of ovary,ENSG00000164756.13,114.0795,-7.0767,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22537,DataSet_370,human,ENSG00000168883,USP39,A2780,SLC30A8,Endometrioid carcinoma of ovary,ENSG00000164756.13,114.0795,-7.0767,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22538,DataSet_370,human,ENSG00000168883,USP39,A2780,CXCL10,Endometrioid carcinoma of ovary,ENSG00000169245.6,22.7107,6.9986,0.0,up,Endometrioid carcinoma of ovary,human,Gene
61339,DataSet_336,human,ENSG00000168883,USP39,A2780,CXCL10,Endometrioid carcinoma of ovary,ENSG00000169245.6,22.7107,6.9986,0.0,up,Endometrioid carcinoma of ovary,human,Gene
61340,DataSet_336,human,ENSG00000168883,USP39,A2780,OAS2,Endometrioid carcinoma of ovary,ENSG00000111335.14,146.9393,6.9929,0.0,up,Endometrioid carcinoma of ovary,human,Gene
22539,DataSet_370,human,ENSG00000168883,USP39,A2780,OAS2,Endometrioid carcinoma of ovary,ENSG00000111335.14,146.9393,6.9929,0.0,up,Endometrioid carcinoma of ovary,human,Gene
22540,DataSet_370,human,ENSG00000168883,USP39,A2780,MUC17,Endometrioid carcinoma of ovary,ENSG00000169876.14,22.3549,6.9755,0.0424,up,Endometrioid carcinoma of ovary,human,Gene
61341,DataSet_336,human,ENSG00000168883,USP39,A2780,MUC17,Endometrioid carcinoma of ovary,ENSG00000169876.14,22.3549,6.9755,0.0424,up,Endometrioid carcinoma of ovary,human,Gene
61342,DataSet_336,human,ENSG00000168883,USP39,A2780,AARD,Endometrioid carcinoma of ovary,ENSG00000205002.4,120.5099,-6.8871,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22541,DataSet_370,human,ENSG00000168883,USP39,A2780,AARD,Endometrioid carcinoma of ovary,ENSG00000205002.4,120.5099,-6.8871,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22542,DataSet_370,human,ENSG00000168883,USP39,A2780,WNT5A,Endometrioid carcinoma of ovary,ENSG00000114251.15,339.561,-6.8812,0.0,down,Endometrioid carcinoma of ovary,human,Gene
61343,DataSet_336,human,ENSG00000168883,USP39,A2780,WNT5A,Endometrioid carcinoma of ovary,ENSG00000114251.15,339.561,-6.8812,0.0,down,Endometrioid carcinoma of ovary,human,Gene
61344,DataSet_336,human,ENSG00000168883,USP39,A2780,KCNQ5-DT,Endometrioid carcinoma of ovary,ENSG00000285844.2,10.5492,-6.8298,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22543,DataSet_370,human,ENSG00000168883,USP39,A2780,KCNQ5-DT,Endometrioid carcinoma of ovary,ENSG00000285844.2,10.5492,-6.8298,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22544,DataSet_370,human,ENSG00000168883,USP39,A2780,PDE4B,Endometrioid carcinoma of ovary,ENSG00000184588.18,132.0581,-6.6034,0.0,down,Endometrioid carcinoma of ovary,human,Gene
61345,DataSet_336,human,ENSG00000168883,USP39,A2780,PDE4B,Endometrioid carcinoma of ovary,ENSG00000184588.18,132.0581,-6.6034,0.0,down,Endometrioid carcinoma of ovary,human,Gene
61346,DataSet_336,human,ENSG00000168883,USP39,A2780,CCL3,Endometrioid carcinoma of ovary,ENSG00000277632.2,8.6897,6.587,0.0,up,Endometrioid carcinoma of ovary,human,Gene
22545,DataSet_370,human,ENSG00000168883,USP39,A2780,CCL3,Endometrioid carcinoma of ovary,ENSG00000277632.2,8.6897,6.587,0.0,up,Endometrioid carcinoma of ovary,human,Gene
22546,DataSet_370,human,ENSG00000168883,USP39,A2780,TFPI2,Endometrioid carcinoma of ovary,ENSG00000105825.14,1288.8961,-6.5838,0.0,down,Endometrioid carcinoma of ovary,human,Gene
61347,DataSet_336,human,ENSG00000168883,USP39,A2780,TFPI2,Endometrioid carcinoma of ovary,ENSG00000105825.14,1288.8961,-6.5838,0.0,down,Endometrioid carcinoma of ovary,human,Gene
61348,DataSet_336,human,ENSG00000168883,USP39,A2780,POSTN,Endometrioid carcinoma of ovary,ENSG00000133110.15,363.6653,-6.5404,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22547,DataSet_370,human,ENSG00000168883,USP39,A2780,POSTN,Endometrioid carcinoma of ovary,ENSG00000133110.15,363.6653,-6.5404,0.0,down,Endometrioid carcinoma of ovary,human,Gene
22548,DataSet_370,human,ENSG00000168883,USP39,A2780,HOXA1,Endometrioid carcinoma of ovary,ENSG00000105991.10,31.6125,-6.5361,0.0,down,Endometrioid carcinoma of ovary,human,Gene
61349,DataSet_336,human,ENSG00000168883,USP39,A2780,HOXA1,Endometrioid carcinoma of ovary,ENSG00000105991.10,31.6125,-6.5361,0.0,down,Endometrioid carcinoma of ovary,human,Gene
61350,DataSet_336,human,ENSG00000168883,USP39,A2780,BARX2,Endometrioid carcinoma of ovary,ENSG00000043039.7,16.8031,-6.5248,0.0,down,Endometrioid carcinoma of ovary,human,Gene
