Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
37698,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,H2AC19,Erythroleukemia,ENSG00000288859.1,122.6667,21.5977,0.0135,up,Erythroleukemia,human,Gene
37798,DataSet_545,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000254732,Erythroleukemia,ENSG00000254732.2,105.0241,9.8679,0.002,up,Erythroleukemia,human,Gene
65203,DataSet_485,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000254732,Erythroleukemia,ENSG00000254732.2,105.0241,9.8679,0.002,up,Erythroleukemia,human,Gene
37699,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,LIMS3,Erythroleukemia,ENSG00000256977.13,90.3787,9.3883,0.0017,up,Erythroleukemia,human,Gene
37700,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,PVRIG2P,Erythroleukemia,ENSG00000235333.3,77.2036,9.1607,0.0033,up,Erythroleukemia,human,Gene
37701,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000261093,Erythroleukemia,ENSG00000261093.1,70.7367,9.0361,0.0028,up,Erythroleukemia,human,Gene
37799,DataSet_545,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000259753,Erythroleukemia,ENSG00000259753.1,52.6048,8.8699,0.0236,up,Erythroleukemia,human,Gene
65204,DataSet_485,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000259753,Erythroleukemia,ENSG00000259753.1,52.6048,8.8699,0.0236,up,Erythroleukemia,human,Gene
65206,DataSet_485,human,ENSG00000169249,ZRSR2,TF-1,EEF1E1-BLOC1S5,Erythroleukemia,ENSG00000265818.1,18.9416,-8.2149,0.0156,down,Erythroleukemia,human,Gene
37801,DataSet_545,human,ENSG00000169249,ZRSR2,TF-1,EEF1E1-BLOC1S5,Erythroleukemia,ENSG00000265818.1,18.9416,-8.2149,0.0156,down,Erythroleukemia,human,Gene
37702,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ZACN,Erythroleukemia,ENSG00000186919.13,147.3642,6.6444,0.0,up,Erythroleukemia,human,Gene
65207,DataSet_485,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000275496,Erythroleukemia,ENSG00000275496.4,111.3348,6.5025,0.0002,up,Erythroleukemia,human,Gene
37802,DataSet_545,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000275496,Erythroleukemia,ENSG00000275496.4,111.3348,6.5025,0.0002,up,Erythroleukemia,human,Gene
37703,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000277067,Erythroleukemia,ENSG00000277067.4,100.9397,-5.7991,0.0,down,Erythroleukemia,human,Gene
65208,DataSet_485,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000258017,Erythroleukemia,ENSG00000258017.3,120.7154,-5.2905,0.0,down,Erythroleukemia,human,Gene
37803,DataSet_545,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000258017,Erythroleukemia,ENSG00000258017.3,120.7154,-5.2905,0.0,down,Erythroleukemia,human,Gene
37704,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,RPL23AP47,Erythroleukemia,ENSG00000219814.2,84.4553,4.8223,0.0009,up,Erythroleukemia,human,Gene
37705,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000226380,Erythroleukemia,ENSG00000226380.9,418.8697,4.6718,0.0021,up,Erythroleukemia,human,Gene
37706,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,OAS2,Erythroleukemia,ENSG00000111335.14,86.0723,4.024,0.0058,up,Erythroleukemia,human,Gene
37707,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000275496,Erythroleukemia,ENSG00000275496.4,401.4098,3.8797,0.0,up,Erythroleukemia,human,Gene
37804,DataSet_545,human,ENSG00000169249,ZRSR2,TF-1,PHEX,Erythroleukemia,ENSG00000102174.10,55.9141,3.6515,0.0355,up,Erythroleukemia,human,Gene
65209,DataSet_485,human,ENSG00000169249,ZRSR2,TF-1,PHEX,Erythroleukemia,ENSG00000102174.10,55.9141,3.6515,0.0355,up,Erythroleukemia,human,Gene
37708,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000288550,Erythroleukemia,ENSG00000288550.2,112.602,-3.6503,0.0,down,Erythroleukemia,human,Gene
37709,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,H2AC14,Erythroleukemia,ENSG00000276368.2,73.7017,3.4164,0.0026,up,Erythroleukemia,human,Gene
37710,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000288534,Erythroleukemia,ENSG00000288534.1,803.2499,3.1366,0.0,up,Erythroleukemia,human,Gene
37712,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000255521,Erythroleukemia,ENSG00000255521.3,110.1936,2.8103,0.023,up,Erythroleukemia,human,Gene
37713,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,RPL21P119,Erythroleukemia,ENSG00000220793.5,128.1285,-2.7632,0.0015,down,Erythroleukemia,human,Gene
37805,DataSet_545,human,ENSG00000169249,ZRSR2,TF-1,LIMS4,Erythroleukemia,ENSG00000256671.7,247.5775,2.644,0.0,up,Erythroleukemia,human,Gene
65210,DataSet_485,human,ENSG00000169249,ZRSR2,TF-1,LIMS4,Erythroleukemia,ENSG00000256671.7,247.5775,2.644,0.0,up,Erythroleukemia,human,Gene
37714,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000282907,Erythroleukemia,ENSG00000282907.1,70.6593,2.5676,0.0262,up,Erythroleukemia,human,Gene
37715,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000278996,Erythroleukemia,ENSG00000278996.1,1996.3102,2.4569,0.0,up,Erythroleukemia,human,Gene
37716,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,SULT1A4,Erythroleukemia,ENSG00000213648.11,344.749,-2.3639,0.0,down,Erythroleukemia,human,Gene
37717,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000259661,Erythroleukemia,ENSG00000259661.1,168.2901,-2.231,0.0028,down,Erythroleukemia,human,Gene
37718,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,ENSG00000187951,Erythroleukemia,ENSG00000187951.11,316.8925,-2.2239,0.0,down,Erythroleukemia,human,Gene
37806,DataSet_545,human,ENSG00000169249,ZRSR2,TF-1,WNT9B,Erythroleukemia,ENSG00000158955.11,169.1218,-2.1784,0.0012,down,Erythroleukemia,human,Gene
65211,DataSet_485,human,ENSG00000169249,ZRSR2,TF-1,WNT9B,Erythroleukemia,ENSG00000158955.11,169.1218,-2.1784,0.0012,down,Erythroleukemia,human,Gene
37719,DataSet_544,human,ENSG00000169249,ZRSR2,TF-1,EGR1,Erythroleukemia,ENSG00000120738.8,285.6929,2.1692,0.0001,up,Erythroleukemia,human,Gene
