Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
16769,DataSet_250,human,ENSG00000145388,METTL14,EC109,H2AC19,Esophageal squamous cell carcinoma,ENSG00000288859.1,172.5618,-24.2756,0.0,down,Esophageal squamous cell carcinoma,human,Gene
86995,DataSet_232,human,ENSG00000145388,METTL14,EC109,H2AC19,Esophageal squamous cell carcinoma,ENSG00000288859.1,172.5618,-24.2756,0.0,down,Esophageal squamous cell carcinoma,human,Gene
86996,DataSet_232,human,ENSG00000145388,METTL14,EC109,F8A2,Esophageal squamous cell carcinoma,ENSG00000288709.1,203.7098,-11.1598,0.0,down,Esophageal squamous cell carcinoma,human,Gene
16770,DataSet_250,human,ENSG00000145388,METTL14,EC109,F8A2,Esophageal squamous cell carcinoma,ENSG00000288709.1,203.7098,-11.1598,0.0,down,Esophageal squamous cell carcinoma,human,Gene
16771,DataSet_250,human,ENSG00000145388,METTL14,EC109,ENSG00000267257,Esophageal squamous cell carcinoma,ENSG00000267257.1,25.692,-8.173,0.0,down,Esophageal squamous cell carcinoma,human,Gene
86997,DataSet_232,human,ENSG00000145388,METTL14,EC109,ENSG00000267257,Esophageal squamous cell carcinoma,ENSG00000267257.1,25.692,-8.173,0.0,down,Esophageal squamous cell carcinoma,human,Gene
86998,DataSet_232,human,ENSG00000145388,METTL14,EC109,ENSG00000283149,Esophageal squamous cell carcinoma,ENSG00000283149.1,21.4719,-7.9135,0.0,down,Esophageal squamous cell carcinoma,human,Gene
16772,DataSet_250,human,ENSG00000145388,METTL14,EC109,ENSG00000283149,Esophageal squamous cell carcinoma,ENSG00000283149.1,21.4719,-7.9135,0.0,down,Esophageal squamous cell carcinoma,human,Gene
16773,DataSet_250,human,ENSG00000145388,METTL14,EC109,ZBTB45P1,Esophageal squamous cell carcinoma,ENSG00000225108.1,64.8977,-7.0153,0.0003,down,Esophageal squamous cell carcinoma,human,Gene
86999,DataSet_232,human,ENSG00000145388,METTL14,EC109,ZBTB45P1,Esophageal squamous cell carcinoma,ENSG00000225108.1,64.8977,-7.0153,0.0003,down,Esophageal squamous cell carcinoma,human,Gene
87001,DataSet_232,human,ENSG00000145388,METTL14,EC109,OASL,Esophageal squamous cell carcinoma,ENSG00000135114.13,161.5269,3.7793,0.0,up,Esophageal squamous cell carcinoma,human,Gene
