Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
14557,DataSet_205,human,ENSG00000165119,HNRNPK,A673,PEDS1-UBE2V1,Ewing sarcoma,ENSG00000124208.16,53.6559,-9.1383,0.0008,down,Ewing sarcoma,human,Gene
92347,DataSet_190,human,ENSG00000165119,HNRNPK,A673,PEDS1-UBE2V1,Ewing sarcoma,ENSG00000124208.16,53.6559,-9.1383,0.0008,down,Ewing sarcoma,human,Gene
92348,DataSet_190,human,ENSG00000165119,HNRNPK,A673,ENSG00000261054,Ewing sarcoma,ENSG00000261054.1,39.5778,8.854,0.0033,up,Ewing sarcoma,human,Gene
14558,DataSet_205,human,ENSG00000165119,HNRNPK,A673,ENSG00000261054,Ewing sarcoma,ENSG00000261054.1,39.5778,8.854,0.0033,up,Ewing sarcoma,human,Gene
14559,DataSet_205,human,ENSG00000165119,HNRNPK,A673,ENSG00000262633,Ewing sarcoma,ENSG00000262633.2,37.1383,-8.6091,0.0054,down,Ewing sarcoma,human,Gene
92349,DataSet_190,human,ENSG00000165119,HNRNPK,A673,ENSG00000262633,Ewing sarcoma,ENSG00000262633.2,37.1383,-8.6091,0.0054,down,Ewing sarcoma,human,Gene
92350,DataSet_190,human,ENSG00000165119,HNRNPK,A673,ENSG00000288637,Ewing sarcoma,ENSG00000288637.1,31.448,8.5204,0.0103,up,Ewing sarcoma,human,Gene
14560,DataSet_205,human,ENSG00000165119,HNRNPK,A673,ENSG00000288637,Ewing sarcoma,ENSG00000288637.1,31.448,8.5204,0.0103,up,Ewing sarcoma,human,Gene
14561,DataSet_205,human,ENSG00000165119,HNRNPK,A673,SMG1P2,Ewing sarcoma,ENSG00000205534.6,31.7963,-8.3798,0.0259,down,Ewing sarcoma,human,Gene
92351,DataSet_190,human,ENSG00000165119,HNRNPK,A673,SMG1P2,Ewing sarcoma,ENSG00000205534.6,31.7963,-8.3798,0.0259,down,Ewing sarcoma,human,Gene
14562,DataSet_205,human,ENSG00000165119,HNRNPK,A673,LINC00707,Ewing sarcoma,ENSG00000238266.2,24.3256,8.145,0.0317,up,Ewing sarcoma,human,Gene
92352,DataSet_190,human,ENSG00000165119,HNRNPK,A673,LINC00707,Ewing sarcoma,ENSG00000238266.2,24.3256,8.145,0.0317,up,Ewing sarcoma,human,Gene
92353,DataSet_190,human,ENSG00000165119,HNRNPK,A673,ENSG00000254673,Ewing sarcoma,ENSG00000254673.1,23.1333,8.0705,0.0496,up,Ewing sarcoma,human,Gene
14563,DataSet_205,human,ENSG00000165119,HNRNPK,A673,ENSG00000254673,Ewing sarcoma,ENSG00000254673.1,23.1333,8.0705,0.0496,up,Ewing sarcoma,human,Gene
14565,DataSet_205,human,ENSG00000165119,HNRNPK,A673,ENSG00000250132,Ewing sarcoma,ENSG00000250132.6,23.1379,-7.9252,0.0437,down,Ewing sarcoma,human,Gene
92355,DataSet_190,human,ENSG00000165119,HNRNPK,A673,ENSG00000250132,Ewing sarcoma,ENSG00000250132.6,23.1379,-7.9252,0.0437,down,Ewing sarcoma,human,Gene
92356,DataSet_190,human,ENSG00000165119,HNRNPK,A673,ENSG00000258653,Ewing sarcoma,ENSG00000258653.3,22.6301,-7.8918,0.0496,down,Ewing sarcoma,human,Gene
14566,DataSet_205,human,ENSG00000165119,HNRNPK,A673,ENSG00000258653,Ewing sarcoma,ENSG00000258653.3,22.6301,-7.8918,0.0496,down,Ewing sarcoma,human,Gene
14567,DataSet_205,human,ENSG00000165119,HNRNPK,A673,IGF2,Ewing sarcoma,ENSG00000167244.21,70.9195,5.8117,0.0018,up,Ewing sarcoma,human,Gene
92357,DataSet_190,human,ENSG00000165119,HNRNPK,A673,IGF2,Ewing sarcoma,ENSG00000167244.21,70.9195,5.8117,0.0018,up,Ewing sarcoma,human,Gene
92358,DataSet_190,human,ENSG00000165119,HNRNPK,A673,MCOLN3,Ewing sarcoma,ENSG00000055732.13,71.3171,4.3539,0.0136,up,Ewing sarcoma,human,Gene
14568,DataSet_205,human,ENSG00000165119,HNRNPK,A673,MCOLN3,Ewing sarcoma,ENSG00000055732.13,71.3171,4.3539,0.0136,up,Ewing sarcoma,human,Gene
14569,DataSet_205,human,ENSG00000165119,HNRNPK,A673,A2M,Ewing sarcoma,ENSG00000175899.15,231.7173,4.2383,0.0,up,Ewing sarcoma,human,Gene
92359,DataSet_190,human,ENSG00000165119,HNRNPK,A673,A2M,Ewing sarcoma,ENSG00000175899.15,231.7173,4.2383,0.0,up,Ewing sarcoma,human,Gene
92360,DataSet_190,human,ENSG00000165119,HNRNPK,A673,ENSG00000287245,Ewing sarcoma,ENSG00000287245.1,63.7387,3.8648,0.0136,up,Ewing sarcoma,human,Gene
14570,DataSet_205,human,ENSG00000165119,HNRNPK,A673,ENSG00000287245,Ewing sarcoma,ENSG00000287245.1,63.7387,3.8648,0.0136,up,Ewing sarcoma,human,Gene
92361,DataSet_190,human,ENSG00000165119,HNRNPK,A673,LINC00659,Ewing sarcoma,ENSG00000228705.3,61.5478,3.7277,0.0317,up,Ewing sarcoma,human,Gene
14571,DataSet_205,human,ENSG00000165119,HNRNPK,A673,LINC00659,Ewing sarcoma,ENSG00000228705.3,61.5478,3.7277,0.0317,up,Ewing sarcoma,human,Gene
14572,DataSet_205,human,ENSG00000165119,HNRNPK,A673,CXCL8,Ewing sarcoma,ENSG00000169429.11,118.7941,3.6207,0.0116,up,Ewing sarcoma,human,Gene
92362,DataSet_190,human,ENSG00000165119,HNRNPK,A673,CXCL8,Ewing sarcoma,ENSG00000169429.11,118.7941,3.6207,0.0116,up,Ewing sarcoma,human,Gene
92363,DataSet_190,human,ENSG00000165119,HNRNPK,A673,ENSG00000285517,Ewing sarcoma,ENSG00000285517.1,131.4336,3.6201,0.0136,up,Ewing sarcoma,human,Gene
14573,DataSet_205,human,ENSG00000165119,HNRNPK,A673,ENSG00000285517,Ewing sarcoma,ENSG00000285517.1,131.4336,3.6201,0.0136,up,Ewing sarcoma,human,Gene
14574,DataSet_205,human,ENSG00000165119,HNRNPK,A673,BHLHE41,Ewing sarcoma,ENSG00000123095.6,121.2429,3.1178,0.0145,up,Ewing sarcoma,human,Gene
92364,DataSet_190,human,ENSG00000165119,HNRNPK,A673,BHLHE41,Ewing sarcoma,ENSG00000123095.6,121.2429,3.1178,0.0145,up,Ewing sarcoma,human,Gene
92365,DataSet_190,human,ENSG00000165119,HNRNPK,A673,PIPOX,Ewing sarcoma,ENSG00000179761.12,156.2524,2.8864,0.0103,up,Ewing sarcoma,human,Gene
14575,DataSet_205,human,ENSG00000165119,HNRNPK,A673,PIPOX,Ewing sarcoma,ENSG00000179761.12,156.2524,2.8864,0.0103,up,Ewing sarcoma,human,Gene
14579,DataSet_205,human,ENSG00000165119,HNRNPK,A673,GSTA4,Ewing sarcoma,ENSG00000170899.11,260.846,-2.2167,0.0401,down,Ewing sarcoma,human,Gene
