Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
14785,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ENSG00000176868,Gastric adenocarcinoma,ENSG00000176868.3,90.0038,23.5988,0.0,up,Gastric adenocarcinoma,human,Gene
14786,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,UGT1A10,Gastric adenocarcinoma,ENSG00000242515.6,41.4996,9.2266,0.0379,up,Gastric adenocarcinoma,human,Gene
14787,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ENSG00000289027,Gastric adenocarcinoma,ENSG00000289027.1,69.4641,-9.2043,0.0,down,Gastric adenocarcinoma,human,Gene
14788,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ENSG00000275740,Gastric adenocarcinoma,ENSG00000275740.1,45.9671,-8.6081,0.0,down,Gastric adenocarcinoma,human,Gene
14789,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ENSG00000288710,Gastric adenocarcinoma,ENSG00000288710.1,34.4075,-8.1931,0.0003,down,Gastric adenocarcinoma,human,Gene
14790,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ENSG00000285542,Gastric adenocarcinoma,ENSG00000285542.1,30.963,-8.0393,0.0005,down,Gastric adenocarcinoma,human,Gene
14791,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,CAPN6,Gastric adenocarcinoma,ENSG00000077274.9,28.4835,-7.9205,0.0001,down,Gastric adenocarcinoma,human,Gene
14792,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ADH1C,Gastric adenocarcinoma,ENSG00000248144.6,60.4286,-7.5626,0.0001,down,Gastric adenocarcinoma,human,Gene
14793,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ENSG00000282143,Gastric adenocarcinoma,ENSG00000282143.1,12.8968,7.5412,0.0001,up,Gastric adenocarcinoma,human,Gene
14794,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,LINC01806,Gastric adenocarcinoma,ENSG00000227403.3,20.6444,-7.4494,0.0004,down,Gastric adenocarcinoma,human,Gene
14795,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,SHISA2,Gastric adenocarcinoma,ENSG00000180730.5,52.4051,-7.3406,0.0002,down,Gastric adenocarcinoma,human,Gene
14796,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,H4C12,Gastric adenocarcinoma,ENSG00000273542.2,19.1318,-7.3366,0.0015,down,Gastric adenocarcinoma,human,Gene
14797,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ENSG00000282740,Gastric adenocarcinoma,ENSG00000282740.1,14.2543,-6.9241,0.0033,down,Gastric adenocarcinoma,human,Gene
14798,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ENSG00000176134,Gastric adenocarcinoma,ENSG00000176134.5,11.2214,-6.5732,0.0092,down,Gastric adenocarcinoma,human,Gene
14799,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ENSG00000289124,Gastric adenocarcinoma,ENSG00000289124.1,10.3358,-6.4565,0.007,down,Gastric adenocarcinoma,human,Gene
14800,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,ZFP30,Gastric adenocarcinoma,ENSG00000120784.17,9.7942,-6.3787,0.0088,down,Gastric adenocarcinoma,human,Gene
14801,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,CNTNAP3P2,Gastric adenocarcinoma,ENSG00000276386.1,9.7387,-6.3713,0.0089,down,Gastric adenocarcinoma,human,Gene
14802,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,MYO3A,Gastric adenocarcinoma,ENSG00000095777.17,9.6926,-6.3652,0.0092,down,Gastric adenocarcinoma,human,Gene
14803,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,CNTNAP2,Gastric adenocarcinoma,ENSG00000174469.23,96.3631,-5.6405,0.0,down,Gastric adenocarcinoma,human,Gene
14804,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,MAGEC1,Gastric adenocarcinoma,ENSG00000155495.9,17.7578,5.4653,0.0008,up,Gastric adenocarcinoma,human,Gene
14805,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,PRKD1,Gastric adenocarcinoma,ENSG00000184304.17,41.5161,-5.4421,0.0,down,Gastric adenocarcinoma,human,Gene
14806,DataSet_208,human,ENSG00000140575,IQGAP1,MKN45,PHGR1,Gastric adenocarcinoma,ENSG00000233041.8,212.0239,5.3507,0.0,up,Gastric adenocarcinoma,human,Gene
