Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
50746,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ALDH1A1,Glioblastoma,ENSG00000165092.13,174.9871,-24.3467,0.0001,down,Glioblastoma,human,Gene
50747,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000259976,Glioblastoma,ENSG00000259976.3,270.5368,24.1087,0.0001,up,Glioblastoma,human,Gene
50748,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000284554,Glioblastoma,ENSG00000284554.2,102.3108,22.7565,0.0003,up,Glioblastoma,human,Gene
50749,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,H2AC19,Glioblastoma,ENSG00000288859.1,231.2081,-11.4008,0.0,down,Glioblastoma,human,Gene
50750,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000254692,Glioblastoma,ENSG00000254692.1,149.1756,-10.7684,0.0,down,Glioblastoma,human,Gene
50751,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000280064,Glioblastoma,ENSG00000280064.1,52.5621,-9.2632,0.0,down,Glioblastoma,human,Gene
50752,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000260914,Glioblastoma,ENSG00000260914.3,630.7519,-8.8019,0.0,down,Glioblastoma,human,Gene
50753,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,HNRNPA1L2,Glioblastoma,ENSG00000139675.13,39.6415,8.6691,0.0001,up,Glioblastoma,human,Gene
50754,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,TEX44,Glioblastoma,ENSG00000177673.4,38.5688,8.6298,0.0002,up,Glioblastoma,human,Gene
50755,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000276690,Glioblastoma,ENSG00000276690.1,29.0512,-8.4076,0.0004,down,Glioblastoma,human,Gene
50756,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000258757,Glioblastoma,ENSG00000258757.1,24.5622,-8.1651,0.0057,down,Glioblastoma,human,Gene
50757,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,GSTM3P1,Glioblastoma,ENSG00000227693.1,26.705,8.0991,0.0005,up,Glioblastoma,human,Gene
50758,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,DYNC1I1,Glioblastoma,ENSG00000158560.14,204.7812,7.9704,0.0,up,Glioblastoma,human,Gene
50759,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000285982,Glioblastoma,ENSG00000285982.1,20.8651,-7.9319,0.0276,down,Glioblastoma,human,Gene
50760,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,CHMP1B-AS1,Glioblastoma,ENSG00000267165.1,19.7488,-7.8528,0.0051,down,Glioblastoma,human,Gene
50761,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000285920,Glioblastoma,ENSG00000285920.2,22.292,7.8391,0.0077,up,Glioblastoma,human,Gene
50762,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,GOLGA8T,Glioblastoma,ENSG00000261247.2,20.9121,7.7468,0.0031,up,Glioblastoma,human,Gene
50763,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000289282,Glioblastoma,ENSG00000289282.1,18.0133,-7.7195,0.0034,down,Glioblastoma,human,Gene
50764,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000288723,Glioblastoma,ENSG00000288723.1,19.897,7.6751,0.0059,up,Glioblastoma,human,Gene
50765,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SH3GL1P3,Glioblastoma,ENSG00000267352.1,19.5746,7.6508,0.0026,up,Glioblastoma,human,Gene
50766,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000262160,Glioblastoma,ENSG00000262160.1,15.9848,-7.5454,0.0087,down,Glioblastoma,human,Gene
50767,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000281039,Glioblastoma,ENSG00000281039.1,17.8691,7.5195,0.0039,up,Glioblastoma,human,Gene
50768,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ANKRD18DP,Glioblastoma,ENSG00000226435.11,17.3463,7.4772,0.0123,up,Glioblastoma,human,Gene
50769,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,CALR3,Glioblastoma,ENSG00000269058.6,16.2333,7.3815,0.0134,up,Glioblastoma,human,Gene
50770,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000250135,Glioblastoma,ENSG00000250135.1,16.1777,7.3762,0.0067,up,Glioblastoma,human,Gene
50771,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000283559,Glioblastoma,ENSG00000283559.2,16.0634,7.3663,0.0495,up,Glioblastoma,human,Gene
50772,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,LINC02053,Glioblastoma,ENSG00000241696.2,15.7268,7.3354,0.0075,up,Glioblastoma,human,Gene
50773,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,RLIMP2,Glioblastoma,ENSG00000237278.2,14.6987,7.2375,0.0099,up,Glioblastoma,human,Gene
50774,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,PDX1,Glioblastoma,ENSG00000139515.6,12.9496,7.0556,0.0499,up,Glioblastoma,human,Gene
50775,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,IGFL3,Glioblastoma,ENSG00000188624.3,33.5686,6.9642,0.0052,up,Glioblastoma,human,Gene
50776,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000287516,Glioblastoma,ENSG00000287516.1,49.7189,6.5853,0.0243,up,Glioblastoma,human,Gene
50777,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,LINC01185,Glioblastoma,ENSG00000228414.7,32.1797,5.9274,0.0015,up,Glioblastoma,human,Gene
50778,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,FAM71E2,Glioblastoma,ENSG00000180043.11,15.6809,5.8753,0.0375,up,Glioblastoma,human,Gene
50779,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,PLCL1,Glioblastoma,ENSG00000115896.16,274.5617,5.7995,0.0,up,Glioblastoma,human,Gene
50780,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,EXOC3L4,Glioblastoma,ENSG00000205436.8,60.0272,5.7991,0.0001,up,Glioblastoma,human,Gene
50781,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SLC35F3,Glioblastoma,ENSG00000183780.13,14.3437,5.7198,0.0487,up,Glioblastoma,human,Gene
50782,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,OTC,Glioblastoma,ENSG00000036473.8,66.9192,5.6403,0.0003,up,Glioblastoma,human,Gene
50783,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ATP8A2,Glioblastoma,ENSG00000132932.19,94.7783,5.6113,0.0001,up,Glioblastoma,human,Gene
50785,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SELL,Glioblastoma,ENSG00000188404.10,47.0219,5.496,0.0226,up,Glioblastoma,human,Gene
50786,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,GCGR,Glioblastoma,ENSG00000215644.10,58.2069,5.4842,0.0149,up,Glioblastoma,human,Gene
50787,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,KLKB1,Glioblastoma,ENSG00000164344.16,24.4605,5.4697,0.0071,up,Glioblastoma,human,Gene
50788,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,NOL4,Glioblastoma,ENSG00000101746.16,22.4975,5.4107,0.0197,up,Glioblastoma,human,Gene
50789,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,HBA1,Glioblastoma,ENSG00000206172.8,19.9994,-5.4104,0.0145,down,Glioblastoma,human,Gene
50790,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ASTN1,Glioblastoma,ENSG00000152092.16,32.5414,5.3367,0.0162,up,Glioblastoma,human,Gene
50791,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SMARCAL1-AS1,Glioblastoma,ENSG00000235042.1,21.3299,5.328,0.0148,up,Glioblastoma,human,Gene
50792,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000270171,Glioblastoma,ENSG00000270171.1,41.0633,5.2874,0.0058,up,Glioblastoma,human,Gene
50793,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,CHI3L1,Glioblastoma,ENSG00000133048.13,283.918,-5.2781,0.0,down,Glioblastoma,human,Gene
50794,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,PTPRB,Glioblastoma,ENSG00000127329.16,27.3905,-5.2665,0.0419,down,Glioblastoma,human,Gene
50795,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SLC46A3,Glioblastoma,ENSG00000139508.15,132.2749,5.2609,0.0007,up,Glioblastoma,human,Gene
50796,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ZNF286A-TBC1D26,Glioblastoma,ENSG00000255104.9,83.4066,5.2413,0.0,up,Glioblastoma,human,Gene
50797,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SCN1A,Glioblastoma,ENSG00000144285.23,149.0271,-5.1969,0.0,down,Glioblastoma,human,Gene
50798,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,VWF,Glioblastoma,ENSG00000110799.14,106.695,-5.1333,0.0182,down,Glioblastoma,human,Gene
50799,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,LINC02361,Glioblastoma,ENSG00000256576.3,54.5145,5.1133,0.0041,up,Glioblastoma,human,Gene
50800,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,BEX5,Glioblastoma,ENSG00000184515.11,18.3697,5.1079,0.0234,up,Glioblastoma,human,Gene
50801,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,RTL9,Glioblastoma,ENSG00000243978.8,65.7446,-5.1077,0.0,down,Glioblastoma,human,Gene
50802,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,CILP,Glioblastoma,ENSG00000138615.6,55.7095,5.1073,0.0026,up,Glioblastoma,human,Gene
50803,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SLC24A3,Glioblastoma,ENSG00000185052.13,28.0055,5.0825,0.0358,up,Glioblastoma,human,Gene
50804,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000248608,Glioblastoma,ENSG00000248608.2,46.7342,-5.0346,0.0185,down,Glioblastoma,human,Gene
50805,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000250615,Glioblastoma,ENSG00000250615.1,67.4461,-4.9991,0.0033,down,Glioblastoma,human,Gene
50806,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000256982,Glioblastoma,ENSG00000256982.3,54.1001,4.988,0.0117,up,Glioblastoma,human,Gene
50807,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,THBS1,Glioblastoma,ENSG00000137801.11,1361.8943,-4.9839,0.0075,down,Glioblastoma,human,Gene
50808,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,WDR87,Glioblastoma,ENSG00000171804.11,25.8785,4.9675,0.018,up,Glioblastoma,human,Gene
50809,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,IGHG4,Glioblastoma,ENSG00000211892.4,101.3563,4.9273,0.0014,up,Glioblastoma,human,Gene
50810,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,HAR1B,Glioblastoma,ENSG00000231133.8,48.8071,4.9139,0.0312,up,Glioblastoma,human,Gene
50811,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SGK3,Glioblastoma,ENSG00000104205.16,40.7708,4.891,0.0001,up,Glioblastoma,human,Gene
50812,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000231741,Glioblastoma,ENSG00000231741.2,15.5652,4.8642,0.047,up,Glioblastoma,human,Gene
50813,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000240801,Glioblastoma,ENSG00000240801.1,49.2273,4.8513,0.0058,up,Glioblastoma,human,Gene
50814,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ROPN1B,Glioblastoma,ENSG00000114547.10,94.9575,4.8409,0.0015,up,Glioblastoma,human,Gene
50815,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SLC22A31,Glioblastoma,ENSG00000259803.8,22.8613,4.812,0.0314,up,Glioblastoma,human,Gene
50816,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,TMEM31,Glioblastoma,ENSG00000179363.7,37.3266,4.7961,0.0077,up,Glioblastoma,human,Gene
50817,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,MAT1A,Glioblastoma,ENSG00000151224.13,39.3661,-4.7603,0.0002,down,Glioblastoma,human,Gene
50820,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SOX30,Glioblastoma,ENSG00000039600.11,20.7108,4.6022,0.0429,up,Glioblastoma,human,Gene
50822,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,KCNA6,Glioblastoma,ENSG00000151079.7,102.802,4.5747,0.0058,up,Glioblastoma,human,Gene
50824,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,GRK3,Glioblastoma,ENSG00000100077.16,488.3154,4.5366,0.0003,up,Glioblastoma,human,Gene
50825,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,ENSG00000279769,Glioblastoma,ENSG00000279769.1,38.3727,4.5199,0.0005,up,Glioblastoma,human,Gene
50826,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,CER1,Glioblastoma,ENSG00000147869.5,86.2687,-4.4878,0.0483,down,Glioblastoma,human,Gene
50828,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,SERPINA1,Glioblastoma,ENSG00000197249.14,102.1227,4.4472,0.0,up,Glioblastoma,human,Gene
50830,DataSet_813,human,ENSG00000160710,ADAR,Glioblastom Stem Cells,CCDC170,Glioblastoma,ENSG00000120262.10,46.1132,4.4009,0.0005,up,Glioblastoma,human,Gene
