Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
4645,DataSet_50,human,ENSG00000091542,ALKBH5,UM-SCC-1,SPECC1L-ADORA2A,Head and neck squamous cell carcinoma,ENSG00000258555.6,21.2891,7.7391,0.0,up,Head and neck squamous cell carcinoma,human,Gene
75675,DataSet_46,human,ENSG00000091542,ALKBH5,UM-SCC-1,SPECC1L-ADORA2A,Head and neck squamous cell carcinoma,ENSG00000258555.6,21.2891,7.7391,0.0,up,Head and neck squamous cell carcinoma,human,Gene
4746,DataSet_51,human,ENSG00000091542,ALKBH5,UM-SCC-1,ENSG00000288053,Head and neck squamous cell carcinoma,ENSG00000288053.1,9.4674,-6.7568,0.0,down,Head and neck squamous cell carcinoma,human,Gene
4646,DataSet_50,human,ENSG00000091542,ALKBH5,UM-SCC-1,ENSG00000254732,Head and neck squamous cell carcinoma,ENSG00000254732.2,13.6023,6.1093,0.0001,up,Head and neck squamous cell carcinoma,human,Gene
75676,DataSet_46,human,ENSG00000091542,ALKBH5,UM-SCC-1,ENSG00000254732,Head and neck squamous cell carcinoma,ENSG00000254732.2,13.6023,6.1093,0.0001,up,Head and neck squamous cell carcinoma,human,Gene
4747,DataSet_51,human,ENSG00000091542,ALKBH5,UM-SCC-1,RPS23P8,Head and neck squamous cell carcinoma,ENSG00000230629.2,92.2017,5.7916,0.0,up,Head and neck squamous cell carcinoma,human,Gene
4647,DataSet_50,human,ENSG00000091542,ALKBH5,UM-SCC-1,ANKRD1,Head and neck squamous cell carcinoma,ENSG00000148677.7,116.3935,5.745,0.0,up,Head and neck squamous cell carcinoma,human,Gene
75677,DataSet_46,human,ENSG00000091542,ALKBH5,UM-SCC-1,ANKRD1,Head and neck squamous cell carcinoma,ENSG00000148677.7,116.3935,5.745,0.0,up,Head and neck squamous cell carcinoma,human,Gene
4748,DataSet_51,human,ENSG00000091542,ALKBH5,UM-SCC-1,ANKRD1,Head and neck squamous cell carcinoma,ENSG00000148677.7,102.4112,5.6519,0.0,up,Head and neck squamous cell carcinoma,human,Gene
75678,DataSet_46,human,ENSG00000091542,ALKBH5,UM-SCC-1,RPS23P8,Head and neck squamous cell carcinoma,ENSG00000230629.2,74.7849,5.408,0.001,up,Head and neck squamous cell carcinoma,human,Gene
4648,DataSet_50,human,ENSG00000091542,ALKBH5,UM-SCC-1,RPS23P8,Head and neck squamous cell carcinoma,ENSG00000230629.2,74.7849,5.408,0.001,up,Head and neck squamous cell carcinoma,human,Gene
4749,DataSet_51,human,ENSG00000091542,ALKBH5,UM-SCC-1,ENSG00000272512,Head and neck squamous cell carcinoma,ENSG00000272512.1,48.002,5.314,0.0,up,Head and neck squamous cell carcinoma,human,Gene
4750,DataSet_51,human,ENSG00000091542,ALKBH5,UM-SCC-1,HSPA6,Head and neck squamous cell carcinoma,ENSG00000173110.8,45.3822,5.2469,0.0,up,Head and neck squamous cell carcinoma,human,Gene
4649,DataSet_50,human,ENSG00000091542,ALKBH5,UM-SCC-1,ENSG00000272512,Head and neck squamous cell carcinoma,ENSG00000272512.1,48.7409,5.246,0.0,up,Head and neck squamous cell carcinoma,human,Gene
