Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
65366,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,C1QTNF3-AMACR,Hepatocellular carcinoma,ENSG00000273294.1,32.8494,8.2691,0.0,up,Hepatocellular carcinoma,human,Gene
65367,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,ANGPT2,Hepatocellular carcinoma,ENSG00000091879.14,173.7561,7.2761,0.0,up,Hepatocellular carcinoma,human,Gene
65368,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,ZACN,Hepatocellular carcinoma,ENSG00000186919.13,28.167,7.084,0.0011,up,Hepatocellular carcinoma,human,Gene
65369,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,DUOXA2,Hepatocellular carcinoma,ENSG00000140274.14,24.4551,6.8831,0.0,up,Hepatocellular carcinoma,human,Gene
65370,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,ENSG00000259006,Hepatocellular carcinoma,ENSG00000259006.1,8.2461,-6.7094,0.0,down,Hepatocellular carcinoma,human,Gene
65371,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,KISS1,Hepatocellular carcinoma,ENSG00000170498.10,8.8312,6.3884,0.0,up,Hepatocellular carcinoma,human,Gene
65372,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,DUOX2,Hepatocellular carcinoma,ENSG00000140279.13,156.7691,6.1157,0.0,up,Hepatocellular carcinoma,human,Gene
65373,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,DNAH5,Hepatocellular carcinoma,ENSG00000039139.11,23.9159,5.9861,0.0,up,Hepatocellular carcinoma,human,Gene
65374,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,GOLGA8Q,Hepatocellular carcinoma,ENSG00000178115.12,6.5424,5.9451,0.0,up,Hepatocellular carcinoma,human,Gene
65375,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,MAL2-AS1,Hepatocellular carcinoma,ENSG00000253972.6,11.8423,5.8215,0.0,up,Hepatocellular carcinoma,human,Gene
65376,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,ENSG00000272884,Hepatocellular carcinoma,ENSG00000272884.1,5.4988,5.6871,0.049,up,Hepatocellular carcinoma,human,Gene
65377,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,LILRA2,Hepatocellular carcinoma,ENSG00000239998.7,5.449,5.6827,0.0001,up,Hepatocellular carcinoma,human,Gene
65378,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,CHRDL2,Hepatocellular carcinoma,ENSG00000054938.17,5.1522,5.6224,0.0002,up,Hepatocellular carcinoma,human,Gene
65379,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,ENSG00000288620,Hepatocellular carcinoma,ENSG00000288620.1,3.8467,-5.6131,0.0001,down,Hepatocellular carcinoma,human,Gene
65380,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,MRAP2,Hepatocellular carcinoma,ENSG00000135324.6,3.5143,-5.4851,0.0002,down,Hepatocellular carcinoma,human,Gene
65381,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,BMS1P11,Hepatocellular carcinoma,ENSG00000225883.2,4.6126,5.4704,0.0011,up,Hepatocellular carcinoma,human,Gene
65382,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,TFF1,Hepatocellular carcinoma,ENSG00000160182.3,159.2731,5.3404,0.0,up,Hepatocellular carcinoma,human,Gene
65383,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,LNCSRLR,Hepatocellular carcinoma,ENSG00000240032.1,4.1561,5.2767,0.0007,up,Hepatocellular carcinoma,human,Gene
65384,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,FGFR2,Hepatocellular carcinoma,ENSG00000066468.24,15.5579,-5.2729,0.0,down,Hepatocellular carcinoma,human,Gene
65385,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,LINC02015,Hepatocellular carcinoma,ENSG00000231574.6,2.9816,-5.2719,0.0006,down,Hepatocellular carcinoma,human,Gene
65386,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,SFRP5,Hepatocellular carcinoma,ENSG00000120057.5,3.043,-5.2669,0.0008,down,Hepatocellular carcinoma,human,Gene
65387,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,IL2RG,Hepatocellular carcinoma,ENSG00000147168.13,28.234,5.255,0.0,up,Hepatocellular carcinoma,human,Gene
65388,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,BMP2,Hepatocellular carcinoma,ENSG00000125845.7,8.1444,5.2333,0.0003,up,Hepatocellular carcinoma,human,Gene
65389,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,ENSG00000280064,Hepatocellular carcinoma,ENSG00000280064.1,11.8963,-5.1581,0.0,down,Hepatocellular carcinoma,human,Gene
65390,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,SPTB,Hepatocellular carcinoma,ENSG00000070182.21,3.5993,5.0985,0.0016,up,Hepatocellular carcinoma,human,Gene
65391,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,LCN10,Hepatocellular carcinoma,ENSG00000187922.14,4.4516,-5.0711,0.0003,down,Hepatocellular carcinoma,human,Gene
65392,DataSet_1096,human,ENSG00000146109,ABT1,HepG2,ENSG00000229740,Hepatocellular carcinoma,ENSG00000229740.3,7.1668,-5.0554,0.0,down,Hepatocellular carcinoma,human,Gene
