Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
53315,DataSet_494,human,ENSG00000100813,ACIN1,HeLa,ENSG00000267484,Human papillomavirus-related cervical carcinoma,ENSG00000267484.1,604.5039,-25.0308,0.0187,down,Human papillomavirus-related cervical carcinoma,human,Gene
38662,DataSet_556,human,ENSG00000100813,ACIN1,HeLa,ENSG00000267484,Human papillomavirus-related cervical carcinoma,ENSG00000267484.1,604.5039,-25.0308,0.0187,down,Human papillomavirus-related cervical carcinoma,human,Gene
38663,DataSet_556,human,ENSG00000100813,ACIN1,HeLa,ENSG00000279364,Human papillomavirus-related cervical carcinoma,ENSG00000279364.1,293.6992,-11.6812,0.0187,down,Human papillomavirus-related cervical carcinoma,human,Gene
53316,DataSet_494,human,ENSG00000100813,ACIN1,HeLa,ENSG00000279364,Human papillomavirus-related cervical carcinoma,ENSG00000279364.1,293.6992,-11.6812,0.0187,down,Human papillomavirus-related cervical carcinoma,human,Gene
29868,DataSet_454,human,ENSG00000100813,ACIN1,Hela,ENSG00000280064,Human papillomavirus-related cervical carcinoma,ENSG00000280064.1,46.7003,-7.9927,0.0,down,Human papillomavirus-related cervical carcinoma,human,Gene
29869,DataSet_454,human,ENSG00000100813,ACIN1,Hela,NPB,Human papillomavirus-related cervical carcinoma,ENSG00000183979.8,10.718,-6.8354,0.0,down,Human papillomavirus-related cervical carcinoma,human,Gene
29870,DataSet_454,human,ENSG00000100813,ACIN1,Hela,ENSG00000263809,Human papillomavirus-related cervical carcinoma,ENSG00000263809.1,10.1476,-6.758,0.0,down,Human papillomavirus-related cervical carcinoma,human,Gene
29871,DataSet_454,human,ENSG00000100813,ACIN1,Hela,PTCHD4,Human papillomavirus-related cervical carcinoma,ENSG00000244694.8,87.8199,6.7489,0.0,up,Human papillomavirus-related cervical carcinoma,human,Gene
29872,DataSet_454,human,ENSG00000100813,ACIN1,Hela,LINC00941,Human papillomavirus-related cervical carcinoma,ENSG00000235884.4,19.2222,-6.7046,0.0,down,Human papillomavirus-related cervical carcinoma,human,Gene
29873,DataSet_454,human,ENSG00000100813,ACIN1,Hela,ENSG00000261116,Human papillomavirus-related cervical carcinoma,ENSG00000261116.1,9.0823,-6.597,0.0082,down,Human papillomavirus-related cervical carcinoma,human,Gene
29874,DataSet_454,human,ENSG00000100813,ACIN1,Hela,ENSG00000226965,Human papillomavirus-related cervical carcinoma,ENSG00000226965.2,7.8215,6.452,0.0,up,Human papillomavirus-related cervical carcinoma,human,Gene
