Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
401,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,S100A8,Hypopharyngeal squamous cell carcinoma,ENSG00000143546.10,19.7116,7.7541,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
402,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,HSFX2,Hypopharyngeal squamous cell carcinoma,ENSG00000268738.3,14.9876,-7.3558,0.0,down,Hypopharyngeal squamous cell carcinoma,human,Gene
403,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,HSFX1,Hypopharyngeal squamous cell carcinoma,ENSG00000171116.7,8.6852,6.5735,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
404,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,S100A7,Hypopharyngeal squamous cell carcinoma,ENSG00000143556.9,8.0835,6.4689,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
405,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ENSG00000279368,Hypopharyngeal squamous cell carcinoma,ENSG00000279368.1,15.4355,6.4236,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
406,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,SNX18P8,Hypopharyngeal squamous cell carcinoma,ENSG00000231390.1,6.1456,-6.0682,0.0002,down,Hypopharyngeal squamous cell carcinoma,human,Gene
407,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ENSG00000287741,Hypopharyngeal squamous cell carcinoma,ENSG00000287741.1,5.9497,6.0264,0.0003,up,Hypopharyngeal squamous cell carcinoma,human,Gene
408,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,RPL7AP34,Hypopharyngeal squamous cell carcinoma,ENSG00000213312.3,11.3641,5.978,0.0001,up,Hypopharyngeal squamous cell carcinoma,human,Gene
409,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,FGF5,Hypopharyngeal squamous cell carcinoma,ENSG00000138675.17,5.4816,-5.9033,0.001,down,Hypopharyngeal squamous cell carcinoma,human,Gene
410,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ENSG00000249731,Hypopharyngeal squamous cell carcinoma,ENSG00000249731.1,6.9112,5.2471,0.0013,up,Hypopharyngeal squamous cell carcinoma,human,Gene
411,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ROR1-AS1,Hypopharyngeal squamous cell carcinoma,ENSG00000223949.8,6.4295,-5.1363,0.0021,down,Hypopharyngeal squamous cell carcinoma,human,Gene
412,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,MMP12,Hypopharyngeal squamous cell carcinoma,ENSG00000262406.3,633.8099,5.0535,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
413,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ENSG00000267765,Hypopharyngeal squamous cell carcinoma,ENSG00000267765.1,5.8147,-4.982,0.0035,down,Hypopharyngeal squamous cell carcinoma,human,Gene
414,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,FAM47E-STBD1,Hypopharyngeal squamous cell carcinoma,ENSG00000272414.6,5.3345,4.8565,0.0148,up,Hypopharyngeal squamous cell carcinoma,human,Gene
415,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,LGSN,Hypopharyngeal squamous cell carcinoma,ENSG00000146166.17,29.9047,4.6328,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
416,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,PSG10P,Hypopharyngeal squamous cell carcinoma,ENSG00000248257.7,8.2173,4.5653,0.0018,up,Hypopharyngeal squamous cell carcinoma,human,Gene
417,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ENSG00000248597,Hypopharyngeal squamous cell carcinoma,ENSG00000248597.2,26.246,4.435,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
418,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,CCNA1,Hypopharyngeal squamous cell carcinoma,ENSG00000133101.10,315.1786,-4.3854,0.0,down,Hypopharyngeal squamous cell carcinoma,human,Gene
419,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ZG16,Hypopharyngeal squamous cell carcinoma,ENSG00000174992.8,7.2324,4.382,0.0039,up,Hypopharyngeal squamous cell carcinoma,human,Gene
420,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,MMP13,Hypopharyngeal squamous cell carcinoma,ENSG00000137745.13,1489.3623,4.2524,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
421,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,SMOC1,Hypopharyngeal squamous cell carcinoma,ENSG00000198732.11,29.6065,4.2372,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
422,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,LINC01619,Hypopharyngeal squamous cell carcinoma,ENSG00000257242.9,12.852,-4.2157,0.0001,down,Hypopharyngeal squamous cell carcinoma,human,Gene
423,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,MMP10,Hypopharyngeal squamous cell carcinoma,ENSG00000166670.10,1729.5503,4.1902,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
424,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ENSG00000218713,Hypopharyngeal squamous cell carcinoma,ENSG00000218713.1,6.1232,-4.1393,0.0092,down,Hypopharyngeal squamous cell carcinoma,human,Gene
425,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ENSG00000279775,Hypopharyngeal squamous cell carcinoma,ENSG00000279775.1,6.1713,4.1314,0.0089,up,Hypopharyngeal squamous cell carcinoma,human,Gene
426,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,CALCR,Hypopharyngeal squamous cell carcinoma,ENSG00000004948.16,6.1039,4.1289,0.01,up,Hypopharyngeal squamous cell carcinoma,human,Gene
427,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,LINC00200,Hypopharyngeal squamous cell carcinoma,ENSG00000229205.5,6.1466,4.1261,0.0094,up,Hypopharyngeal squamous cell carcinoma,human,Gene
428,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,SLC30A10,Hypopharyngeal squamous cell carcinoma,ENSG00000196660.11,6.0599,4.1157,0.0104,up,Hypopharyngeal squamous cell carcinoma,human,Gene
429,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,AIMP1P1,Hypopharyngeal squamous cell carcinoma,ENSG00000234187.1,5.9712,4.0941,0.01,up,Hypopharyngeal squamous cell carcinoma,human,Gene
430,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,PSG1,Hypopharyngeal squamous cell carcinoma,ENSG00000231924.10,73.0772,4.0608,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
431,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,KPRP,Hypopharyngeal squamous cell carcinoma,ENSG00000203786.6,5.7075,4.025,0.0144,up,Hypopharyngeal squamous cell carcinoma,human,Gene
432,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ENSG00000267232,Hypopharyngeal squamous cell carcinoma,ENSG00000267232.1,5.7813,-4.0021,0.0176,down,Hypopharyngeal squamous cell carcinoma,human,Gene
433,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,KRT23,Hypopharyngeal squamous cell carcinoma,ENSG00000108244.17,19.4137,3.9783,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
434,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,TCHHL1,Hypopharyngeal squamous cell carcinoma,ENSG00000182898.4,49.6242,3.9696,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
435,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,MT-TC,Hypopharyngeal squamous cell carcinoma,ENSG00000210140.1,35.1931,3.9527,0.0125,up,Hypopharyngeal squamous cell carcinoma,human,Gene
436,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,IL1RAPL1,Hypopharyngeal squamous cell carcinoma,ENSG00000169306.10,5.2646,-3.911,0.021,down,Hypopharyngeal squamous cell carcinoma,human,Gene
437,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,MTRNR2L5,Hypopharyngeal squamous cell carcinoma,ENSG00000249860.4,5.3243,3.9049,0.0185,up,Hypopharyngeal squamous cell carcinoma,human,Gene
438,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,NAT8,Hypopharyngeal squamous cell carcinoma,ENSG00000144035.4,7.95,3.9033,0.0027,up,Hypopharyngeal squamous cell carcinoma,human,Gene
439,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,IL6,Hypopharyngeal squamous cell carcinoma,ENSG00000136244.12,336.0829,3.8932,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
440,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,COLGALT2,Hypopharyngeal squamous cell carcinoma,ENSG00000198756.12,10.5433,3.8907,0.0007,up,Hypopharyngeal squamous cell carcinoma,human,Gene
441,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ENSG00000239775,Hypopharyngeal squamous cell carcinoma,ENSG00000239775.1,12.2798,-3.7587,0.0003,down,Hypopharyngeal squamous cell carcinoma,human,Gene
442,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,LINC00313,Hypopharyngeal squamous cell carcinoma,ENSG00000185186.10,155.8113,3.7515,0.0,up,Hypopharyngeal squamous cell carcinoma,human,Gene
443,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,NGF,Hypopharyngeal squamous cell carcinoma,ENSG00000134259.6,13.784,-3.6832,0.0001,down,Hypopharyngeal squamous cell carcinoma,human,Gene
444,DataSet_114,human,ENSG00000133101,CCNA1,FaDu,ALB,Hypopharyngeal squamous cell carcinoma,ENSG00000163631.17,13.5588,3.6697,0.0004,up,Hypopharyngeal squamous cell carcinoma,human,Gene
