Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
901,DataSet_32,human,ENSG00000160710,ADAR,ZR-75-1,IL12RB1,Invasive breast carcinoma of no special type,ENSG00000096996.16,152.3218,-10.5292,0.0,down,Invasive breast carcinoma of no special type,human,Gene
82478,DataSet_28,human,ENSG00000160710,ADAR,ZR-75-1,IL12RB1,Invasive breast carcinoma of no special type,ENSG00000096996.16,152.3218,-10.5292,0.0,down,Invasive breast carcinoma of no special type,human,Gene
3264,DataSet_31,human,ENSG00000160710,ADAR,ZR-75-1,SPP1,Invasive breast carcinoma of no special type,ENSG00000118785.15,55.5769,9.3023,0.0061,up,Invasive breast carcinoma of no special type,human,Gene
902,DataSet_32,human,ENSG00000160710,ADAR,ZR-75-1,SPP1,Invasive breast carcinoma of no special type,ENSG00000118785.15,61.5671,8.6948,0.0,up,Invasive breast carcinoma of no special type,human,Gene
82479,DataSet_28,human,ENSG00000160710,ADAR,ZR-75-1,SPP1,Invasive breast carcinoma of no special type,ENSG00000118785.15,61.5671,8.6948,0.0,up,Invasive breast carcinoma of no special type,human,Gene
3314,DataSet_33,human,ENSG00000160710,ADAR,ZR-75-1,GNAT3,Invasive breast carcinoma of no special type,ENSG00000214415.4,35.7404,8.5592,0.0,up,Invasive breast carcinoma of no special type,human,Gene
903,DataSet_32,human,ENSG00000160710,ADAR,ZR-75-1,ENSG00000289232,Invasive breast carcinoma of no special type,ENSG00000289232.1,30.7333,-8.2234,0.0002,down,Invasive breast carcinoma of no special type,human,Gene
82480,DataSet_28,human,ENSG00000160710,ADAR,ZR-75-1,ENSG00000289232,Invasive breast carcinoma of no special type,ENSG00000289232.1,30.7333,-8.2234,0.0002,down,Invasive breast carcinoma of no special type,human,Gene
3265,DataSet_31,human,ENSG00000160710,ADAR,ZR-75-1,ENSG00000289232,Invasive breast carcinoma of no special type,ENSG00000289232.1,26.1761,-8.1104,0.0,down,Invasive breast carcinoma of no special type,human,Gene
3266,DataSet_31,human,ENSG00000160710,ADAR,ZR-75-1,RNU1-28P,Invasive breast carcinoma of no special type,ENSG00000206588.1,315.4357,8.1007,0.0008,up,Invasive breast carcinoma of no special type,human,Gene
3267,DataSet_31,human,ENSG00000160710,ADAR,ZR-75-1,RNU1-1,Invasive breast carcinoma of no special type,ENSG00000206652.1,315.4357,8.1007,0.0008,up,Invasive breast carcinoma of no special type,human,Gene
3269,DataSet_31,human,ENSG00000160710,ADAR,ZR-75-1,RNU1-3,Invasive breast carcinoma of no special type,ENSG00000207513.1,315.4357,8.1007,0.0008,up,Invasive breast carcinoma of no special type,human,Gene
3268,DataSet_31,human,ENSG00000160710,ADAR,ZR-75-1,RNVU1-18,Invasive breast carcinoma of no special type,ENSG00000206737.1,315.4357,8.1007,0.0008,up,Invasive breast carcinoma of no special type,human,Gene
3315,DataSet_33,human,ENSG00000160710,ADAR,ZR-75-1,FAM90A27P,Invasive breast carcinoma of no special type,ENSG00000189348.6,15.2396,-7.4388,0.0002,down,Invasive breast carcinoma of no special type,human,Gene
3316,DataSet_33,human,ENSG00000160710,ADAR,ZR-75-1,ENSG00000267022,Invasive breast carcinoma of no special type,ENSG00000267022.1,14.2043,-7.3383,0.0002,down,Invasive breast carcinoma of no special type,human,Gene
3270,DataSet_31,human,ENSG00000160710,ADAR,ZR-75-1,IL12RB1,Invasive breast carcinoma of no special type,ENSG00000096996.16,110.4022,-7.331,0.0,down,Invasive breast carcinoma of no special type,human,Gene
3317,DataSet_33,human,ENSG00000160710,ADAR,ZR-75-1,IL12RB1,Invasive breast carcinoma of no special type,ENSG00000096996.16,49.2088,-7.2794,0.0,down,Invasive breast carcinoma of no special type,human,Gene
3271,DataSet_31,human,ENSG00000160710,ADAR,ZR-75-1,PCDH11X,Invasive breast carcinoma of no special type,ENSG00000102290.23,13.9297,-7.2006,0.0004,down,Invasive breast carcinoma of no special type,human,Gene
82481,DataSet_28,human,ENSG00000160710,ADAR,ZR-75-1,NSFP1,Invasive breast carcinoma of no special type,ENSG00000260075.1,10.9231,7.1684,0.0389,up,Invasive breast carcinoma of no special type,human,Gene
904,DataSet_32,human,ENSG00000160710,ADAR,ZR-75-1,NSFP1,Invasive breast carcinoma of no special type,ENSG00000260075.1,10.9231,7.1684,0.0389,up,Invasive breast carcinoma of no special type,human,Gene
3318,DataSet_33,human,ENSG00000160710,ADAR,ZR-75-1,ENSG00000289232,Invasive breast carcinoma of no special type,ENSG00000289232.1,10.1138,-6.8497,0.0018,down,Invasive breast carcinoma of no special type,human,Gene
3272,DataSet_31,human,ENSG00000160710,ADAR,ZR-75-1,ENSG00000277991,Invasive breast carcinoma of no special type,ENSG00000277991.4,51.2556,-6.623,0.0,down,Invasive breast carcinoma of no special type,human,Gene
3273,DataSet_31,human,ENSG00000160710,ADAR,ZR-75-1,ENSG00000255439,Invasive breast carcinoma of no special type,ENSG00000255439.6,8.5118,6.5989,0.0075,up,Invasive breast carcinoma of no special type,human,Gene
