Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
9571,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,ENSG00000285238,Lung adenocarcinoma,ENSG00000285238.2,51.1168,-9.1553,0.0,down,Lung adenocarcinoma,human,Gene
9572,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,MAF,Lung adenocarcinoma,ENSG00000178573.7,47.6138,3.0671,0.0,up,Lung adenocarcinoma,human,Gene
9573,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,DDX1,Lung adenocarcinoma,ENSG00000079785.16,1607.2856,-2.847,0.0,down,Lung adenocarcinoma,human,Gene
9574,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,MUC16,Lung adenocarcinoma,ENSG00000181143.15,48.6631,-2.7727,0.0,down,Lung adenocarcinoma,human,Gene
9575,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,DDC,Lung adenocarcinoma,ENSG00000132437.18,94.2605,-2.0841,0.0,down,Lung adenocarcinoma,human,Gene
9576,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,SUSD2,Lung adenocarcinoma,ENSG00000099994.11,164.7464,-2.0661,0.0,down,Lung adenocarcinoma,human,Gene
9577,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,FER1L6,Lung adenocarcinoma,ENSG00000214814.7,57.2659,1.9705,0.0003,up,Lung adenocarcinoma,human,Gene
9578,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,CHAC1,Lung adenocarcinoma,ENSG00000128965.13,114.6074,1.9585,0.0,up,Lung adenocarcinoma,human,Gene
9579,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,CBS,Lung adenocarcinoma,ENSG00000160200.18,290.179,1.9435,0.0,up,Lung adenocarcinoma,human,Gene
9580,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,TERT,Lung adenocarcinoma,ENSG00000164362.21,49.2119,-1.9003,0.0003,down,Lung adenocarcinoma,human,Gene
9581,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,ULBP1,Lung adenocarcinoma,ENSG00000111981.5,110.3411,1.8766,0.0,up,Lung adenocarcinoma,human,Gene
9582,DataSet_110,human,ENSG00000079785,DDX1,A549-Ace2,BCAT1,Lung adenocarcinoma,ENSG00000060982.15,1002.4933,1.8679,0.0,up,Lung adenocarcinoma,human,Gene
