Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
63752,DataSet_397,human,ENSG00000185650,ZFP36L1,CORL47,UTP14C,Lung small cell carcinoma,ENSG00000253797.2,100.0475,10.2794,0.0,up,Lung small cell carcinoma,human,Gene
28166,DataSet_436,human,ENSG00000185650,ZFP36L1,CORL47,UTP14C,Lung small cell carcinoma,ENSG00000253797.2,100.0475,10.2794,0.0,up,Lung small cell carcinoma,human,Gene
29168,DataSet_447,human,ENSG00000185650,ZFP36L1,CORL47,EPHX2,Lung small cell carcinoma,ENSG00000120915.14,95.4785,10.0904,0.0,up,Lung small cell carcinoma,human,Gene
63753,DataSet_397,human,ENSG00000185650,ZFP36L1,CORL47,EPHX2,Lung small cell carcinoma,ENSG00000120915.14,73.7572,9.8373,0.0,up,Lung small cell carcinoma,human,Gene
28167,DataSet_436,human,ENSG00000185650,ZFP36L1,CORL47,EPHX2,Lung small cell carcinoma,ENSG00000120915.14,73.7572,9.8373,0.0,up,Lung small cell carcinoma,human,Gene
28168,DataSet_436,human,ENSG00000185650,ZFP36L1,CORL47,RADX,Lung small cell carcinoma,ENSG00000147231.14,705.1038,9.698,0.0,up,Lung small cell carcinoma,human,Gene
63754,DataSet_397,human,ENSG00000185650,ZFP36L1,CORL47,RADX,Lung small cell carcinoma,ENSG00000147231.14,705.1038,9.698,0.0,up,Lung small cell carcinoma,human,Gene
29169,DataSet_447,human,ENSG00000185650,ZFP36L1,CORL47,SCARA3,Lung small cell carcinoma,ENSG00000168077.14,61.0596,9.4462,0.0,up,Lung small cell carcinoma,human,Gene
29170,DataSet_447,human,ENSG00000185650,ZFP36L1,CORL47,ANGPTL1,Lung small cell carcinoma,ENSG00000116194.13,54.6825,9.2867,0.0,up,Lung small cell carcinoma,human,Gene
29171,DataSet_447,human,ENSG00000185650,ZFP36L1,CORL47,CYP4X1,Lung small cell carcinoma,ENSG00000186377.8,49.746,9.1508,0.0,up,Lung small cell carcinoma,human,Gene
28169,DataSet_436,human,ENSG00000185650,ZFP36L1,CORL47,TMEM45A,Lung small cell carcinoma,ENSG00000181458.10,42.6999,9.053,0.0,up,Lung small cell carcinoma,human,Gene
63755,DataSet_397,human,ENSG00000185650,ZFP36L1,CORL47,TMEM45A,Lung small cell carcinoma,ENSG00000181458.10,42.6999,9.053,0.0,up,Lung small cell carcinoma,human,Gene
