Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
19733,DataSet_301,human,ENSG00000165494,PCF11,DAOY,MAGEA11,Medulloblastoma,ENSG00000185247.15,829.5,-8.02,0.0,down,Medulloblastoma,human,Gene
19734,DataSet_301,human,ENSG00000165494,PCF11,DAOY,ENSG00000258064,Medulloblastoma,ENSG00000258064.1,14.0142,-7.359,0.0145,down,Medulloblastoma,human,Gene
19735,DataSet_301,human,ENSG00000165494,PCF11,DAOY,ENSG00000264668,Medulloblastoma,ENSG00000264668.2,12.5433,-7.2089,0.0122,down,Medulloblastoma,human,Gene
19736,DataSet_301,human,ENSG00000165494,PCF11,DAOY,COL22A1,Medulloblastoma,ENSG00000169436.17,11.3276,-7.0634,0.0205,down,Medulloblastoma,human,Gene
19737,DataSet_301,human,ENSG00000165494,PCF11,DAOY,ENSG00000259132,Medulloblastoma,ENSG00000259132.1,12.8354,7.0223,0.0236,up,Medulloblastoma,human,Gene
19738,DataSet_301,human,ENSG00000165494,PCF11,DAOY,P3R3URF-PIK3R3,Medulloblastoma,ENSG00000278139.1,10.9396,-7.0188,0.0283,down,Medulloblastoma,human,Gene
19739,DataSet_301,human,ENSG00000165494,PCF11,DAOY,ENSG00000228144,Medulloblastoma,ENSG00000228144.2,10.5123,-6.9609,0.0336,down,Medulloblastoma,human,Gene
19740,DataSet_301,human,ENSG00000165494,PCF11,DAOY,UNC5D,Medulloblastoma,ENSG00000156687.11,51.9483,-6.7846,0.0,down,Medulloblastoma,human,Gene
19743,DataSet_301,human,ENSG00000165494,PCF11,DAOY,HDX,Medulloblastoma,ENSG00000165259.14,56.3912,-5.6119,0.0,down,Medulloblastoma,human,Gene
19744,DataSet_301,human,ENSG00000165494,PCF11,DAOY,KAZN-AS1,Medulloblastoma,ENSG00000234593.3,15.4837,-5.041,0.032,down,Medulloblastoma,human,Gene
19745,DataSet_301,human,ENSG00000165494,PCF11,DAOY,PASD1,Medulloblastoma,ENSG00000166049.11,44.0558,-5.0212,0.0,down,Medulloblastoma,human,Gene
19747,DataSet_301,human,ENSG00000165494,PCF11,DAOY,CYYR1,Medulloblastoma,ENSG00000166265.13,32.2596,4.8743,0.012,up,Medulloblastoma,human,Gene
19748,DataSet_301,human,ENSG00000165494,PCF11,DAOY,XAGE1B,Medulloblastoma,ENSG00000204382.12,53.1502,-4.8326,0.0,down,Medulloblastoma,human,Gene
19749,DataSet_301,human,ENSG00000165494,PCF11,DAOY,NXF2B,Medulloblastoma,ENSG00000269437.7,47.1884,-4.4408,0.002,down,Medulloblastoma,human,Gene
19750,DataSet_301,human,ENSG00000165494,PCF11,DAOY,MAGEC3,Medulloblastoma,ENSG00000165509.13,20.6347,4.1989,0.0156,up,Medulloblastoma,human,Gene
19751,DataSet_301,human,ENSG00000165494,PCF11,DAOY,LINC01419,Medulloblastoma,ENSG00000253898.1,24.0672,-4.0868,0.0043,down,Medulloblastoma,human,Gene
19752,DataSet_301,human,ENSG00000165494,PCF11,DAOY,XAGE1A,Medulloblastoma,ENSG00000204379.11,88.8528,-4.0389,0.0,down,Medulloblastoma,human,Gene
19753,DataSet_301,human,ENSG00000165494,PCF11,DAOY,ABCA13,Medulloblastoma,ENSG00000179869.15,123.1055,3.8957,0.0,up,Medulloblastoma,human,Gene
19754,DataSet_301,human,ENSG00000165494,PCF11,DAOY,POSTN,Medulloblastoma,ENSG00000133110.15,622.2816,3.8404,0.0,up,Medulloblastoma,human,Gene
19755,DataSet_301,human,ENSG00000165494,PCF11,DAOY,PDGFD,Medulloblastoma,ENSG00000170962.13,61.5752,3.7433,0.0025,up,Medulloblastoma,human,Gene
19756,DataSet_301,human,ENSG00000165494,PCF11,DAOY,ENSG00000273301,Medulloblastoma,ENSG00000273301.1,162.5726,3.697,0.0,up,Medulloblastoma,human,Gene
19757,DataSet_301,human,ENSG00000165494,PCF11,DAOY,UCA1,Medulloblastoma,ENSG00000214049.8,121.2553,3.6411,0.0,up,Medulloblastoma,human,Gene
19758,DataSet_301,human,ENSG00000165494,PCF11,DAOY,DIO2,Medulloblastoma,ENSG00000211448.14,3525.8595,3.4735,0.0,up,Medulloblastoma,human,Gene
19759,DataSet_301,human,ENSG00000165494,PCF11,DAOY,NPR3,Medulloblastoma,ENSG00000113389.16,49.3523,3.4137,0.004,up,Medulloblastoma,human,Gene
19760,DataSet_301,human,ENSG00000165494,PCF11,DAOY,NYAP2,Medulloblastoma,ENSG00000144460.12,78.1359,3.3842,0.0003,up,Medulloblastoma,human,Gene
19761,DataSet_301,human,ENSG00000165494,PCF11,DAOY,KLHDC7A,Medulloblastoma,ENSG00000179023.9,32.1903,3.2106,0.049,up,Medulloblastoma,human,Gene
19762,DataSet_301,human,ENSG00000165494,PCF11,DAOY,LINC00639,Medulloblastoma,ENSG00000259070.8,102.1957,3.1905,0.0013,up,Medulloblastoma,human,Gene
19763,DataSet_301,human,ENSG00000165494,PCF11,DAOY,ENSG00000238129,Medulloblastoma,ENSG00000238129.5,55.7847,3.1847,0.0075,up,Medulloblastoma,human,Gene
19764,DataSet_301,human,ENSG00000165494,PCF11,DAOY,NPFFR2,Medulloblastoma,ENSG00000056291.19,53.4937,3.0531,0.0465,up,Medulloblastoma,human,Gene
19766,DataSet_301,human,ENSG00000165494,PCF11,DAOY,ENSG00000283633,Medulloblastoma,ENSG00000283633.1,23.5561,-2.9713,0.0485,down,Medulloblastoma,human,Gene
19767,DataSet_301,human,ENSG00000165494,PCF11,DAOY,SERPINA5,Medulloblastoma,ENSG00000188488.14,33.5896,2.9613,0.0407,up,Medulloblastoma,human,Gene
19768,DataSet_301,human,ENSG00000165494,PCF11,DAOY,TPTEP1,Medulloblastoma,ENSG00000100181.22,32.0655,-2.8427,0.0179,down,Medulloblastoma,human,Gene
19769,DataSet_301,human,ENSG00000165494,PCF11,DAOY,SCN5A,Medulloblastoma,ENSG00000183873.18,48.3676,2.7811,0.004,up,Medulloblastoma,human,Gene
