Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
33546,DataSet_498,human,ENSG00000111642,CHD4,501mel,ENSG00000279504,Melanoma,ENSG00000279504.1,26.3517,-22.4871,0.0,down,Melanoma,human,Gene
33547,DataSet_498,human,ENSG00000111642,CHD4,501mel,MTND1P26,Melanoma,ENSG00000234576.2,22.6354,-22.2727,0.0,down,Melanoma,human,Gene
33548,DataSet_498,human,ENSG00000111642,CHD4,501mel,MTCO2P5,Melanoma,ENSG00000231766.1,19.5948,-22.0849,0.0,down,Melanoma,human,Gene
33549,DataSet_498,human,ENSG00000111642,CHD4,501mel,FGA,Melanoma,ENSG00000171560.17,19.257,-22.0593,0.0,down,Melanoma,human,Gene
33550,DataSet_498,human,ENSG00000111642,CHD4,501mel,ENSG00000278964,Melanoma,ENSG00000278964.1,17.9056,-21.9634,0.0,down,Melanoma,human,Gene
33551,DataSet_498,human,ENSG00000111642,CHD4,501mel,CDO1,Melanoma,ENSG00000129596.5,17.5678,-21.9356,0.0,down,Melanoma,human,Gene
33552,DataSet_498,human,ENSG00000111642,CHD4,501mel,KRTAP5-2,Melanoma,ENSG00000205867.3,39.1356,8.4905,0.0,up,Melanoma,human,Gene
33553,DataSet_498,human,ENSG00000111642,CHD4,501mel,SPATA31A3,Melanoma,ENSG00000275969.2,38.9942,8.4836,0.0,up,Melanoma,human,Gene
33554,DataSet_498,human,ENSG00000111642,CHD4,501mel,ENSG00000286144,Melanoma,ENSG00000286144.1,30.068,8.1102,0.0,up,Melanoma,human,Gene
33555,DataSet_498,human,ENSG00000111642,CHD4,501mel,ERVV-2,Melanoma,ENSG00000268964.3,28.7296,8.0458,0.0,up,Melanoma,human,Gene
33556,DataSet_498,human,ENSG00000111642,CHD4,501mel,CD177,Melanoma,ENSG00000204936.10,25.4928,7.8728,0.0,up,Melanoma,human,Gene
33557,DataSet_498,human,ENSG00000111642,CHD4,501mel,SPATA31A7,Melanoma,ENSG00000276040.4,47.9313,7.8149,0.0,up,Melanoma,human,Gene
33558,DataSet_498,human,ENSG00000111642,CHD4,501mel,ENSG00000283537,Melanoma,ENSG00000283537.2,16.0791,-7.7176,0.0,down,Melanoma,human,Gene
33559,DataSet_498,human,ENSG00000111642,CHD4,501mel,KCNJ12,Melanoma,ENSG00000184185.10,40.187,7.5539,0.0,up,Melanoma,human,Gene
33560,DataSet_498,human,ENSG00000111642,CHD4,501mel,PADI3,Melanoma,ENSG00000142619.4,138.5091,7.5391,0.0,up,Melanoma,human,Gene
33561,DataSet_498,human,ENSG00000111642,CHD4,501mel,SPATA31A6,Melanoma,ENSG00000185775.10,19.3029,7.4723,0.0,up,Melanoma,human,Gene
33562,DataSet_498,human,ENSG00000111642,CHD4,501mel,SRL,Melanoma,ENSG00000185739.13,62.2534,7.4011,0.0,up,Melanoma,human,Gene
33563,DataSet_498,human,ENSG00000111642,CHD4,501mel,ENSG00000259955,Melanoma,ENSG00000259955.1,13.0262,-7.4005,0.0002,down,Melanoma,human,Gene
33564,DataSet_498,human,ENSG00000111642,CHD4,501mel,LIN28A,Melanoma,ENSG00000131914.11,18.1467,7.3829,0.0,up,Melanoma,human,Gene
33565,DataSet_498,human,ENSG00000111642,CHD4,501mel,PGAM2,Melanoma,ENSG00000164708.6,18.0064,7.3718,0.0,up,Melanoma,human,Gene
33566,DataSet_498,human,ENSG00000111642,CHD4,501mel,ENSG00000286546,Melanoma,ENSG00000286546.1,31.6125,7.2108,0.0,up,Melanoma,human,Gene
33567,DataSet_498,human,ENSG00000111642,CHD4,501mel,ENSG00000288542,Melanoma,ENSG00000288542.1,22.075,-7.1936,0.0,down,Melanoma,human,Gene
33568,DataSet_498,human,ENSG00000111642,CHD4,501mel,IRF8,Melanoma,ENSG00000140968.11,15.86,7.1901,0.0,up,Melanoma,human,Gene
33569,DataSet_498,human,ENSG00000111642,CHD4,501mel,DUSP26,Melanoma,ENSG00000133878.9,15.762,7.1781,0.0,up,Melanoma,human,Gene
