Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
29668,DataSet_452,human,ENSG00000163694,RBM47,H358,FAM187A,Minimally invasive lung adenocarcinoma,ENSG00000214447.5,34.6459,-8.5247,0.0,down,Minimally invasive lung adenocarcinoma,human,Gene
78187,DataSet_411,human,ENSG00000163694,RBM47,H358,FAM187A,Minimally invasive lung adenocarcinoma,ENSG00000214447.5,34.6459,-8.5247,0.0,down,Minimally invasive lung adenocarcinoma,human,Gene
78188,DataSet_411,human,ENSG00000163694,RBM47,H358,ENSG00000279364,Minimally invasive lung adenocarcinoma,ENSG00000279364.1,22.3384,-7.8904,0.0,down,Minimally invasive lung adenocarcinoma,human,Gene
29669,DataSet_452,human,ENSG00000163694,RBM47,H358,ENSG00000279364,Minimally invasive lung adenocarcinoma,ENSG00000279364.1,22.3384,-7.8904,0.0,down,Minimally invasive lung adenocarcinoma,human,Gene
29670,DataSet_452,human,ENSG00000163694,RBM47,H358,NSFP1,Minimally invasive lung adenocarcinoma,ENSG00000260075.1,27.3967,3.6075,0.0,up,Minimally invasive lung adenocarcinoma,human,Gene
78189,DataSet_411,human,ENSG00000163694,RBM47,H358,NSFP1,Minimally invasive lung adenocarcinoma,ENSG00000260075.1,27.3967,3.6075,0.0,up,Minimally invasive lung adenocarcinoma,human,Gene
78190,DataSet_411,human,ENSG00000163694,RBM47,H358,RBM47,Minimally invasive lung adenocarcinoma,ENSG00000163694.15,3193.2517,-2.8599,0.0,down,Minimally invasive lung adenocarcinoma,human,Gene
29671,DataSet_452,human,ENSG00000163694,RBM47,H358,RBM47,Minimally invasive lung adenocarcinoma,ENSG00000163694.15,3193.2517,-2.8599,0.0,down,Minimally invasive lung adenocarcinoma,human,Gene
29673,DataSet_452,human,ENSG00000163694,RBM47,H358,CCDC103,Minimally invasive lung adenocarcinoma,ENSG00000167131.17,47.4128,2.2835,0.0,up,Minimally invasive lung adenocarcinoma,human,Gene
78192,DataSet_411,human,ENSG00000163694,RBM47,H358,CCDC103,Minimally invasive lung adenocarcinoma,ENSG00000167131.17,47.4128,2.2835,0.0,up,Minimally invasive lung adenocarcinoma,human,Gene
78193,DataSet_411,human,ENSG00000163694,RBM47,H358,ANPEP,Minimally invasive lung adenocarcinoma,ENSG00000166825.15,35.2534,2.1177,0.0,up,Minimally invasive lung adenocarcinoma,human,Gene
29674,DataSet_452,human,ENSG00000163694,RBM47,H358,ANPEP,Minimally invasive lung adenocarcinoma,ENSG00000166825.15,35.2534,2.1177,0.0,up,Minimally invasive lung adenocarcinoma,human,Gene
29675,DataSet_452,human,ENSG00000163694,RBM47,H358,KIF18B,Minimally invasive lung adenocarcinoma,ENSG00000186185.14,56.2225,1.8422,0.0,up,Minimally invasive lung adenocarcinoma,human,Gene
78194,DataSet_411,human,ENSG00000163694,RBM47,H358,KIF18B,Minimally invasive lung adenocarcinoma,ENSG00000186185.14,56.2225,1.8422,0.0,up,Minimally invasive lung adenocarcinoma,human,Gene
78195,DataSet_411,human,ENSG00000163694,RBM47,H358,DERL3,Minimally invasive lung adenocarcinoma,ENSG00000099958.15,54.3148,-1.819,0.0,down,Minimally invasive lung adenocarcinoma,human,Gene
