Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
1,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,HAND2,Neuroblastoma,ENSG00000164107.9,6315.094,-16.1938,0,down,Neuroblastoma,human,Gene
2,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,KIF1A,Neuroblastoma,ENSG00000130294.18,5362.4081,-15.9578,0,down,Neuroblastoma,human,Gene
3,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,PRSS12,Neuroblastoma,ENSG00000164099.3,4993.4763,-15.8552,0,down,Neuroblastoma,human,Gene
4,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,SLC6A2,Neuroblastoma,ENSG00000103546.19,4981.5911,-15.8516,0,down,Neuroblastoma,human,Gene
5,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,CACNG4,Neuroblastoma,ENSG00000075461.6,4485.1558,-15.7002,0,down,Neuroblastoma,human,Gene
6,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,DCX,Neuroblastoma,ENSG00000077279.20,4454.8196,-15.6904,0,down,Neuroblastoma,human,Gene
7,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,ALCAM,Neuroblastoma,ENSG00000170017.12,4411.8991,-15.6764,0,down,Neuroblastoma,human,Gene
8,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,ADAMTS9,Neuroblastoma,ENSG00000163638.13,4206.4693,-15.6076,0,down,Neuroblastoma,human,Gene
9,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,SOX11,Neuroblastoma,ENSG00000176887.7,3819.2047,-15.4683,0,down,Neuroblastoma,human,Gene
10,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,SYT4,Neuroblastoma,ENSG00000132872.12,3812.8789,-15.4659,0,down,Neuroblastoma,human,Gene
11,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,STMN2,Neuroblastoma,ENSG00000104435.14,3776.7918,-15.4523,0,down,Neuroblastoma,human,Gene
12,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,DPYSL5,Neuroblastoma,ENSG00000157851.17,3601.002,-15.3833,0,down,Neuroblastoma,human,Gene
13,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,PROX1,Neuroblastoma,ENSG00000117707.16,3468.6405,-15.3292,0,down,Neuroblastoma,human,Gene
14,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,SLIT3,Neuroblastoma,ENSG00000184347.15,3349.7773,-15.279,0,down,Neuroblastoma,human,Gene
15,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,IGFBPL1,Neuroblastoma,ENSG00000137142.5,3130.5077,-15.1814,0,down,Neuroblastoma,human,Gene
16,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,TFAP2B,Neuroblastoma,ENSG00000008196.13,3032.7832,-15.1356,0,down,Neuroblastoma,human,Gene
17,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,ELAVL4,Neuroblastoma,ENSG00000162374.18,2980.7364,-15.1108,0,down,Neuroblastoma,human,Gene
18,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,NSG2,Neuroblastoma,ENSG00000170091.11,2765.0257,-15.0022,0,down,Neuroblastoma,human,Gene
19,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,ESRRG,Neuroblastoma,ENSG00000196482.18,2434.5566,-14.8189,0,down,Neuroblastoma,human,Gene
20,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,RNF152,Neuroblastoma,ENSG00000176641.11,2343.2391,-14.7636,0,down,Neuroblastoma,human,Gene
21,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,DBH,Neuroblastoma,ENSG00000123454.12,8461.3843,-14.7632,0,down,Neuroblastoma,human,Gene
22,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,PLXNA4,Neuroblastoma,ENSG00000221866.10,4340.7353,-14.691,0,down,Neuroblastoma,human,Gene
23,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,INA,Neuroblastoma,ENSG00000148798.11,2118.8401,-14.6183,0,down,Neuroblastoma,human,Gene
24,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,MYEF2,Neuroblastoma,ENSG00000104177.19,1836.1657,-14.4116,0,down,Neuroblastoma,human,Gene
25,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,RPH3A,Neuroblastoma,ENSG00000089169.15,1824.499,-14.4025,0,down,Neuroblastoma,human,Gene
26,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,SEZ6L,Neuroblastoma,ENSG00000100095.19,1751.5031,-14.3437,0,down,Neuroblastoma,human,Gene
27,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,C7,Neuroblastoma,ENSG00000112936.19,6066.6689,-14.2833,0,down,Neuroblastoma,human,Gene
28,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,TWIST1,Neuroblastoma,ENSG00000122691.13,1653.2174,-14.2602,0,down,Neuroblastoma,human,Gene
29,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,PNMA2,Neuroblastoma,ENSG00000240694.9,1635.653,-14.2449,0,down,Neuroblastoma,human,Gene
30,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,TRIB2,Neuroblastoma,ENSG00000071575.12,1568.4796,-14.1846,0,down,Neuroblastoma,human,Gene
31,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,KCNH2,Neuroblastoma,ENSG00000055118.17,2835.5544,-14.0767,0,down,Neuroblastoma,human,Gene
32,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,TMEM229A,Neuroblastoma,ENSG00000234224.3,1447.9875,-14.0692,0,down,Neuroblastoma,human,Gene
33,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,NBEA,Neuroblastoma,ENSG00000172915.20,1443.4784,-14.0645,0,down,Neuroblastoma,human,Gene
34,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,OPRM1,Neuroblastoma,ENSG00000112038.18,2809.043,-14.0631,0,down,Neuroblastoma,human,Gene
35,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,ST8SIA3,Neuroblastoma,ENSG00000177511.6,1417.0623,-14.0379,0,down,Neuroblastoma,human,Gene
36,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,XIST,Neuroblastoma,ENSG00000229807.13,7641.8796,-14.0313,0,down,Neuroblastoma,human,Gene
37,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,C14orf132,Neuroblastoma,ENSG00000227051.7,2741.0553,-14.0281,0,down,Neuroblastoma,human,Gene
38,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,SV2C,Neuroblastoma,ENSG00000122012.14,1395.815,-14.0162,0,down,Neuroblastoma,human,Gene
39,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,SHD,Neuroblastoma,ENSG00000105251.11,1381.0918,-14.0006,0,down,Neuroblastoma,human,Gene
40,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,PHOX2B,Neuroblastoma,ENSG00000109132.7,1330.3873,-13.9468,0,down,Neuroblastoma,human,Gene
41,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,RTL1,Neuroblastoma,ENSG00000254656.3,14288.3676,-13.9339,0,down,Neuroblastoma,human,Gene
42,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,NPY,Neuroblastoma,ENSG00000122585.8,1287.2167,-13.8994,0,down,Neuroblastoma,human,Gene
43,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,MAB21L1,Neuroblastoma,ENSG00000180660.8,1206.665,-13.8063,0,down,Neuroblastoma,human,Gene
44,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,NT5C1A,Neuroblastoma,ENSG00000116981.4,1206.3068,-13.8056,0,down,Neuroblastoma,human,Gene
45,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,CDH11,Neuroblastoma,ENSG00000140937.14,1195.3416,-13.7926,0,down,Neuroblastoma,human,Gene
46,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,PHF21B,Neuroblastoma,ENSG00000056487.16,1186.9325,-13.7821,0,down,Neuroblastoma,human,Gene
47,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,RTN1,Neuroblastoma,ENSG00000139970.18,1183.3577,-13.778,0,down,Neuroblastoma,human,Gene
48,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,NEFM,Neuroblastoma,ENSG00000104722.14,1159.3918,-13.7482,0,down,Neuroblastoma,human,Gene
49,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,IGFBP2,Neuroblastoma,ENSG00000115457.10,1155.6647,-13.7438,0,down,Neuroblastoma,human,Gene
50,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,TSPYL5,Neuroblastoma,ENSG00000180543.5,1149.9978,-13.7365,0,down,Neuroblastoma,human,Gene
51,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,GULP1,Neuroblastoma,ENSG00000144366.16,1146.0135,-13.7319,0,down,Neuroblastoma,human,Gene
52,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,RD3,Neuroblastoma,ENSG00000198570.7,1119.5149,-13.698,0,down,Neuroblastoma,human,Gene
53,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,ABCD2,Neuroblastoma,ENSG00000173208.4,1114.99,-13.6921,0,down,Neuroblastoma,human,Gene
54,DataSet_167,human,ENSG00000048828,FAM120A,SH-SY5Y,MMP16,Neuroblastoma,ENSG00000156103.16,1107.3351,-13.6819,0,down,Neuroblastoma,human,Gene
