Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
29368,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,ENSG00000283765,Normal,ENSG00000283765.1,24.797,-8.1611,0.0,down,Normal,human,Gene
29369,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,ENSG00000255351,Normal,ENSG00000255351.1,23.3111,-8.0705,0.0001,down,Normal,human,Gene
29370,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,ENSG00000276965,Normal,ENSG00000276965.1,18.5491,-7.7426,0.0003,down,Normal,human,Gene
29371,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,ENSG00000287064,Normal,ENSG00000287064.1,33.1772,5.4069,0.0004,up,Normal,human,Gene
29372,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,ENSG00000259753,Normal,ENSG00000259753.1,28.8887,4.4493,0.0005,up,Normal,human,Gene
29568,DataSet_451,human,ENSG00000160710,ADAR,HUVEC,ENSG00000288534,Normal,ENSG00000288534.1,226.8984,-4.2588,0.0047,down,Normal,human,Gene
29373,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,DHRS2,Normal,ENSG00000100867.15,68.3761,3.9852,0.0,up,Normal,human,Gene
29374,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,NEURL3,Normal,ENSG00000163121.10,94.3919,3.4035,0.0,up,Normal,human,Gene
29375,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,ENSG00000268193,Normal,ENSG00000268193.5,18.6371,-3.1636,0.0417,down,Normal,human,Gene
29376,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,ARMCX7P,Normal,ENSG00000204072.3,45.2453,-3.1017,0.0007,down,Normal,human,Gene
29377,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,KIF5C,Normal,ENSG00000168280.18,21.9497,-3.0629,0.015,down,Normal,human,Gene
29378,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,ENSG00000261707,Normal,ENSG00000261707.1,31.8689,-2.9957,0.0023,down,Normal,human,Gene
29569,DataSet_451,human,ENSG00000160710,ADAR,HUVEC,ADAR,Normal,ENSG00000160710.18,4474.3335,-2.9468,0.0,down,Normal,human,Gene
29379,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,IL1A,Normal,ENSG00000115008.6,264.9182,2.9097,0.0414,up,Normal,human,Gene
29380,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,LCP1,Normal,ENSG00000136167.15,35.8327,-2.8934,0.001,down,Normal,human,Gene
29381,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,KLK6,Normal,ENSG00000167755.15,45.7043,-2.8927,0.0001,down,Normal,human,Gene
29382,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,TRAF1,Normal,ENSG00000056558.11,672.1246,2.8881,0.025,up,Normal,human,Gene
29383,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,CPXM1,Normal,ENSG00000088882.8,433.1996,-2.8369,0.0,down,Normal,human,Gene
29384,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,ANO9,Normal,ENSG00000185101.13,45.4554,2.8333,0.0044,up,Normal,human,Gene
29385,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,FAM91A3P,Normal,ENSG00000242352.2,24.8962,2.8303,0.0194,up,Normal,human,Gene
29386,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,LTB,Normal,ENSG00000227507.3,108.3967,2.8157,0.0,up,Normal,human,Gene
29387,DataSet_449,human,ENSG00000160710,ADAR,HUVEC,FXYD6,Normal,ENSG00000137726.17,39.5048,-2.8043,0.0007,down,Normal,human,Gene
