Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
48079,DataSet_747,human,ENSG00000091542,ALKBH5,143B,PEDS1-UBE2V1,Osteosarcoma,ENSG00000124208.16,147.2076,22.8086,0.0,up,Osteosarcoma,human,Gene
48080,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000285779,Osteosarcoma,ENSG00000285779.1,145.5597,-10.4423,0.0,down,Osteosarcoma,human,Gene
48081,DataSet_747,human,ENSG00000091542,ALKBH5,143B,MKKS,Osteosarcoma,ENSG00000285508.1,70.4737,-9.3987,0.0,down,Osteosarcoma,human,Gene
48082,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000277117,Osteosarcoma,ENSG00000277117.5,37.4734,-8.4867,0.0,down,Osteosarcoma,human,Gene
48083,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000262160,Osteosarcoma,ENSG00000262160.1,36.5602,-8.4517,0.0,down,Osteosarcoma,human,Gene
48084,DataSet_747,human,ENSG00000091542,ALKBH5,143B,KRT18P11,Osteosarcoma,ENSG00000215089.3,23.9826,8.2208,0.0001,up,Osteosarcoma,human,Gene
48085,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000257379,Osteosarcoma,ENSG00000257379.1,23.3639,-7.8066,0.0001,down,Osteosarcoma,human,Gene
48086,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ZACN,Osteosarcoma,ENSG00000186919.13,173.5751,6.6359,0.0,up,Osteosarcoma,human,Gene
48087,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000269547,Osteosarcoma,ENSG00000269547.1,102.6847,-5.3293,0.0428,down,Osteosarcoma,human,Gene
48088,DataSet_747,human,ENSG00000091542,ALKBH5,143B,NPPB,Osteosarcoma,ENSG00000120937.9,135.1112,5.1361,0.0,up,Osteosarcoma,human,Gene
48089,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ACTG2,Osteosarcoma,ENSG00000163017.14,27.5367,4.9983,0.0001,up,Osteosarcoma,human,Gene
48090,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000267598,Osteosarcoma,ENSG00000267598.1,37.0809,4.9852,0.0,up,Osteosarcoma,human,Gene
48091,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ARPIN,Osteosarcoma,ENSG00000242498.8,564.8396,-4.8424,0.0,down,Osteosarcoma,human,Gene
48093,DataSet_747,human,ENSG00000091542,ALKBH5,143B,KCCAT198,Osteosarcoma,ENSG00000257642.1,29.3958,4.6281,0.0001,up,Osteosarcoma,human,Gene
48094,DataSet_747,human,ENSG00000091542,ALKBH5,143B,KRT81,Osteosarcoma,ENSG00000205426.11,53.888,4.5191,0.0,up,Osteosarcoma,human,Gene
48095,DataSet_747,human,ENSG00000091542,ALKBH5,143B,SLX1B,Osteosarcoma,ENSG00000181625.17,65.7649,-4.5119,0.0,down,Osteosarcoma,human,Gene
48096,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000230882,Osteosarcoma,ENSG00000230882.1,58.6008,4.4233,0.0,up,Osteosarcoma,human,Gene
48097,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000258430,Osteosarcoma,ENSG00000258430.1,42.9865,-4.2876,0.0,down,Osteosarcoma,human,Gene
48098,DataSet_747,human,ENSG00000091542,ALKBH5,143B,RGS4,Osteosarcoma,ENSG00000117152.14,411.1577,4.1473,0.0,up,Osteosarcoma,human,Gene
48099,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ASDURF,Osteosarcoma,ENSG00000286053.2,30.3155,-4.0673,0.0002,down,Osteosarcoma,human,Gene
48100,DataSet_747,human,ENSG00000091542,ALKBH5,143B,LCP1,Osteosarcoma,ENSG00000136167.15,342.2773,4.0652,0.0,up,Osteosarcoma,human,Gene
48101,DataSet_747,human,ENSG00000091542,ALKBH5,143B,NLRC5,Osteosarcoma,ENSG00000140853.17,478.6928,3.9742,0.0,up,Osteosarcoma,human,Gene
48102,DataSet_747,human,ENSG00000091542,ALKBH5,143B,PRX,Osteosarcoma,ENSG00000105227.16,36.6344,-3.9354,0.0,down,Osteosarcoma,human,Gene
48103,DataSet_747,human,ENSG00000091542,ALKBH5,143B,POU2F3,Osteosarcoma,ENSG00000137709.10,84.4471,3.8894,0.0,up,Osteosarcoma,human,Gene
48104,DataSet_747,human,ENSG00000091542,ALKBH5,143B,PTMAP4,Osteosarcoma,ENSG00000231503.4,25.9675,-3.8813,0.0011,down,Osteosarcoma,human,Gene
48105,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000260537,Osteosarcoma,ENSG00000260537.2,34.7554,3.8669,0.0008,up,Osteosarcoma,human,Gene
48106,DataSet_747,human,ENSG00000091542,ALKBH5,143B,TNS4,Osteosarcoma,ENSG00000131746.13,54.2082,3.8629,0.0,up,Osteosarcoma,human,Gene
48107,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000232774,Osteosarcoma,ENSG00000232774.8,67.2647,3.8481,0.0,up,Osteosarcoma,human,Gene
48109,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000288271,Osteosarcoma,ENSG00000288271.1,26.0092,3.7268,0.0058,up,Osteosarcoma,human,Gene
48110,DataSet_747,human,ENSG00000091542,ALKBH5,143B,TAGLN,Osteosarcoma,ENSG00000149591.17,1302.497,3.6817,0.0,up,Osteosarcoma,human,Gene
48111,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000254829,Osteosarcoma,ENSG00000254829.1,23.1675,-3.6517,0.0021,down,Osteosarcoma,human,Gene
48112,DataSet_747,human,ENSG00000091542,ALKBH5,143B,SH3RF2,Osteosarcoma,ENSG00000156463.18,64.7007,3.5667,0.0,up,Osteosarcoma,human,Gene
48113,DataSet_747,human,ENSG00000091542,ALKBH5,143B,LMO2,Osteosarcoma,ENSG00000135363.12,44.9207,-3.4977,0.0,down,Osteosarcoma,human,Gene
48114,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000277967,Osteosarcoma,ENSG00000277967.1,35.1074,-3.463,0.0007,down,Osteosarcoma,human,Gene
48115,DataSet_747,human,ENSG00000091542,ALKBH5,143B,PCSK1N,Osteosarcoma,ENSG00000102109.9,30.4988,3.4477,0.0003,up,Osteosarcoma,human,Gene
48116,DataSet_747,human,ENSG00000091542,ALKBH5,143B,KISS1,Osteosarcoma,ENSG00000170498.10,34.3599,3.4314,0.0037,up,Osteosarcoma,human,Gene
48117,DataSet_747,human,ENSG00000091542,ALKBH5,143B,IGFBP5,Osteosarcoma,ENSG00000115461.5,333.556,3.4078,0.0072,up,Osteosarcoma,human,Gene
48118,DataSet_747,human,ENSG00000091542,ALKBH5,143B,AGTR1,Osteosarcoma,ENSG00000144891.19,172.6786,3.3541,0.0,up,Osteosarcoma,human,Gene
48119,DataSet_747,human,ENSG00000091542,ALKBH5,143B,NIPAL4,Osteosarcoma,ENSG00000172548.15,359.2394,3.3118,0.0,up,Osteosarcoma,human,Gene
48120,DataSet_747,human,ENSG00000091542,ALKBH5,143B,H4C12,Osteosarcoma,ENSG00000273542.2,32.9289,3.3118,0.0071,up,Osteosarcoma,human,Gene
48121,DataSet_747,human,ENSG00000091542,ALKBH5,143B,GJB3,Osteosarcoma,ENSG00000188910.8,22.6771,3.2798,0.0046,up,Osteosarcoma,human,Gene
48122,DataSet_747,human,ENSG00000091542,ALKBH5,143B,TNFSF4,Osteosarcoma,ENSG00000117586.11,30.0769,3.2721,0.0005,up,Osteosarcoma,human,Gene
48123,DataSet_747,human,ENSG00000091542,ALKBH5,143B,SFN,Osteosarcoma,ENSG00000175793.12,49.3238,3.2489,0.0004,up,Osteosarcoma,human,Gene
48124,DataSet_747,human,ENSG00000091542,ALKBH5,143B,NIM1K,Osteosarcoma,ENSG00000177453.7,67.4247,3.2256,0.0005,up,Osteosarcoma,human,Gene
48125,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000234287,Osteosarcoma,ENSG00000234287.1,3750.5392,-3.2002,0.0,down,Osteosarcoma,human,Gene
48126,DataSet_747,human,ENSG00000091542,ALKBH5,143B,BATF2,Osteosarcoma,ENSG00000168062.10,23.7939,3.1703,0.0041,up,Osteosarcoma,human,Gene
48127,DataSet_747,human,ENSG00000091542,ALKBH5,143B,EPSTI1,Osteosarcoma,ENSG00000133106.15,41.033,3.1612,0.0001,up,Osteosarcoma,human,Gene
48128,DataSet_747,human,ENSG00000091542,ALKBH5,143B,BIVM-ERCC5,Osteosarcoma,ENSG00000270181.3,236.4845,-3.1354,0.0,down,Osteosarcoma,human,Gene
48129,DataSet_747,human,ENSG00000091542,ALKBH5,143B,GALNT8,Osteosarcoma,ENSG00000130035.9,29.1882,3.1124,0.001,up,Osteosarcoma,human,Gene
48130,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ZNF185,Osteosarcoma,ENSG00000147394.19,833.611,3.1101,0.0,up,Osteosarcoma,human,Gene
48131,DataSet_747,human,ENSG00000091542,ALKBH5,143B,AGR2,Osteosarcoma,ENSG00000106541.12,139.8112,3.0952,0.0,up,Osteosarcoma,human,Gene
48132,DataSet_747,human,ENSG00000091542,ALKBH5,143B,C6orf141,Osteosarcoma,ENSG00000197261.12,399.6201,3.0799,0.0,up,Osteosarcoma,human,Gene
48133,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ALOXE3,Osteosarcoma,ENSG00000179148.10,59.7078,3.0475,0.0,up,Osteosarcoma,human,Gene
48134,DataSet_747,human,ENSG00000091542,ALKBH5,143B,OASL,Osteosarcoma,ENSG00000135114.13,38.7919,-3.0425,0.0075,down,Osteosarcoma,human,Gene
48135,DataSet_747,human,ENSG00000091542,ALKBH5,143B,CDK5R2,Osteosarcoma,ENSG00000171450.6,53.5753,3.0287,0.0001,up,Osteosarcoma,human,Gene
48136,DataSet_747,human,ENSG00000091542,ALKBH5,143B,RBFOX3,Osteosarcoma,ENSG00000167281.20,77.1722,3.0131,0.0,up,Osteosarcoma,human,Gene
48137,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000253683,Osteosarcoma,ENSG00000253683.1,84.8969,-2.983,0.0,down,Osteosarcoma,human,Gene
48138,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000258728,Osteosarcoma,ENSG00000258728.2,69.0609,2.9711,0.0002,up,Osteosarcoma,human,Gene
48139,DataSet_747,human,ENSG00000091542,ALKBH5,143B,CD274,Osteosarcoma,ENSG00000120217.14,921.4965,2.9458,0.0,up,Osteosarcoma,human,Gene
48140,DataSet_747,human,ENSG00000091542,ALKBH5,143B,VGF,Osteosarcoma,ENSG00000128564.8,2118.5982,2.9406,0.0,up,Osteosarcoma,human,Gene
48141,DataSet_747,human,ENSG00000091542,ALKBH5,143B,SYP,Osteosarcoma,ENSG00000102003.12,50.8323,2.9051,0.0,up,Osteosarcoma,human,Gene
48142,DataSet_747,human,ENSG00000091542,ALKBH5,143B,LDB3,Osteosarcoma,ENSG00000122367.21,51.7386,2.8746,0.0001,up,Osteosarcoma,human,Gene
48143,DataSet_747,human,ENSG00000091542,ALKBH5,143B,PRSS3,Osteosarcoma,ENSG00000010438.17,128.4698,2.8591,0.0,up,Osteosarcoma,human,Gene
48144,DataSet_747,human,ENSG00000091542,ALKBH5,143B,WDR76,Osteosarcoma,ENSG00000092470.12,329.4503,-2.8471,0.0,down,Osteosarcoma,human,Gene
48145,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000215861,Osteosarcoma,ENSG00000215861.7,22.4984,2.8179,0.012,up,Osteosarcoma,human,Gene
48146,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000204556,Osteosarcoma,ENSG00000204556.4,41.9212,-2.8123,0.0012,down,Osteosarcoma,human,Gene
48147,DataSet_747,human,ENSG00000091542,ALKBH5,143B,MYB,Osteosarcoma,ENSG00000118513.20,31.6015,-2.8086,0.0025,down,Osteosarcoma,human,Gene
48148,DataSet_747,human,ENSG00000091542,ALKBH5,143B,BCYRN1,Osteosarcoma,ENSG00000236824.2,401.5261,2.7985,0.0,up,Osteosarcoma,human,Gene
48149,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ADRA1D,Osteosarcoma,ENSG00000171873.8,22.8556,2.7907,0.0207,up,Osteosarcoma,human,Gene
48150,DataSet_747,human,ENSG00000091542,ALKBH5,143B,ENSG00000258653,Osteosarcoma,ENSG00000258653.3,71.1028,-2.784,0.0002,down,Osteosarcoma,human,Gene
48151,DataSet_747,human,ENSG00000091542,ALKBH5,143B,SPTB,Osteosarcoma,ENSG00000070182.21,56.0154,-2.7775,0.0006,down,Osteosarcoma,human,Gene
48152,DataSet_747,human,ENSG00000091542,ALKBH5,143B,CEND1,Osteosarcoma,ENSG00000184524.6,130.2947,2.7631,0.0,up,Osteosarcoma,human,Gene
