Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
34960,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,ENSG00000270066,Ovarian serous cystadenocarcinoma,ENSG00000270066.3,58.9752,-9.5023,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34961,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,ENSG00000280904,Ovarian serous cystadenocarcinoma,ENSG00000280904.1,8.7547,-6.7502,0.0063,down,Ovarian serous cystadenocarcinoma,human,Gene
34962,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,ACAP3,Ovarian serous cystadenocarcinoma,ENSG00000131584.19,13.9553,-4.9453,0.0065,down,Ovarian serous cystadenocarcinoma,human,Gene
34963,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,TEPSIN,Ovarian serous cystadenocarcinoma,ENSG00000167302.11,11.1739,-4.6109,0.0247,down,Ovarian serous cystadenocarcinoma,human,Gene
34964,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,Y,Ovarian serous cystadenocarcinoma,ENSG00000222649.1,12.2086,-4.2505,0.0253,down,Ovarian serous cystadenocarcinoma,human,Gene
34965,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,ZFAS1,Ovarian serous cystadenocarcinoma,ENSG00000177410.13,429.6967,-3.9756,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34966,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,RACK1,Ovarian serous cystadenocarcinoma,ENSG00000204628.12,19957.2853,-3.8674,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34967,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,ING5,Ovarian serous cystadenocarcinoma,ENSG00000168395.16,37.6476,-3.7709,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34968,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNORD111,Ovarian serous cystadenocarcinoma,ENSG00000221066.1,1336.4321,-3.6925,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34969,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,DPP3-DT,Ovarian serous cystadenocarcinoma,ENSG00000255517.7,46.0785,-3.6564,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34970,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNHG6,Ovarian serous cystadenocarcinoma,ENSG00000245910.9,81.7677,-3.6161,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34971,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,ARHGEF40,Ovarian serous cystadenocarcinoma,ENSG00000165801.10,42.0437,-3.462,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34972,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SPPL2B,Ovarian serous cystadenocarcinoma,ENSG00000005206.17,587.9501,-3.2826,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34973,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,RPL17,Ovarian serous cystadenocarcinoma,ENSG00000265681.8,5583.8635,-3.1956,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34974,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,HSPA9,Ovarian serous cystadenocarcinoma,ENSG00000113013.16,251.7952,-3.0832,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34976,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,THBS1,Ovarian serous cystadenocarcinoma,ENSG00000137801.11,25.6259,-2.9907,0.0045,down,Ovarian serous cystadenocarcinoma,human,Gene
34977,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,RPL21,Ovarian serous cystadenocarcinoma,ENSG00000122026.11,172.4444,-2.8379,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34978,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNHG19,Ovarian serous cystadenocarcinoma,ENSG00000260260.2,774.5666,-2.5622,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34979,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,RPL5,Ovarian serous cystadenocarcinoma,ENSG00000122406.14,24.1715,-2.5602,0.0186,down,Ovarian serous cystadenocarcinoma,human,Gene
34980,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,RPL13A,Ovarian serous cystadenocarcinoma,ENSG00000142541.18,274.9145,-2.4986,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34981,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,RPS8,Ovarian serous cystadenocarcinoma,ENSG00000142937.12,58.2127,-2.4759,0.0001,down,Ovarian serous cystadenocarcinoma,human,Gene
34982,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,MAP1LC3B,Ovarian serous cystadenocarcinoma,ENSG00000140941.14,76.6752,2.4659,0.0,up,Ovarian serous cystadenocarcinoma,human,Gene
34983,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,GAPDH,Ovarian serous cystadenocarcinoma,ENSG00000111640.15,24.3698,2.4299,0.0348,up,Ovarian serous cystadenocarcinoma,human,Gene
34984,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,C19orf48,Ovarian serous cystadenocarcinoma,ENSG00000167747.16,2174.9298,-2.4249,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34985,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,EIF4A2,Ovarian serous cystadenocarcinoma,ENSG00000156976.17,2076.2783,-2.2178,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34987,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNORD63,Ovarian serous cystadenocarcinoma,ENSG00000206989.1,4779.1748,-2.1062,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34988,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNHG29,Ovarian serous cystadenocarcinoma,ENSG00000175061.19,4812.4716,-2.0703,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
34989,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,NEAT1,Ovarian serous cystadenocarcinoma,ENSG00000245532.10,48.2461,-2.0542,0.0412,down,Ovarian serous cystadenocarcinoma,human,Gene
34990,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNORA81,Ovarian serous cystadenocarcinoma,ENSG00000221420.2,160.0254,2.0233,0.0,up,Ovarian serous cystadenocarcinoma,human,Gene
34991,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,MTATP6P1,Ovarian serous cystadenocarcinoma,ENSG00000248527.1,41.2733,2.0112,0.0247,up,Ovarian serous cystadenocarcinoma,human,Gene
34992,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,MT-TH,Ovarian serous cystadenocarcinoma,ENSG00000210176.1,449.6949,2.0015,0.0,up,Ovarian serous cystadenocarcinoma,human,Gene
34993,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SRSF5,Ovarian serous cystadenocarcinoma,ENSG00000100650.16,43.3492,-1.9739,0.0112,down,Ovarian serous cystadenocarcinoma,human,Gene
34994,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,MT-TE,Ovarian serous cystadenocarcinoma,ENSG00000210194.1,5414.9543,1.958,0.0,up,Ovarian serous cystadenocarcinoma,human,Gene
34995,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,RPS13,Ovarian serous cystadenocarcinoma,ENSG00000110700.7,90.6013,-1.9518,0.0001,down,Ovarian serous cystadenocarcinoma,human,Gene
34996,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,PHB2,Ovarian serous cystadenocarcinoma,ENSG00000215021.10,136.0308,-1.9384,0.0005,down,Ovarian serous cystadenocarcinoma,human,Gene
34997,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,MT-TI,Ovarian serous cystadenocarcinoma,ENSG00000210100.1,52.8295,1.9229,0.0077,up,Ovarian serous cystadenocarcinoma,human,Gene
34998,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,MT-TC,Ovarian serous cystadenocarcinoma,ENSG00000210140.1,82.5629,1.9068,0.0011,up,Ovarian serous cystadenocarcinoma,human,Gene
35000,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,MT-TP,Ovarian serous cystadenocarcinoma,ENSG00000210196.2,190.3202,1.8878,0.0,up,Ovarian serous cystadenocarcinoma,human,Gene
35001,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,RPL7A,Ovarian serous cystadenocarcinoma,ENSG00000148303.17,5830.3226,-1.7549,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
35002,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNORD88B,Ovarian serous cystadenocarcinoma,ENSG00000221381.1,890.3332,-1.7124,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
35003,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,FTH1,Ovarian serous cystadenocarcinoma,ENSG00000167996.16,125.9031,1.6784,0.0003,up,Ovarian serous cystadenocarcinoma,human,Gene
35004,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNORD116-13,Ovarian serous cystadenocarcinoma,ENSG00000207137.1,167.2108,-1.6695,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
35005,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNORD58B,Ovarian serous cystadenocarcinoma,ENSG00000271982.1,65998.5903,-1.6298,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
35006,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,ENSG00000261889,Ovarian serous cystadenocarcinoma,ENSG00000261889.1,2346.6965,1.6087,0.0,up,Ovarian serous cystadenocarcinoma,human,Gene
35007,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNORD4B,Ovarian serous cystadenocarcinoma,ENSG00000238597.1,2344.2317,-1.6062,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
35008,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,H4C1,Ovarian serous cystadenocarcinoma,ENSG00000278637.2,126.1515,-1.5964,0.005,down,Ovarian serous cystadenocarcinoma,human,Gene
35009,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,MT-TQ,Ovarian serous cystadenocarcinoma,ENSG00000210107.1,1470.1872,1.5963,0.0,up,Ovarian serous cystadenocarcinoma,human,Gene
35010,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNORD21,Ovarian serous cystadenocarcinoma,ENSG00000206680.1,765.5546,-1.5399,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
35011,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNORD38B,Ovarian serous cystadenocarcinoma,ENSG00000207421.1,980.5864,-1.5366,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
35012,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,MT-TN,Ovarian serous cystadenocarcinoma,ENSG00000210135.1,114.2553,1.5012,0.002,up,Ovarian serous cystadenocarcinoma,human,Gene
35013,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,MT-TF,Ovarian serous cystadenocarcinoma,ENSG00000210049.1,278.5435,1.4819,0.0001,up,Ovarian serous cystadenocarcinoma,human,Gene
35015,DataSet_514,human,ENSG00000055044,NOP58,SKOV3ip1,SNORD58A,Ovarian serous cystadenocarcinoma,ENSG00000206602.1,75358.9639,-1.4565,0.0,down,Ovarian serous cystadenocarcinoma,human,Gene
