Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
12801,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,IFIT2,Papillomavirus-related endocervical adenocarcinoma,ENSG00000119922.11,24.1709,7.1177,0.0,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12802,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,ZBED6,Papillomavirus-related endocervical adenocarcinoma,ENSG00000257315.3,11.6918,-7.0214,0.0,down,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12803,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,IFIT1,Papillomavirus-related endocervical adenocarcinoma,ENSG00000185745.10,9.4342,4.8309,0.0006,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12804,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,TFPI2,Papillomavirus-related endocervical adenocarcinoma,ENSG00000105825.14,13.8885,4.3704,0.0,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12805,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,TCIM,Papillomavirus-related endocervical adenocarcinoma,ENSG00000176907.5,9.2621,3.74,0.0004,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12806,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,RNF182,Papillomavirus-related endocervical adenocarcinoma,ENSG00000180537.13,18.1868,3.7288,0.0,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12807,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,CFH,Papillomavirus-related endocervical adenocarcinoma,ENSG00000000971.16,11.6989,3.4795,0.0001,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12808,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,KRT17,Papillomavirus-related endocervical adenocarcinoma,ENSG00000128422.18,12.29,3.3076,0.0001,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12809,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,CLDN1,Papillomavirus-related endocervical adenocarcinoma,ENSG00000163347.6,8.7043,3.0089,0.0016,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12810,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,IFIT3,Papillomavirus-related endocervical adenocarcinoma,ENSG00000119917.15,22.9777,3.006,0.0062,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12811,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,FN1,Papillomavirus-related endocervical adenocarcinoma,ENSG00000115414.21,88.983,2.8513,0.0,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12812,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,ANXA3,Papillomavirus-related endocervical adenocarcinoma,ENSG00000138772.13,9.6402,2.7191,0.0018,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12813,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,FBN2,Papillomavirus-related endocervical adenocarcinoma,ENSG00000138829.12,54.8462,-2.6952,0.0,down,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12814,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,SERPINE2,Papillomavirus-related endocervical adenocarcinoma,ENSG00000135919.14,26.8297,2.6537,0.0227,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12815,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,RBM47,Papillomavirus-related endocervical adenocarcinoma,ENSG00000163694.15,12.6822,-2.6006,0.0003,down,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12816,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,GREM1,Papillomavirus-related endocervical adenocarcinoma,ENSG00000166923.12,17.1344,2.5871,0.0,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12817,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,PMP22,Papillomavirus-related endocervical adenocarcinoma,ENSG00000109099.16,13.3171,2.5856,0.0002,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12818,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,H19,Papillomavirus-related endocervical adenocarcinoma,ENSG00000130600.20,440.0827,-2.5586,0.0,down,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12819,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,EDIL3,Papillomavirus-related endocervical adenocarcinoma,ENSG00000164176.13,36.4952,2.5417,0.0,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12820,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,SVEP1,Papillomavirus-related endocervical adenocarcinoma,ENSG00000165124.19,9.6805,-2.5181,0.0057,down,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12821,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,RND3,Papillomavirus-related endocervical adenocarcinoma,ENSG00000115963.14,11.6366,2.4918,0.0013,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12822,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,SERP1,Papillomavirus-related endocervical adenocarcinoma,ENSG00000120742.11,18.014,2.445,0.0,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12823,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,SLC7A11,Papillomavirus-related endocervical adenocarcinoma,ENSG00000151012.13,42.8008,2.4439,0.0018,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12824,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,FTO,Papillomavirus-related endocervical adenocarcinoma,ENSG00000140718.21,13.3648,-2.4064,0.0004,down,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12825,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,ITGA2,Papillomavirus-related endocervical adenocarcinoma,ENSG00000164171.11,10.2305,2.4011,0.0071,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12826,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,CCDC12,Papillomavirus-related endocervical adenocarcinoma,ENSG00000160799.12,9.8716,2.3687,0.0047,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12827,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,NR2F1,Papillomavirus-related endocervical adenocarcinoma,ENSG00000175745.14,8.9725,2.3677,0.009,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12828,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,AMIGO2,Papillomavirus-related endocervical adenocarcinoma,ENSG00000139211.7,29.1929,2.3409,0.0,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12829,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,KCNH5,Papillomavirus-related endocervical adenocarcinoma,ENSG00000140015.20,9.9121,-2.3278,0.0043,down,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12830,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,BMP2,Papillomavirus-related endocervical adenocarcinoma,ENSG00000125845.7,30.4115,2.2952,0.0012,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
12831,DataSet_179,human,ENSG00000134644,PUM1,SGC7901,ARL2BP,Papillomavirus-related endocervical adenocarcinoma,ENSG00000102931.8,9.7185,2.2135,0.0098,up,Papillomavirus-related endocervical adenocarcinoma,human,Gene
