Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
1123,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,LOXHD1,Peripheral primitive neuroectodermal tumor,ENSG00000167210.17,5775.652,-3.8568,0.0,down,Peripheral primitive neuroectodermal tumor,human,Gene
1124,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,ENSG00000266086,Peripheral primitive neuroectodermal tumor,ENSG00000266086.3,596.0502,1.4757,0.0,up,Peripheral primitive neuroectodermal tumor,human,Gene
1125,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,ESRP1,Peripheral primitive neuroectodermal tumor,ENSG00000104413.18,1990.3989,1.4731,0.0,up,Peripheral primitive neuroectodermal tumor,human,Gene
1126,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,INSIG1,Peripheral primitive neuroectodermal tumor,ENSG00000186480.13,459.623,-1.4354,0.0,down,Peripheral primitive neuroectodermal tumor,human,Gene
1127,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,KIF1A,Peripheral primitive neuroectodermal tumor,ENSG00000130294.18,289.8675,1.3959,0.0,up,Peripheral primitive neuroectodermal tumor,human,Gene
1128,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,STARD4,Peripheral primitive neuroectodermal tumor,ENSG00000164211.13,381.0438,-1.3825,0.0,down,Peripheral primitive neuroectodermal tumor,human,Gene
1129,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,DHCR24,Peripheral primitive neuroectodermal tumor,ENSG00000116133.13,2364.5629,-1.3519,0.0,down,Peripheral primitive neuroectodermal tumor,human,Gene
1130,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,HMGCS1,Peripheral primitive neuroectodermal tumor,ENSG00000112972.15,2067.1127,-1.3086,0.0,down,Peripheral primitive neuroectodermal tumor,human,Gene
1131,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,DNAH10,Peripheral primitive neuroectodermal tumor,ENSG00000197653.16,329.72,1.3036,0.0,up,Peripheral primitive neuroectodermal tumor,human,Gene
1132,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,IL32,Peripheral primitive neuroectodermal tumor,ENSG00000008517.19,186.9682,1.2675,0.0001,up,Peripheral primitive neuroectodermal tumor,human,Gene
1133,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,KLHDC7B,Peripheral primitive neuroectodermal tumor,ENSG00000130487.9,343.0785,1.1734,0.0,up,Peripheral primitive neuroectodermal tumor,human,Gene
1134,DataSet_165,human,ENSG00000167210,LOXHD1,SK-N-MC,KCNG1,Peripheral primitive neuroectodermal tumor,ENSG00000026559.14,176.5015,1.1705,0.0004,up,Peripheral primitive neuroectodermal tumor,human,Gene
