Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
5882,DataSet_64,human,ENSG00000164985,PSIP1,KMS-11,ENSG00000257181,Plasma cell myeloma,ENSG00000257181.1,15.391,-7.3277,0.0,down,Plasma cell myeloma,human,Gene
64290,DataSet_60,human,ENSG00000164985,PSIP1,KMS-11,ENSG00000257181,Plasma cell myeloma,ENSG00000257181.1,15.391,-7.3277,0.0,down,Plasma cell myeloma,human,Gene
64291,DataSet_60,human,ENSG00000164985,PSIP1,KMS-11,ENSG00000285330,Plasma cell myeloma,ENSG00000285330.1,10.5033,6.9019,0.0001,up,Plasma cell myeloma,human,Gene
5883,DataSet_64,human,ENSG00000164985,PSIP1,KMS-11,ENSG00000285330,Plasma cell myeloma,ENSG00000285330.1,10.5033,6.9019,0.0001,up,Plasma cell myeloma,human,Gene
5884,DataSet_64,human,ENSG00000164985,PSIP1,KMS-11,ENSG00000288683,Plasma cell myeloma,ENSG00000288683.1,7.9131,6.4933,0.0005,up,Plasma cell myeloma,human,Gene
64292,DataSet_60,human,ENSG00000164985,PSIP1,KMS-11,ENSG00000288683,Plasma cell myeloma,ENSG00000288683.1,7.9131,6.4933,0.0005,up,Plasma cell myeloma,human,Gene
64293,DataSet_60,human,ENSG00000164985,PSIP1,KMS-11,LINC02393,Plasma cell myeloma,ENSG00000256597.3,11.9039,-5.9652,0.0044,down,Plasma cell myeloma,human,Gene
5885,DataSet_64,human,ENSG00000164985,PSIP1,KMS-11,LINC02393,Plasma cell myeloma,ENSG00000256597.3,11.9039,-5.9652,0.0044,down,Plasma cell myeloma,human,Gene
5886,DataSet_64,human,ENSG00000164985,PSIP1,KMS-11,SPNS3,Plasma cell myeloma,ENSG00000182557.8,9.3072,-5.6025,0.0051,down,Plasma cell myeloma,human,Gene
64294,DataSet_60,human,ENSG00000164985,PSIP1,KMS-11,SPNS3,Plasma cell myeloma,ENSG00000182557.8,9.3072,-5.6025,0.0051,down,Plasma cell myeloma,human,Gene
64295,DataSet_60,human,ENSG00000164985,PSIP1,KMS-11,ESRP1,Plasma cell myeloma,ENSG00000104413.18,150.3568,-4.7841,0.0,down,Plasma cell myeloma,human,Gene
5887,DataSet_64,human,ENSG00000164985,PSIP1,KMS-11,ESRP1,Plasma cell myeloma,ENSG00000104413.18,150.3568,-4.7841,0.0,down,Plasma cell myeloma,human,Gene
5888,DataSet_64,human,ENSG00000164985,PSIP1,KMS-11,OLAH,Plasma cell myeloma,ENSG00000152463.15,7.8403,-4.492,0.0431,down,Plasma cell myeloma,human,Gene
64296,DataSet_60,human,ENSG00000164985,PSIP1,KMS-11,OLAH,Plasma cell myeloma,ENSG00000152463.15,7.8403,-4.492,0.0431,down,Plasma cell myeloma,human,Gene
64297,DataSet_60,human,ENSG00000164985,PSIP1,KMS-11,ENSG00000285942,Plasma cell myeloma,ENSG00000285942.1,8.0706,4.0263,0.0158,up,Plasma cell myeloma,human,Gene
5889,DataSet_64,human,ENSG00000164985,PSIP1,KMS-11,ENSG00000285942,Plasma cell myeloma,ENSG00000285942.1,8.0706,4.0263,0.0158,up,Plasma cell myeloma,human,Gene
5890,DataSet_64,human,ENSG00000164985,PSIP1,KMS-11,LRRC4C,Plasma cell myeloma,ENSG00000148948.8,8.7609,-3.9185,0.0225,down,Plasma cell myeloma,human,Gene
