Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
6182,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,TNFRSF25,Precursor T-cell acute lymphoblastic leukemia,ENSG00000215788.11,14.6292,-6.429,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89379,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,TNFRSF25,Precursor T-cell acute lymphoblastic leukemia,ENSG00000215788.11,14.6292,-6.429,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89380,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,LCN10,Precursor T-cell acute lymphoblastic leukemia,ENSG00000187922.14,7.1319,-6.37,0.0001,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6183,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,LCN10,Precursor T-cell acute lymphoblastic leukemia,ENSG00000187922.14,7.1319,-6.37,0.0001,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6184,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,BGN,Precursor T-cell acute lymphoblastic leukemia,ENSG00000182492.16,6.3287,-6.1999,0.0005,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89381,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,BGN,Precursor T-cell acute lymphoblastic leukemia,ENSG00000182492.16,6.3287,-6.1999,0.0005,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89382,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,MYO1F,Precursor T-cell acute lymphoblastic leukemia,ENSG00000142347.19,5.9606,-6.1137,0.001,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6185,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,MYO1F,Precursor T-cell acute lymphoblastic leukemia,ENSG00000142347.19,5.9606,-6.1137,0.001,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6186,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,DNAAF4-CCPG1,Precursor T-cell acute lymphoblastic leukemia,ENSG00000261771.5,5.1602,-5.8993,0.002,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89383,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,DNAAF4-CCPG1,Precursor T-cell acute lymphoblastic leukemia,ENSG00000261771.5,5.1602,-5.8993,0.002,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89384,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,ENSG00000255856,Precursor T-cell acute lymphoblastic leukemia,ENSG00000255856.2,4.8503,-5.8143,0.0016,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6187,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,ENSG00000255856,Precursor T-cell acute lymphoblastic leukemia,ENSG00000255856.2,4.8503,-5.8143,0.0016,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6188,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,CPA4,Precursor T-cell acute lymphoblastic leukemia,ENSG00000128510.12,7.7509,-5.5003,0.0008,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89385,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,CPA4,Precursor T-cell acute lymphoblastic leukemia,ENSG00000128510.12,7.7509,-5.5003,0.0008,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89386,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,TRPM2,Precursor T-cell acute lymphoblastic leukemia,ENSG00000142185.18,7.2456,-5.3983,0.0011,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6189,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,TRPM2,Precursor T-cell acute lymphoblastic leukemia,ENSG00000142185.18,7.2456,-5.3983,0.0011,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6190,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,S100B,Precursor T-cell acute lymphoblastic leukemia,ENSG00000160307.10,26.9732,-5.3878,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89387,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,S100B,Precursor T-cell acute lymphoblastic leukemia,ENSG00000160307.10,26.9732,-5.3878,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89388,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,WNK2,Precursor T-cell acute lymphoblastic leukemia,ENSG00000165238.17,6.8968,-5.3252,0.0014,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6191,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,WNK2,Precursor T-cell acute lymphoblastic leukemia,ENSG00000165238.17,6.8968,-5.3252,0.0014,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6192,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,CERS6-AS1,Precursor T-cell acute lymphoblastic leukemia,ENSG00000227617.9,18.6675,-5.3097,0.0439,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89389,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,CERS6-AS1,Precursor T-cell acute lymphoblastic leukemia,ENSG00000227617.9,18.6675,-5.3097,0.0439,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89390,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,ENSG00000280003,Precursor T-cell acute lymphoblastic leukemia,ENSG00000280003.1,6.8164,-5.3077,0.0015,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6193,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,ENSG00000280003,Precursor T-cell acute lymphoblastic leukemia,ENSG00000280003.1,6.8164,-5.3077,0.0015,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6194,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,GCSHP5,Precursor T-cell acute lymphoblastic leukemia,ENSG00000224837.1,6.4721,-5.2229,0.0025,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89391,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,GCSHP5,Precursor T-cell acute lymphoblastic leukemia,ENSG00000224837.1,6.4721,-5.2229,0.0025,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89392,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,LINC01871,Precursor T-cell acute lymphoblastic leukemia,ENSG00000235576.2,11.6815,-5.1754,0.0001,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6195,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,LINC01871,Precursor T-cell acute lymphoblastic leukemia,ENSG00000235576.2,11.6815,-5.1754,0.0001,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6196,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,CR2,Precursor T-cell acute lymphoblastic leukemia,ENSG00000117322.18,1367.8493,-5.1078,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89393,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,CR2,Precursor T-cell acute lymphoblastic leukemia,ENSG00000117322.18,1367.8493,-5.1078,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89394,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,ENSG00000287785,Precursor T-cell acute lymphoblastic leukemia,ENSG00000287785.1,38.1161,-5.073,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6197,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,ENSG00000287785,Precursor T-cell acute lymphoblastic leukemia,ENSG00000287785.1,38.1161,-5.073,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6198,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,OR7E154P,Precursor T-cell acute lymphoblastic leukemia,ENSG00000254715.3,5.7813,-5.0645,0.0107,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89395,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,OR7E154P,Precursor T-cell acute lymphoblastic leukemia,ENSG00000254715.3,5.7813,-5.0645,0.0107,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89396,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,FLG-AS1,Precursor T-cell acute lymphoblastic leukemia,ENSG00000237975.7,10.6144,-5.0609,0.0005,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6199,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,FLG-AS1,Precursor T-cell acute lymphoblastic leukemia,ENSG00000237975.7,10.6144,-5.0609,0.0005,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6200,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,GPR161,Precursor T-cell acute lymphoblastic leukemia,ENSG00000143147.15,16.0491,-5.0328,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89397,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,GPR161,Precursor T-cell acute lymphoblastic leukemia,ENSG00000143147.15,16.0491,-5.0328,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89398,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,ANKRD1,Precursor T-cell acute lymphoblastic leukemia,ENSG00000148677.7,146.0352,-5.0114,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6201,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,ANKRD1,Precursor T-cell acute lymphoblastic leukemia,ENSG00000148677.7,146.0352,-5.0114,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6202,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,ENSG00000260244,Precursor T-cell acute lymphoblastic leukemia,ENSG00000260244.1,17.1546,4.9916,0.0,up,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89399,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,ENSG00000260244,Precursor T-cell acute lymphoblastic leukemia,ENSG00000260244.1,17.1546,4.9916,0.0,up,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89400,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,RIN3,Precursor T-cell acute lymphoblastic leukemia,ENSG00000100599.16,19.4526,-4.9243,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6203,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,RIN3,Precursor T-cell acute lymphoblastic leukemia,ENSG00000100599.16,19.4526,-4.9243,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6204,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,CFTR,Precursor T-cell acute lymphoblastic leukemia,ENSG00000001626.17,49.1712,-4.7902,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89401,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,CFTR,Precursor T-cell acute lymphoblastic leukemia,ENSG00000001626.17,49.1712,-4.7902,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89402,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,TNS4,Precursor T-cell acute lymphoblastic leukemia,ENSG00000131746.13,8.8436,-4.7737,0.0009,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6205,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,TNS4,Precursor T-cell acute lymphoblastic leukemia,ENSG00000131746.13,8.8436,-4.7737,0.0009,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6206,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,NKAIN4,Precursor T-cell acute lymphoblastic leukemia,ENSG00000101198.15,4.7071,-4.7586,0.0085,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89403,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,NKAIN4,Precursor T-cell acute lymphoblastic leukemia,ENSG00000101198.15,4.7071,-4.7586,0.0085,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89404,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,KANK4,Precursor T-cell acute lymphoblastic leukemia,ENSG00000132854.19,77.0047,-4.7209,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6207,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,KANK4,Precursor T-cell acute lymphoblastic leukemia,ENSG00000132854.19,77.0047,-4.7209,0.0,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6208,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,SHLD2P3,Precursor T-cell acute lymphoblastic leukemia,ENSG00000189014.7,4.9454,4.6571,0.0107,up,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89405,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,SHLD2P3,Precursor T-cell acute lymphoblastic leukemia,ENSG00000189014.7,4.9454,4.6571,0.0107,up,Precursor T-cell acute lymphoblastic leukemia,human,Gene
89406,DataSet_63,human,ENSG00000012048,BRCA1,RPMI8402,CEBPE,Precursor T-cell acute lymphoblastic leukemia,ENSG00000092067.6,12.2437,-4.6172,0.0002,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6209,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,CEBPE,Precursor T-cell acute lymphoblastic leukemia,ENSG00000092067.6,12.2437,-4.6172,0.0002,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
6210,DataSet_67,human,ENSG00000012048,BRCA1,RPMI8402,CD4,Precursor T-cell acute lymphoblastic leukemia,ENSG00000010610.10,11.7136,-4.6012,0.0006,down,Precursor T-cell acute lymphoblastic leukemia,human,Gene
