Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
33046,DataSet_493,human,ENSG00000054267,ARID4B,PC3,ENSG00000288894,Prostate carcinoma,ENSG00000288894.1,58.0494,9.321,0.0,up,prostate carcinoma,human,Gene
33047,DataSet_493,human,ENSG00000054267,ARID4B,PC3,THRIL,Prostate carcinoma,ENSG00000280634.1,38.7593,8.7386,0.0,up,prostate carcinoma,human,Gene
33049,DataSet_493,human,ENSG00000054267,ARID4B,PC3,ENSG00000259171,Prostate carcinoma,ENSG00000259171.1,18.9364,7.7055,0.0,up,prostate carcinoma,human,Gene
33050,DataSet_493,human,ENSG00000054267,ARID4B,PC3,PPAN-P2RY11,Prostate carcinoma,ENSG00000243207.6,15.3355,-7.3705,0.0,down,prostate carcinoma,human,Gene
33051,DataSet_493,human,ENSG00000054267,ARID4B,PC3,UBE2F-SCLY,Prostate carcinoma,ENSG00000258984.5,7.3994,6.3491,0.0,up,prostate carcinoma,human,Gene
33052,DataSet_493,human,ENSG00000054267,ARID4B,PC3,ENSG00000275857,Prostate carcinoma,ENSG00000275857.1,8.1636,-5.4667,0.0004,down,prostate carcinoma,human,Gene
33053,DataSet_493,human,ENSG00000054267,ARID4B,PC3,ENSG00000263424,Prostate carcinoma,ENSG00000263424.1,26.7923,5.3016,0.0,up,prostate carcinoma,human,Gene
33054,DataSet_493,human,ENSG00000054267,ARID4B,PC3,ENSG00000242539,Prostate carcinoma,ENSG00000242539.2,14.7544,4.8674,0.0,up,prostate carcinoma,human,Gene
33055,DataSet_493,human,ENSG00000054267,ARID4B,PC3,SPEF1,Prostate carcinoma,ENSG00000101222.12,10.5094,-4.3198,0.0002,down,prostate carcinoma,human,Gene
33056,DataSet_493,human,ENSG00000054267,ARID4B,PC3,ENSG00000250038,Prostate carcinoma,ENSG00000250038.7,13.2315,4.2669,0.0,up,prostate carcinoma,human,Gene
33057,DataSet_493,human,ENSG00000054267,ARID4B,PC3,SDHAP2,Prostate carcinoma,ENSG00000215837.7,9.3367,4.1869,0.0006,up,prostate carcinoma,human,Gene
33058,DataSet_493,human,ENSG00000054267,ARID4B,PC3,ENSG00000187951,Prostate carcinoma,ENSG00000187951.11,35.0041,4.1849,0.0468,up,prostate carcinoma,human,Gene
33059,DataSet_493,human,ENSG00000054267,ARID4B,PC3,ULK4P2,Prostate carcinoma,ENSG00000260128.6,11.8095,-3.4266,0.0002,down,prostate carcinoma,human,Gene
33060,DataSet_493,human,ENSG00000054267,ARID4B,PC3,NBAT1,Prostate carcinoma,ENSG00000260455.2,7.4909,3.413,0.0034,up,prostate carcinoma,human,Gene
33061,DataSet_493,human,ENSG00000054267,ARID4B,PC3,ENSG00000260107,Prostate carcinoma,ENSG00000260107.1,8.346,3.2673,0.0075,up,prostate carcinoma,human,Gene
33062,DataSet_493,human,ENSG00000054267,ARID4B,PC3,ENSG00000267125,Prostate carcinoma,ENSG00000267125.2,8.9263,-3.2627,0.0037,down,prostate carcinoma,human,Gene
